Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,93.64,93.64,94.72,92.55,93.41,4068444.0,381080458.0,11586
2017-01-03,93.41,93.68,96.45,93.3,94.8,4716569.33,449013304.9,20302
2017-01-04,94.8,95.18,95.62,93.19,93.41,3662072.0,344733038.0,17825
2017-01-05,93.41,93.79,95.74,93.6,95.55,7237284.0,685836685.25,27660
2017-01-06,95.55,96.15,97.28,95.92,96.38,4566701.33,440843601.05,16573
2017-01-09,96.38,96.68,98.48,96.49,97.2,3977517.33,387484344.35,23986
2017-01-10,97.2,97.5,97.65,95.66,96.15,5039309.33,486614224.95,24052
2017-01-11,96.15,96.6,100.39,96.38,100.09,9023938.67,895876536.05,37654
2017-01-12,100.09,100.24,103.5,99.98,102.86,10927628.0,1110061755.4,34317
2017-01-13,102.86,103.5,104.92,102.3,104.66,11326765.33,1176691289.2,37157
2017-01-16,104.66,104.92,107.89,103.95,107.4,9427337.33,1000122344.5,57982
2017-01-17,107.4,107.4,108.9,105.64,107.7,10732424.0,1154998153.9,52015
2017-01-18,107.7,107.7,108.26,103.58,103.99,9838125.33,1042172976.35,66361
2017-01-19,103.99,104.1,105.94,103.28,104.14,5665912.0,591036960.2,29249
2017-01-20,104.14,104.14,105.94,102.52,102.94,6613157.33,688845852.3,28852
2017-01-23,102.94,103.09,106.42,102.9,105.79,3878776.0,407829384.45,24780
2017-01-24,105.79,105.52,107.02,104.62,106.24,4664533.33,494706688.4,21531
2017-01-25,106.24,106.65,110.74,105.79,109.8,12034764.0,1307012642.3,28110
2017-01-27,109.8,111.34,113.96,109.28,112.2,12049610.67,1354899980.3,39295
2017-01-30,112.2,112.01,113.14,109.5,110.18,4135822.67,460501595.75,26716
2017-01-31,110.18,109.69,110.1,105.3,106.61,17712454.67,1892476682.8,40853
2017-02-01,106.61,106.91,111.49,106.84,111.0,10871218.67,1187304617.0,39795
2017-02-02,111.0,110.36,112.2,109.28,110.59,5559292.0,615935652.7,23818
2017-02-03,110.59,110.25,112.09,109.99,111.22,5813197.33,645464164.85,27967
2017-02-06,111.22,111.75,112.2,109.35,109.61,4789229.33,528527829.2,19794
2017-02-07,109.61,109.88,112.09,105.04,105.79,12606744.0,1357219955.15,33098
2017-02-08,105.79,106.39,107.92,105.82,107.4,5221448.0,559364765.4,17490
2017-02-09,107.4,108.0,110.25,107.66,109.88,10230025.33,1117069398.25,54626
2017-02-10,109.88,110.4,111.41,108.75,109.35,6158105.33,676893239.1,28198
2017-02-13,109.35,109.65,110.21,105.98,108.6,5741889.33,620915357.35,28213
2017-02-14,108.6,109.09,109.54,105.86,108.41,11273577.33,1214327485.5,35768
2017-02-15,108.41,109.05,109.42,104.51,105.11,8539774.67,909886282.2,32132
2017-02-16,105.11,105.52,107.78,104.89,107.44,6305020.0,673178435.9,29339
2017-02-17,107.44,108.04,109.01,107.1,108.15,6519222.67,704583149.75,24315
2017-02-20,108.15,108.75,113.25,108.75,112.88,13484754.67,1499304014.0,51221
2017-02-21,112.88,114.19,117.38,114.19,116.62,13787160.0,1601949154.5,62565
2017-02-22,116.62,117.68,119.96,117.11,118.54,16282948.0,1937048078.4,78786
2017-02-23,118.54,118.65,119.96,117.15,118.76,24153349.33,2863682698.4,67434
2017-02-27,118.76,112.5,115.28,112.28,113.66,13188730.67,1500087207.9,46653
2017-02-28,113.66,113.25,116.02,112.99,114.49,10569749.33,1212513782.2,68633
2017-03-01,114.49,114.52,116.29,114.52,115.01,8556728.0,987504696.1,45541
2017-03-02,115.01,115.69,117.3,113.62,114.82,15205224.0,1761269497.45,69786
2017-03-03,114.82,114.71,116.25,114.3,115.8,5584384.0,642633513.75,37807
2017-03-06,115.8,116.96,119.02,116.25,118.39,8097197.33,955762317.6,42150
2017-03-07,118.39,119.18,119.25,116.25,116.59,6807385.33,797701734.95,30638
2017-03-08,116.59,116.7,117.38,113.89,114.15,6512420.0,748355431.85,28771
2017-03-09,114.15,113.59,115.28,113.48,113.96,5730598.67,654978673.65,36565
2017-03-10,113.96,114.6,115.65,113.81,114.38,6581653.33,753962717.7,21254
2017-03-14,114.38,117.34,118.99,116.21,118.5,11073660.0,1303569479.35,53232
2017-03-15,118.5,119.21,120.6,118.88,119.51,12282288.0,1470626201.5,39330
2017-03-16,119.51,120.0,121.84,119.55,121.5,4208652.0,509921046.8,33153
2017-03-17,121.5,122.21,126.68,121.65,126.22,14651777.33,1826208334.35,67014
2017-03-20,126.22,126.68,127.69,124.76,126.6,7586121.33,958419556.25,46406
2017-03-21,126.6,126.41,127.01,124.5,125.81,7178264.0,902690325.0,52167
2017-03-22,125.81,124.5,127.31,122.62,123.22,6840221.33,852599192.05,37854
2017-03-23,123.22,123.3,125.55,123.3,124.91,6872993.33,854162734.05,46480
2017-03-24,124.91,125.36,132.0,125.25,130.39,14346508.0,1861001871.95,68043
2017-03-27,130.39,130.39,132.19,128.25,131.62,7883098.67,1028055196.4,43002
2017-03-28,131.62,131.21,131.21,127.72,129.52,8602646.67,1109365296.45,79218
2017-03-29,129.52,132.52,136.12,131.14,135.3,12404773.33,1666815915.3,72199
2017-03-30,135.3,135.64,139.01,133.16,136.69,17014265.33,2326651507.0,47221
2017-03-31,136.69,135.45,137.44,135.0,135.75,8292402.67,1128446294.75,44473
2017-04-03,135.75,136.5,137.02,134.55,134.85,6893984.0,934371686.15,17773
2017-04-05,134.85,135.3,139.2,134.74,138.34,6383372.0,878467353.95,35321
2017-04-06,138.34,137.62,140.18,137.32,139.35,9042817.33,1258665102.7,37137
2017-04-07,139.35,138.34,139.84,137.44,138.0,5434029.33,753139418.3,33512
2017-04-10,138.0,139.12,139.39,136.54,137.06,4826805.33,663071568.4,25638
2017-04-11,137.06,137.1,158.48,137.1,154.76,49880345.33,7563805687.85,180813
2017-04-12,154.76,154.84,158.36,150.38,155.06,31931614.67,4953043926.55,132542
2017-04-13,155.06,154.5,157.43,154.01,155.14,8799366.67,1369185253.7,41190
2017-04-17,155.14,155.55,162.19,148.57,151.05,34867796.0,5387455567.0,142485
2017-04-18,151.05,151.95,153.19,145.43,146.29,19357969.33,2887499970.4,82307
2017-04-19,146.29,145.2,151.73,143.77,148.61,15661160.0,2320635171.1,82176
2017-04-20,148.61,150.0,153.45,148.91,150.34,13012966.67,1965918406.75,59865
2017-04-21,150.34,151.12,154.8,150.38,153.68,12106528.0,1847586254.6,51268
2017-04-24,153.68,154.27,155.4,152.89,154.43,6828132.0,1053283173.55,23780
2017-04-25,154.43,154.5,156.75,153.56,155.1,8504574.67,1319613215.7,44513
2017-04-26,155.1,155.55,155.93,151.2,153.52,6137752.0,943349745.35,28912
2017-04-27,153.52,153.56,155.74,152.18,152.89,8103601.33,1244925465.9,47227
2017-04-28,152.89,153.38,154.5,151.39,151.91,8081268.0,1233263368.75,35872
2017-05-02,151.91,152.66,159.98,151.95,159.56,12798488.0,2010461920.35,69155
2017-05-03,159.56,160.5,160.95,157.24,158.1,5745929.33,912832314.6,29163
2017-05-04,158.1,157.95,160.57,157.61,158.81,4116772.0,655454692.55,37060
2017-05-05,158.81,158.96,163.76,157.76,159.6,11224002.67,1807878416.8,57989
2017-05-08,159.6,160.35,163.65,159.41,162.38,7684638.67,1245052056.4,52226
2017-05-09,162.38,163.46,167.92,162.6,165.45,17587718.67,2912129753.6,65741
2017-05-10,165.45,166.73,167.1,163.12,163.88,5361654.67,881590663.75,32990
2017-05-11,163.88,164.62,164.92,158.81,160.73,9402009.33,1514868919.95,45334
2017-05-12,160.73,161.25,163.57,159.07,161.1,6846248.0,1102241598.65,44184
2017-05-15,161.1,161.93,165.11,160.99,164.25,5575741.33,911993932.7,27866
2017-05-16,164.25,165.45,166.24,162.07,162.75,10478988.0,1714808020.15,58933
2017-05-17,162.75,161.66,165.75,161.44,165.11,9546425.33,1570252355.8,69421
2017-05-18,165.11,163.5,166.84,162.75,164.02,9070442.67,1492170280.55,45029
2017-05-19,164.02,164.25,166.12,161.32,162.71,6980498.67,1139297998.2,50423
2017-05-22,162.71,163.8,164.06,158.93,159.68,6112500.0,986401656.4,50932
2017-05-23,159.68,160.12,161.93,156.68,160.05,12872798.67,2056799302.9,51876
2017-05-24,160.05,160.12,161.55,156.6,158.06,9834682.67,1564151410.35,70147
2017-05-25,158.06,158.62,159.15,152.06,153.94,17023356.0,2639635573.95,78382
2017-05-26,153.94,152.74,155.14,147.34,153.26,14245689.33,2163882911.65,66774
2017-05-29,153.26,154.2,155.25,146.74,147.82,7918036.0,1189272860.05,45701
2017-05-30,147.82,142.88,157.5,134.59,154.27,63809136.0,9410858631.1,269300
2017-05-31,154.27,155.81,156.71,142.88,144.94,139428222.67,20366865768.95,283250
2017-06-01,144.94,146.06,147.34,141.0,142.05,16763209.33,2397366348.65,102731
2017-06-02,142.05,144.0,144.0,139.65,142.46,22992380.0,3270581021.6,107603
2017-06-05,142.46,142.76,142.95,139.69,141.3,7324025.33,1033217788.7,38776
2017-06-06,141.3,141.41,145.12,140.59,142.35,10118598.67,1445029582.65,60768
2017-06-07,142.35,142.5,142.84,139.54,140.96,15302342.67,2155732122.2,65372
2017-06-08,140.96,141.3,142.91,139.73,140.85,8443172.0,1191342978.4,48644
2017-06-09,140.85,140.59,141.56,139.54,140.89,8082378.67,1136176575.4,81644
2017-06-12,140.89,140.32,144.11,139.2,143.66,11151525.33,1585905527.85,48621
2017-06-13,143.66,143.96,144.41,140.4,141.15,8979992.0,1278714168.45,58164
2017-06-14,141.15,141.41,141.64,137.66,138.71,12017716.0,1670745758.05,80941
2017-06-15,138.71,138.68,140.32,138.34,139.35,4111670.67,573286084.7,25292
2017-06-16,139.35,139.01,142.65,138.15,140.55,10154536.0,1425658511.65,43727
2017-06-19,140.55,140.93,142.8,140.51,142.12,3470750.67,492083103.45,31511
2017-06-20,142.12,142.31,143.93,140.77,141.52,3559316.0,503993975.55,30319
2017-06-21,141.52,141.45,141.49,138.49,138.86,5516446.67,769419974.3,57139
2017-06-22,138.86,138.82,139.69,135.86,136.27,5283486.67,728584670.55,59890
2017-06-23,136.27,137.1,137.1,131.25,132.26,7964149.33,1062049901.3,56271
2017-06-27,132.26,131.51,131.51,124.84,126.94,11055752.0,1405677740.0,53064
2017-06-28,126.94,125.85,129.56,125.44,128.77,8262054.67,1057977282.95,56494
2017-06-29,128.77,129.38,130.43,126.98,127.39,16891956.0,2158979740.0,32399
2017-06-30,127.39,127.39,129.71,125.85,128.96,6397460.0,819723337.3,31450
2017-07-03,128.96,130.57,130.76,127.61,129.34,4279141.33,551143720.4,26909
2017-07-04,129.34,129.45,131.62,128.93,129.52,5307392.0,691187367.05,23082
