Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-07-10,51.1,53.65,53.65,53.65,53.65,3900,209235.0,7
2024-07-11,53.65,56.3,56.3,56.3,56.3,6510,366513.0,6
2024-07-12,56.3,59.1,59.1,59.1,59.1,2790,164889.0,3
2024-07-15,59.1,62.0,62.05,56.8,62.05,141657,8664718.45,1056
2024-07-16,62.05,65.15,65.15,65.15,65.15,9100,592865.0,55
2024-07-18,65.15,68.4,68.4,65.25,68.0,69554,4751543.5,502
2024-07-19,68.0,69.95,71.4,68.05,71.4,68391,4839670.85,944
2024-07-22,71.4,74.95,74.95,74.95,74.95,9893,741480.35,55
2024-07-23,74.95,78.65,78.65,76.15,78.65,36007,2825842.05,269
2024-07-24,78.65,82.55,82.55,79.5,82.55,63723,5243477.9,659
2024-07-25,82.55,86.0,86.65,78.45,84.45,113874,9415330.1,1526
2024-10-28,70.59,72.01,72.01,67.11,69.28,1447,100531.78,82
2024-10-29,69.28,71.71,72.73,69.5,72.34,1463,103916.16,134
2024-10-30,72.34,75.94,75.94,73.51,73.99,2427,180793.7,82
2024-10-31,73.99,76.99,76.99,70.29,71.4,3586,263280.38,176
2024-11-01,71.4,74.22,74.97,72.2,74.89,1136,84677.49,68
2024-11-04,74.89,77.45,77.45,73.0,75.53,4465,336090.5,248
2024-11-05,75.53,79.29,79.29,73.1,76.26,2734,210571.5,219
2024-11-06,76.26,79.69,80.07,75.83,79.62,2822,223820.18,165
2024-11-07,79.62,83.5,83.5,81.61,83.03,6107,507377.7,219
2024-11-08,83.03,86.99,86.99,80.0,81.85,5032,421107.73,319
2024-11-11,81.85,85.93,85.94,85.43,85.94,9485,815014.05,271
2024-11-12,85.94,90.05,90.23,89.82,90.23,12099,1091324.93,151
2024-11-13,90.23,94.74,94.74,85.71,85.71,24829,2207497.07,374
2024-11-14,85.71,85.7,89.99,81.42,85.5,19575,1678606.59,653
2024-11-18,85.5,82.61,89.74,82.61,84.01,10295,882229.45,319
2024-11-19,84.01,86.99,86.99,79.8,80.27,13414,1098249.93,933
2024-11-21,80.27,80.27,80.27,76.25,76.57,9995,772787.75,288
2024-11-22,76.57,76.57,79.96,74.6,76.39,3625,281231.32,184
2024-11-25,76.39,76.42,78.32,74.41,76.17,5227,398752.73,366
2024-11-26,76.17,76.0,79.96,73.6,78.01,5703,436131.03,238
2024-11-27,78.01,79.01,81.91,77.0,79.74,10875,876727.16,313
2024-11-28,79.74,80.11,83.7,76.01,80.16,10208,817462.22,660
2024-11-29,80.16,79.06,82.22,77.06,79.54,5313,424077.87,285
2024-12-02,79.54,79.05,81.03,77.2,77.95,9403,743199.26,820
2024-12-03,77.95,77.95,81.8,77.92,79.72,5988,475398.45,395
2024-12-04,79.72,75.76,83.69,75.76,79.88,2971,239117.83,152
2024-12-05,79.88,79.88,80.05,75.88,77.84,8544,671197.73,401
2024-12-06,77.84,78.84,82.0,76.81,79.31,12113,965140.18,614
2024-12-09,79.31,83.66,86.0,78.31,82.16,23471,1943608.44,840
2024-12-10,82.16,85.0,85.0,78.1,79.33,10350,844240.76,371
2024-12-11,79.33,81.88,81.94,77.42,79.48,5299,422135.06,264
2024-12-12,79.48,80.6,80.89,76.21,77.43,5971,465670.99,299
2024-12-13,77.43,77.45,78.98,75.5,77.34,4827,375314.73,192
2024-12-16,77.34,80.77,80.77,77.5,78.26,5237,411994.47,232
2024-12-17,78.26,79.64,79.64,76.52,77.05,3677,284403.09,248
2024-12-18,77.05,77.65,77.76,74.61,74.9,4808,366459.64,462
2024-12-19,74.9,74.99,76.78,72.74,73.63,5151,385302.54,285
2024-12-20,73.63,73.26,75.19,68.29,68.9,18117,1284421.36,1159
2024-12-23,68.9,73.89,73.89,68.02,73.27,8552,613464.26,460
2024-12-24,73.27,73.27,77.71,70.81,77.24,10793,801605.95,381
2024-12-26,77.24,77.24,84.29,73.4,74.76,18683,1473748.67,697
2024-12-27,74.76,76.0,78.89,72.91,73.65,5304,395235.0,213
2024-12-30,73.65,73.65,75.68,73.0,73.05,2686,197483.83,192
2024-12-31,73.05,72.68,73.99,68.4,71.49,4821,344125.13,399
2025-01-01,71.49,72.0,76.05,71.91,74.91,4372,326918.05,270
2025-01-02,74.91,76.05,77.0,75.2,76.42,3259,248433.03,274
2025-01-03,76.42,77.39,77.39,75.0,75.41,2440,185217.88,247
2025-01-06,75.41,70.13,75.98,70.13,73.59,3429,252149.56,267
2025-01-07,73.59,75.43,75.43,72.0,73.67,1855,136271.43,164
2025-01-08,73.67,73.0,76.0,70.6,74.62,6479,472551.98,343
2025-01-09,74.62,75.6,75.6,71.42,71.75,1497,108464.68,230
2025-01-10,71.75,71.36,71.7,68.1,68.81,4615,322029.8,313
2025-01-13,68.81,68.08,68.75,64.51,66.33,5786,384117.97,372
2025-01-14,66.33,63.43,71.1,63.43,71.02,3310,230137.14,195
2025-01-15,71.02,75.77,77.3,66.62,67.33,13954,992916.87,699
2025-01-16,67.33,71.8,71.8,68.32,68.95,2626,181697.62,289
2025-01-17,68.95,72.71,72.71,69.0,69.81,9119,640425.13,493
2025-01-20,69.81,69.81,74.98,69.81,71.59,5428,394008.05,349
2025-01-21,71.59,72.6,72.6,68.5,69.27,5677,394110.59,334
2025-01-22,69.27,70.26,70.5,67.1,70.09,3142,214913.96,236
2025-01-23,70.09,70.09,71.22,68.01,68.46,6050,419806.67,304
2025-01-24,68.46,69.49,71.01,68.25,69.31,2559,178307.55,286
2025-01-27,69.31,68.98,69.82,66.01,68.03,2395,164206.68,251
2025-01-28,68.03,72.19,74.0,66.02,66.51,3273,225450.7,226
2025-01-29,66.51,66.61,71.39,66.6,68.13,4848,330469.18,314
2025-01-30,68.13,67.16,71.9,67.16,69.0,3516,245839.03,139
2025-01-31,69.0,69.0,69.99,68.01,69.53,2875,199331.86,117
2025-02-03,68.13,69.09,69.09,66.28,66.89,2260,152233.27,126
2025-02-04,66.89,70.88,70.9,67.62,70.42,5105,358424.37,180
2025-02-05,70.42,72.8,73.0,70.41,71.19,2559,183085.08,125
2025-02-06,71.19,71.21,71.21,67.2,68.45,6709,459270.98,155
2025-02-07,68.45,68.48,71.18,68.1,68.98,1843,127812.26,92
2025-02-10,68.98,72.0,78.5,65.0,68.64,23203,1650106.37,573
2025-02-11,68.64,69.11,77.8,66.55,67.75,29451,2060232.69,1102
2025-02-12,67.75,70.98,70.99,63.15,65.65,15006,991932.53,502
2025-02-13,65.65,70.0,70.0,66.4,68.17,3495,239608.39,310
2025-02-14,68.17,69.15,72.98,66.02,67.69,8467,590742.96,676
2025-02-17,67.69,81.22,81.22,81.22,81.22,132313,10746461.86,205
2025-02-18,81.22,89.0,97.4,81.0,82.12,506740,46746267.69,6452
2025-02-19,82.12,84.18,93.89,83.5,84.8,170404,15150386.47,3117
2025-02-20,84.8,84.99,84.99,80.0,80.49,49530,4040740.41,1776
2025-02-21,80.49,81.99,84.1,77.0,78.44,53908,4314991.78,1019
2025-02-24,78.44,77.02,79.55,73.49,78.22,18120,1389767.72,515
2025-02-25,78.22,78.15,86.9,75.15,82.5,106258,8644458.05,1507
2025-02-27,82.5,82.95,82.95,73.56,76.36,26648,2121396.43,703
2025-02-28,76.36,72.01,75.63,72.01,73.65,16685,1230258.98,428
2025-03-03,73.65,74.71,76.6,70.08,72.21,16543,1212029.61,412
2025-03-04,72.21,75.0,75.0,68.0,69.73,20994,1485889.98,598
2025-03-05,69.73,72.25,76.5,70.0,71.49,52139,3823730.53,802
2025-03-06,71.49,74.9,75.0,70.82,71.29,53102,3888557.26,3147
2025-03-07,71.29,73.99,77.23,70.5,71.87,36674,2683147.92,1895
2025-03-10,71.87,71.16,74.39,71.16,72.82,21155,1545159.88,707
2025-03-11,72.82,71.01,74.39,70.2,73.78,37122,2710679.24,2160
2025-03-12,73.78,73.79,78.1,71.7,72.11,44080,3285799.69,1903
2025-03-13,72.11,72.12,75.68,71.5,73.51,32467,2399549.35,1237
2025-03-17,73.51,74.24,84.73,74.24,78.25,160160,12852744.25,4349
2025-03-18,78.25,78.25,80.84,77.0,78.26,16449,1299206.6,788
2025-03-19,78.26,82.0,82.0,77.5,77.89,37106,2926190.31,1132
2025-03-20,77.89,77.9,78.65,76.35,77.1,18647,1445784.5,992
2025-03-21,77.1,76.62,80.5,75.61,78.53,27866,2197731.84,1271
2025-03-24,78.53,79.9,80.2,78.2,79.22,13278,1050503.45,1150
2025-03-25,79.22,80.9,81.0,78.0,79.41,38775,3076196.59,891
2025-03-26,79.41,76.71,79.15,74.0,76.12,18390,1430618.83,1133
2025-03-27,76.12,75.0,75.07,67.16,68.05,48056,3409648.37,2589
2025-03-28,68.05,68.95,72.0,68.95,70.73,31507,2228506.79,1834
2025-04-01,70.73,70.7,72.99,69.01,72.2,18520,1326715.28,1371
2025-04-02,72.2,72.21,74.0,71.26,72.65,13622,988165.55,910
2025-04-03,72.65,70.5,74.7,70.0,74.36,14223,1045136.57,810
2025-04-04,74.36,75.49,78.56,73.64,77.22,13679,1038504.99,527
2025-04-07,77.22,76.0,76.0,70.0,72.42,16857,1203343.02,971
2025-04-08,72.42,77.8,77.8,72.37,74.2,18258,1345846.74,1532
2025-04-09,74.2,77.99,77.99,72.15,74.66,5573,410662.96,483
2025-04-11,74.66,74.66,77.36,74.0,75.8,7861,594612.47,382
2025-04-15,75.8,77.25,80.85,74.81,77.25,19361,1501576.54,1733
2025-04-16,77.25,78.13,81.0,72.41,77.49,12600,962506.82,488
2025-04-17,77.49,78.96,78.96,75.95,77.47,8655,670475.27,316
2025-04-21,77.47,78.6,79.52,73.77,75.86,15758,1194113.22,732
2025-04-22,75.86,77.0,77.13,73.5,73.99,20357,1525219.75,616
2025-04-23,73.99,76.96,76.96,73.54,73.98,11424,846420.07,328
2025-04-24,73.98,74.1,76.01,70.01,71.57,18502,1345957.34,1095
2025-04-25,71.57,75.88,75.88,68.99,69.93,19064,1350435.66,839
2025-04-28,69.93,72.88,72.88,69.22,69.96,7904,555888.8,356
2025-04-29,69.96,69.96,72.25,69.71,71.96,16319,1161748.6,938
2025-04-30,71.96,70.99,73.19,68.9,69.58,9584,669012.36,608
2025-05-02,69.58,69.58,72.87,69.58,71.1,4705,333927.69,345
2025-05-05,71.1,70.0,72.3,70.0,71.59,6724,482051.27,244
2025-05-06,71.59,70.0,73.0,69.5,70.15,5332,373251.68,272
2025-05-07,70.15,68.04,70.67,68.03,70.09,5428,377641.57,187
2025-05-08,70.09,69.01,72.32,69.01,70.51,11287,797794.71,268
2025-05-09,70.51,70.08,70.19,63.7,66.46,8859,597968.33,285
2025-05-12,66.46,72.01,73.0,67.01,70.1,5065,355837.18,378
2025-05-13,70.1,69.3,72.9,69.05,72.18,14556,1034414.82,546
2025-05-14,72.18,72.88,72.88,70.1,71.78,6246,449550.93,466
2025-05-15,71.78,71.79,73.41,70.5,72.07,7768,558766.28,428
2025-05-16,72.07,72.9,74.54,70.3,73.12,10494,759996.59,535
2025-05-19,73.12,72.85,73.27,71.28,71.42,5452,392898.87,343
2025-05-20,71.42,72.56,85.7,71.81,77.31,336537,27310355.63,4181
