Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,54.4,54.75,55.15,54.05,54.9,175657,9638592.9,1025
2017-01-03,54.9,55.0,58.45,55.0,57.55,598634,34329700.65,3320
2017-01-04,57.55,57.75,58.45,57.1,57.35,138968,8031852.9,1251
2017-01-05,57.35,57.6,58.45,57.0,57.9,246750,14292466.3,1216
2017-01-06,57.9,58.0,59.6,57.5,58.55,697285,40926395.2,2762
2017-01-09,58.55,58.0,60.25,57.75,59.4,596906,35253890.8,3511
2017-01-10,59.4,59.5,62.8,59.2,61.9,1205619,73776471.95,7131
2017-01-11,61.9,62.1,62.8,61.1,61.65,645038,40109352.75,5195
2017-01-12,61.65,61.95,61.95,59.7,60.25,296881,17947991.75,2854
2017-01-13,60.25,60.45,63.0,58.75,62.55,843827,51864683.95,5764
2017-01-16,62.55,63.0,63.7,61.8,62.25,410097,25652202.4,4170
2017-01-17,62.25,62.1,63.3,61.0,61.35,326855,20299084.9,2717
2017-01-18,61.35,61.65,62.45,60.75,60.95,166548,10210533.75,2049
2017-01-19,60.95,60.95,61.35,59.0,59.5,349110,21016626.4,2508
2017-01-20,59.5,59.35,60.75,58.15,58.35,289869,17176505.4,1642
2017-01-23,58.35,58.0,59.95,58.0,59.4,141288,8347766.6,1484
2017-01-24,59.4,59.5,60.3,59.25,59.45,179895,10742432.3,1427
2017-01-25,59.45,60.3,61.2,59.6,60.7,388302,23570264.0,2421
2017-01-27,60.7,61.25,61.25,59.35,59.6,414035,24766459.5,2366
2017-01-30,59.6,59.9,60.3,58.15,58.4,267896,15783242.6,1804
2017-01-31,58.4,58.4,58.8,57.25,57.65,282552,16328319.9,3528
2017-02-01,57.65,57.55,60.95,56.8,60.6,420298,25037791.1,2211
2017-02-02,60.6,60.8,63.2,59.55,62.4,810389,50472575.95,5975
2017-02-03,62.4,62.5,62.9,57.15,58.9,934985,56311331.45,6441
2017-02-06,58.9,59.15,59.8,57.05,58.75,419849,24759978.15,2554
2017-02-07,58.75,58.75,60.2,58.0,59.1,300660,17803555.95,2153
2017-02-08,59.1,59.4,59.45,57.9,58.2,284532,16666638.1,1493
2017-02-09,58.2,58.4,59.05,56.8,57.05,457607,26480105.55,2398
2017-02-10,57.05,57.35,58.0,57.05,57.2,259899,14942639.25,1545
2017-02-13,57.2,57.35,58.0,56.05,56.9,378625,21540461.05,1933
2017-02-14,56.9,57.05,57.3,55.8,56.15,221774,12472023.3,1294
2017-02-15,56.15,56.35,56.35,54.9,55.1,224719,12456029.25,1408
2017-02-16,55.1,55.1,56.4,54.8,56.05,158795,8842830.45,1156
2017-02-17,56.05,56.6,56.9,55.3,55.65,185444,10395579.35,1126
2017-02-20,55.65,55.65,56.8,55.0,56.25,281992,15794279.8,1234
2017-02-21,56.25,56.35,56.8,56.05,56.4,190925,10774823.3,955
2017-02-22,56.4,56.85,56.85,55.2,55.45,268644,14976935.7,1602
2017-02-23,55.45,55.5,56.0,55.1,55.6,163814,9113289.55,1121
2017-02-27,55.6,55.6,56.7,55.2,56.2,228718,12807062.45,1888
2017-02-28,56.2,56.25,57.0,56.2,56.85,177525,10054445.15,920
2017-03-01,56.85,58.0,59.7,57.55,59.05,1196705,70652322.85,5943
2017-03-02,59.05,61.7,62.5,59.5,59.7,1220758,74343692.95,7614
2017-03-03,59.7,59.0,60.5,58.55,59.85,308924,18394733.6,2185
2017-03-06,59.85,59.95,61.8,58.5,59.05,271456,16253439.85,1691
2017-03-07,59.05,59.35,59.6,57.55,57.95,396639,23111516.45,4267
2017-03-08,57.95,58.5,58.5,57.05,57.45,241413,13900046.9,2504
2017-03-09,57.45,57.45,57.85,56.4,56.85,174948,10006272.0,1697
2017-03-10,56.85,56.95,58.1,56.8,57.3,179341,10317877.1,1208
