Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,92.75,92.5,93.85,90.4,92.6,1216,111872.75,21
2017-01-03,92.6,93.5,94.2,93.5,93.5,561,52572.6,15
2017-01-04,93.5,94.85,98.0,94.85,97.0,11052,1068560.55,56
2017-01-05,97.0,99.95,101.0,97.9,100.7,30349,3039146.35,277
2017-01-06,100.7,100.0,103.0,99.95,101.35,17784,1805072.3,235
2017-01-09,101.35,101.0,116.0,100.7,112.0,51660,5655547.85,561
2017-01-10,112.0,116.0,131.85,114.0,126.85,332914,41891400.5,5171
2017-01-11,126.85,126.0,126.0,120.05,121.8,38964,4753567.55,802
2017-01-12,121.8,123.95,123.95,116.0,118.75,25991,3070039.15,449
2017-01-13,118.75,117.05,129.5,117.05,126.05,160264,20174792.85,2326
2017-01-16,126.05,125.7,129.5,123.0,124.15,13181,1666261.4,321
2017-01-17,124.15,123.0,124.9,119.6,120.6,12160,1487461.55,286
2017-01-18,120.6,120.0,124.8,118.0,121.0,6280,767324.1,159
2017-03-07,117.45,118.0,120.0,116.55,118.9,1850,218452.5,10
2017-03-08,118.9,115.5,120.0,115.5,118.9,3361,399568.25,19
2017-03-09,118.9,114.0,121.95,114.0,115.05,4729,549864.3,28
2017-03-10,115.05,114.2,117.8,114.1,116.65,1553,180254.0,25
2017-03-14,116.65,120.0,120.0,115.55,116.0,5288,622871.6,44
2017-03-15,116.0,117.0,117.0,115.5,115.5,2610,303880.0,17
2017-03-16,115.5,116.0,118.85,115.0,116.1,2251,260758.85,27
2017-03-17,116.1,113.35,118.2,113.3,114.45,3432,392409.25,36
2017-03-20,114.45,113.0,120.1,113.0,118.75,10004,1192217.05,65
2017-03-21,118.75,115.0,122.0,115.0,120.05,24401,2924913.6,63
2017-03-22,120.05,116.05,126.05,116.05,126.05,30161,3779609.0,174
2017-03-23,126.05,126.0,132.35,126.0,132.35,42988,5653001.7,325
2017-03-24,132.35,137.7,138.95,137.5,138.95,97421,13511052.15,87
2017-03-27,138.95,143.0,143.0,132.05,132.25,36984,5116481.6,382
2017-03-28,132.25,129.0,136.0,129.0,132.05,2494,327651.95,49
2017-03-29,132.05,132.05,134.0,129.05,129.95,6810,897441.5,101
2017-03-30,129.95,127.0,132.0,125.3,131.45,9716,1265665.75,129
2017-03-31,131.45,131.45,137.5,126.2,128.15,1036,134121.55,31
2017-04-03,128.15,128.95,134.0,127.3,128.1,4542,595805.65,66
2017-04-05,128.1,125.05,129.9,125.05,127.45,3735,475286.25,20
2017-04-06,127.45,126.5,133.0,125.5,126.7,15061,1934799.2,162
2017-04-07,126.7,127.0,130.15,123.9,124.65,8179,1033608.7,74
2017-04-10,124.65,128.0,128.0,120.0,125.3,15244,1863819.85,101
2017-04-11,125.3,127.0,129.9,123.05,126.1,3201,407024.65,42
2017-04-12,126.1,125.05,126.7,123.5,124.0,8635,1071113.7,62
2017-04-13,124.0,123.0,123.5,120.0,120.1,3065,371921.65,61
2017-04-17,120.1,122.0,123.95,117.3,119.35,4319,515962.8,62
2017-04-18,119.35,120.1,124.3,116.0,117.85,4673,560441.15,77
2017-04-19,117.85,118.0,126.0,117.0,124.45,6762,834104.3,166
2017-04-20,124.45,126.0,130.0,122.05,126.1,8058,1021077.1,122
2017-04-21,126.1,123.0,126.8,122.2,122.95,5840,721087.6,28
2017-04-24,122.95,125.0,126.45,121.5,122.45,6266,768687.55,52
2017-04-25,122.45,120.5,130.0,120.5,125.0,11593,1460542.25,135
2017-04-26,125.0,123.05,129.5,121.25,121.55,7442,927157.45,89
2017-04-27,121.55,122.0,122.5,120.3,121.5,3292,399934.3,41
2017-04-28,121.5,124.0,124.0,119.0,120.7,4580,552214.05,59
2017-05-02,120.7,120.1,121.2,117.25,119.05,4574,546204.6,53
2017-05-03,119.05,117.7,119.0,117.0,119.0,5230,618496.55,33
2017-05-04,119.0,117.75,121.3,117.75,118.75,2056,245923.75,39
2017-05-05,118.75,120.6,121.0,112.4,115.2,3921,455506.55,72
2017-05-08,115.2,113.05,118.5,113.05,115.0,3000,347820.45,31
2017-05-09,115.0,118.4,118.4,114.25,114.95,9912,1140569.75,83
2017-05-10,114.95,117.9,118.9,116.25,116.35,2106,246426.15,39
2017-05-11,116.35,114.4,118.0,114.0,114.65,4232,489617.15,70
2017-05-12,114.65,114.65,117.5,110.15,112.65,5950,672742.5,60
2017-05-15,112.65,115.8,115.8,112.25,112.75,3452,391309.8,35
2017-05-16,112.75,112.0,114.0,111.3,114.0,457,51275.85,12
2017-05-17,114.0,115.0,116.0,111.85,114.0,1161,133165.45,26
2017-05-18,114.0,112.1,114.5,112.0,112.0,3075,344420.0,12
2017-05-19,112.0,112.0,114.0,110.0,110.35,1874,209133.7,26
2017-05-22,110.35,114.8,114.9,108.55,109.4,3912,430099.0,46
2017-05-23,109.4,110.0,113.9,108.0,110.45,2183,243244.05,30
2017-05-24,110.45,110.4,110.4,103.5,104.0,6067,656141.5,49
2017-05-25,104.0,104.3,108.0,104.3,107.65,4561,485265.35,44
2017-05-26,107.65,104.5,108.8,104.5,105.25,4917,525248.7,74
2017-05-29,105.25,104.8,106.5,101.1,102.45,2132,221874.55,32
2017-05-30,102.45,105.5,105.5,100.5,100.75,2670,275692.6,34
2017-05-31,100.75,104.8,109.8,100.5,101.9,2565,263518.55,39
2017-06-01,101.9,105.0,105.0,99.0,99.8,3259,329406.7,58
2017-06-02,99.8,103.4,108.8,99.3,100.15,3575,362893.3,43
2017-06-05,100.15,100.55,102.0,99.0,99.7,2320,231948.05,34
2017-06-06,99.7,96.5,99.85,96.5,97.65,6029,588585.9,57
2017-06-07,97.65,97.75,102.0,97.7,99.85,5167,517768.75,88
2017-06-08,99.85,98.8,102.0,93.25,97.45,5357,526090.1,65
2017-06-09,97.45,97.5,104.0,95.5,98.2,9980,994557.3,193
2017-06-12,98.2,97.5,100.9,97.5,97.9,9668,955761.95,69
2017-06-13,97.9,99.95,100.0,96.1,97.45,2490,244618.25,55
2017-06-14,97.45,96.3,99.7,95.5,95.7,7930,767721.1,154
2017-06-15,95.7,97.0,97.0,94.9,95.95,8397,805432.4,104
2017-06-16,95.95,97.3,97.45,88.1,90.3,141692,12904940.7,425
2017-06-19,90.3,92.0,98.4,87.1,91.6,42461,3871713.7,521
2017-06-20,91.6,91.6,95.25,91.6,93.5,20186,1889837.25,345
2017-06-21,93.5,94.7,95.95,94.2,94.2,5000,473878.4,59
2017-06-22,94.2,96.75,97.0,93.85,94.2,3558,339214.4,64
2017-06-23,94.2,92.5,95.0,92.35,93.5,9568,906298.6,58
2017-06-27,93.5,95.2,96.75,93.6,94.95,6131,581475.45,57
2017-06-28,94.95,96.0,100.5,93.2,99.3,22761,2233014.7,172
2017-06-29,99.3,101.5,104.9,97.3,98.95,6570,665723.6,131
2017-06-30,98.95,99.9,100.4,97.0,99.7,366,35951.9,13
2017-07-03,99.7,100.0,100.7,97.7,100.0,594,58918.0,20
2017-07-04,100.0,103.45,103.45,98.7,100.05,6113,612179.7,46
2017-07-05,100.05,100.7,102.35,100.0,101.95,3005,303623.8,41
2017-07-06,101.95,100.0,100.3,100.0,100.3,2860,286667.0,9
2017-07-07,100.3,100.5,104.0,100.5,103.3,10742,1104464.65,190
2017-07-10,103.3,109.65,112.0,108.35,108.95,4620,508827.85,75
2017-07-11,108.95,106.0,111.9,106.0,107.25,5007,547502.95,59
2017-07-12,107.25,106.6,111.0,102.3,103.45,11984,1244708.8,198
2017-07-13,103.45,101.4,108.95,101.0,102.1,7132,733540.5,109
2017-07-14,102.1,104.0,104.0,100.0,102.15,6056,614270.55,59
2017-07-17,102.15,101.75,104.7,101.75,102.35,9033,929191.6,83
2017-07-18,102.35,101.25,103.0,100.0,100.25,12781,1288895.45,56
2017-07-19,100.25,100.25,101.95,97.5,98.4,7246,719109.7,104
2017-07-20,98.4,100.9,101.95,98.55,99.45,14158,1412857.8,77
2017-07-21,99.45,98.15,100.8,98.0,98.45,3391,334470.2,69
2017-07-24,98.45,99.0,100.0,98.55,98.55,1723,171577.25,16
2017-07-25,98.55,97.9,103.45,97.9,101.55,13452,1367821.05,221
2017-07-26,101.55,102.0,117.95,102.0,105.2,185020,20548167.3,2675
2017-07-27,105.2,105.45,117.8,105.45,112.0,149193,16704514.9,2047
2017-07-28,112.0,110.0,115.85,103.05,104.1,113692,12474732.3,1774
2017-07-31,104.1,104.2,104.95,102.25,103.25,11529,1190920.6,230
2017-08-01,103.25,104.2,104.5,99.75,100.2,13686,1392867.1,205
2017-08-02,100.2,99.6,102.0,99.55,101.0,7863,793163.5,74
