Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,285.31,283.1,287.11,277.85,281.98,11453.27,3217895.2,300
2017-01-03,281.98,286.47,286.47,279.42,282.14,10189.35,2877118.25,423
2017-01-04,282.14,280.89,285.83,277.91,282.88,4713.94,1330788.3,418
2017-01-05,282.88,281.21,286.34,279.42,282.3,10794.79,3037530.0,581
2017-01-06,282.3,285.18,285.76,280.09,282.14,1746.08,492946.05,136
2017-01-09,282.14,284.48,297.36,278.07,295.76,32797.86,9503045.05,1017
2017-01-10,295.76,296.72,298.0,288.39,293.48,8120.28,2381333.1,818
2017-01-11,293.48,289.67,309.22,287.11,303.19,28742.41,8647271.7,1199
2017-01-12,303.19,308.26,308.64,291.59,302.68,26217.69,7864625.55,1748
2017-01-13,302.68,299.92,303.77,293.52,297.39,9791.46,2921778.9,1066
2017-01-16,297.39,299.92,301.43,291.59,292.01,7341.64,2162831.8,1045
2017-01-17,292.01,291.59,299.54,289.74,292.62,4511.09,1319547.15,545
2017-01-18,292.62,288.45,296.72,288.45,291.63,8657.05,2522091.75,669
2017-01-19,291.63,289.99,294.73,284.93,291.56,8859.9,2584245.0,875
2017-01-20,291.56,289.03,296.4,288.39,289.57,13953.02,4042668.7,682
2017-01-23,289.57,289.03,293.58,285.25,288.45,7274.54,2098806.15,475
2017-01-24,288.45,288.77,294.8,288.77,291.14,4128.8,1199362.7,583
2017-01-25,291.14,289.67,295.12,288.39,292.01,12462.84,3635296.75,706
2017-01-27,292.01,287.75,296.08,287.75,294.86,10261.13,3019923.9,321
2017-01-30,294.86,289.67,295.6,288.97,291.08,12667.26,3688685.95,586
2017-01-31,291.08,296.08,296.08,287.11,288.23,22705.25,6548820.2,362
2017-02-01,288.23,290.18,298.0,282.65,295.57,7057.65,2054397.35,375
2017-02-02,295.57,294.09,298.64,287.49,292.59,9552.72,2791236.45,1003
2017-02-03,292.59,290.31,300.73,288.71,298.93,18052.17,5354042.75,1066
2017-02-06,298.93,301.21,328.06,296.08,317.26,134989.45,42937998.75,3934
2017-02-07,317.26,317.87,323.64,316.65,319.05,21183.87,6768258.65,1281
