Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,18.95,19.2,19.4,18.7,19.3,313534,5958904.8,722
2017-01-03,19.3,19.4,19.9,19.25,19.7,328943,6469427.4,776
2017-01-04,19.7,20.0,20.0,19.65,19.85,338217,6709986.15,567
2017-01-05,19.85,20.2,20.5,20.0,20.25,292599,5910855.05,951
2017-01-06,20.25,20.4,20.7,20.05,20.1,380580,7775186.75,919
2017-01-09,20.1,20.5,20.5,19.95,20.25,356229,7189205.5,579
2017-01-10,20.25,20.45,20.5,20.3,20.4,278824,5688122.0,460
2017-01-11,20.4,20.45,20.6,20.3,20.35,413261,8448476.1,552
2017-01-12,20.35,20.45,20.5,20.0,20.0,309057,6252183.05,359
2017-01-13,20.0,20.1,20.25,20.05,20.15,320749,6463355.85,528
2017-01-16,20.15,20.0,20.3,19.8,20.3,323048,6493361.7,458
2017-01-17,20.3,20.3,20.3,19.85,20.1,300776,6042696.5,481
2017-01-18,20.1,20.1,20.85,19.95,20.05,671066,13709727.55,1020
2017-01-19,20.05,20.05,24.05,20.05,24.05,5917165,137481810.25,9853
2017-01-20,24.05,26.0,28.2,25.55,27.2,13325228,361811989.85,29298
2017-01-23,27.2,28.15,29.2,25.75,26.35,4886390,130922907.15,14534
2017-01-24,26.35,26.6,27.5,25.85,26.0,1390847,36695915.75,3781
2017-01-25,26.0,26.1,26.35,24.7,24.8,1068966,26867860.6,3610
2017-01-27,24.8,24.65,25.35,24.55,24.8,852933,21228337.5,2322
2017-01-30,24.8,24.5,24.9,23.55,23.9,934618,22372700.45,2349
2017-01-31,23.9,23.6,23.8,23.0,23.35,771204,17966486.35,3352
2017-02-01,23.35,23.25,23.5,22.8,22.95,634058,14644793.7,1911
2017-02-02,22.95,22.8,23.65,22.8,23.35,498338,11627985.95,1887
2017-02-03,23.35,23.7,25.2,23.2,24.95,1179381,28399481.7,3048
2017-02-06,24.95,25.2,25.85,24.9,25.55,680533,17250497.5,2077
2017-02-07,25.55,25.65,25.9,25.2,25.6,573508,14673906.7,1709
2017-02-08,25.6,25.6,26.0,25.55,25.75,513064,13228442.35,1168
2017-02-09,25.75,25.75,25.85,24.35,25.3,518397,12988651.1,1715
2017-02-10,25.3,25.4,26.7,25.15,25.75,748026,19459352.25,2255
2017-02-13,25.75,25.8,30.9,25.25,30.2,4904588,146395552.5,7689
2017-02-14,30.2,31.2,31.8,27.85,28.85,8113841,236837442.0,20106
2017-02-15,28.85,28.95,29.65,25.9,26.4,4403305,122697576.7,13157
2017-02-16,26.4,26.1,27.4,26.0,26.55,1765667,46896146.15,4885
2017-02-17,26.55,26.8,26.95,26.05,26.15,747794,19736815.3,1733
2017-02-20,26.15,26.2,26.7,25.0,26.3,631077,16585516.5,2080
2017-02-21,26.3,26.25,26.95,26.05,26.35,546436,14464314.45,1758
2017-02-22,26.35,26.5,26.8,25.8,26.1,520694,13717893.4,1489
2017-02-23,26.1,26.25,26.3,25.85,26.05,348078,9074566.3,1236
2017-02-27,26.05,26.4,26.6,26.1,26.4,557595,14662015.95,1546
2017-02-28,26.4,26.3,26.4,26.05,26.2,414149,10852875.0,821
2017-03-01,26.2,26.35,27.6,26.3,27.45,910847,24744798.15,2962
2017-03-02,27.45,27.6,29.5,27.6,27.9,3438564,98111129.9,9238
2017-03-03,27.9,27.7,28.6,27.1,27.25,1284433,35692748.15,3317
