Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,286.85,291.5,292.95,284.25,291.4,27733,8017103.7,571
2017-01-03,291.4,290.1,293.65,287.3,292.75,25541,7460836.05,580
2017-01-04,292.75,293.05,300.0,285.35,287.45,25426,7413891.25,477
2017-01-05,287.45,290.05,296.0,288.3,292.0,26698,7804005.05,488
2017-01-06,292.0,292.05,304.9,287.35,296.7,29796,8845986.0,685
2017-01-09,296.7,297.05,304.8,296.0,302.5,25430,7586408.75,240
2017-01-10,302.5,302.5,302.5,289.35,291.3,26227,7752213.05,389
2017-01-11,291.3,300.0,305.0,284.45,297.65,57221,16955907.8,719
2017-01-12,297.65,293.5,294.5,283.3,285.8,31322,9019223.55,786
2017-01-13,285.8,288.5,297.7,284.35,295.0,58255,17006343.0,498
2017-01-16,295.0,295.05,296.95,289.0,296.75,51171,15078980.5,396
2017-01-17,296.75,296.75,296.8,285.4,288.95,53018,15563806.2,482
2017-01-18,288.95,289.05,294.0,289.0,292.6,25402,7394958.05,381
2017-01-19,292.6,293.05,294.0,287.5,290.35,25435,7432421.05,414
2017-01-20,290.35,290.35,294.2,285.45,289.7,27292,7964402.45,462
2017-01-23,289.7,290.05,293.0,288.3,289.7,25068,7278187.0,182
2017-01-24,289.7,293.75,293.8,287.3,291.05,26045,7586647.1,411
2017-01-25,291.05,291.05,293.3,288.4,291.65,25254,7360109.35,608
2017-01-27,291.65,291.7,291.75,285.4,291.0,25235,7318283.15,408
2017-01-30,291.0,292.0,293.0,288.0,290.0,25240,7346995.75,442
2017-01-31,290.0,291.05,292.95,287.3,288.5,25503,7390554.45,381
2017-02-01,288.5,291.0,291.35,288.3,290.9,25302,7351691.35,378
2017-02-02,290.9,290.9,292.3,287.0,290.2,27318,7932197.75,360
2017-02-03,290.2,300.0,300.0,289.2,294.55,25431,7415313.35,406
2017-02-06,294.55,294.55,299.9,287.4,289.6,27937,8167043.25,523
2017-02-07,289.6,291.25,292.0,288.9,290.4,25596,7448915.6,338
2017-02-08,290.4,292.4,292.4,285.0,288.35,25473,7399528.95,433
2017-02-09,288.35,290.0,297.15,286.4,288.95,26258,7624637.7,509
2017-02-10,288.95,290.95,291.1,287.95,289.7,27662,8036885.15,426
2017-02-13,289.7,290.05,296.9,287.3,292.4,26357,7703058.2,459
2017-02-14,292.4,292.4,294.0,287.4,290.7,25657,7455563.95,296
2017-02-15,290.7,291.05,293.55,290.85,292.65,25380,7420920.6,287
2017-02-16,292.65,292.5,292.5,287.45,289.85,25286,7342433.2,328
2017-02-17,289.85,290.1,294.05,287.45,292.0,25469,7432954.95,439
2017-02-20,292.0,290.05,291.5,276.0,286.7,29765,8582413.35,591
2017-02-21,286.7,287.5,289.35,284.15,286.75,27589,7940492.95,367
2017-02-22,286.75,289.4,289.75,284.25,286.75,26690,7696648.8,299
2017-02-23,286.75,289.05,289.25,284.25,287.2,27234,7848935.45,330
2017-02-27,287.2,288.1,290.05,283.4,286.05,25286,7285558.2,316
2017-02-28,286.05,289.05,289.2,283.0,285.5,26939,7748559.55,502
2017-03-01,285.5,287.7,289.5,277.35,280.85,28396,8146705.3,512
2017-03-02,280.85,284.45,288.5,284.45,286.0,29385,8442022.8,388
2017-03-03,286.0,286.5,288.0,282.2,284.6,26895,7726368.65,436
2017-03-06,284.6,285.2,288.6,283.45,284.6,26137,7494704.65,369
2017-03-07,284.6,285.05,289.5,284.05,285.6,25802,7425584.25,226
2017-03-08,285.6,286.05,289.0,286.05,287.2,25260,7282743.45,171
2017-03-09,287.2,288.05,290.0,284.0,285.55,25277,7263742.05,302
2017-03-10,285.55,286.1,288.7,284.0,285.3,27055,7775364.5,323
2017-03-14,285.3,287.05,288.25,284.45,285.8,25559,7341494.1,545
2017-03-15,285.8,287.05,288.4,284.45,286.0,25972,7454153.7,323
2017-03-16,286.0,286.5,287.65,282.95,284.9,29645,8494136.2,327
2017-03-17,284.9,288.0,288.0,283.25,286.15,27314,7825506.65,330
2017-03-20,286.15,286.7,287.95,276.95,283.1,26874,7695936.2,321
2017-03-21,283.1,285.3,287.65,247.0,261.2,43886,11951827.35,746
2017-03-22,261.2,279.05,297.25,234.1,244.8,56860,15276212.8,1956
2017-03-23,244.8,254.5,263.9,250.8,256.4,37832,9703581.5,562
2017-03-24,256.4,257.0,258.0,250.0,253.45,43306,11015952.65,486
2017-03-27,253.45,250.0,260.7,248.35,258.95,34564,8876556.3,327
2017-03-28,258.95,257.6,259.6,253.0,254.75,60168,15363769.55,269
2017-03-29,254.75,257.7,260.0,253.2,254.65,29833,7644957.45,305
2017-03-30,254.65,256.5,262.0,250.0,253.1,31212,7971831.6,566
2017-03-31,253.1,255.1,259.0,248.1,256.4,32641,8317033.05,672
2017-04-03,256.4,257.1,289.6,253.25,271.2,30252,7778136.75,430
2017-04-05,271.2,273.6,273.6,259.0,261.9,29683,7813978.4,461
2017-04-06,261.9,261.55,269.0,252.0,254.2,33791,8670784.05,623
2017-04-07,254.2,255.8,261.2,250.6,255.6,30442,7786734.8,443
2017-04-10,255.6,256.3,262.9,253.05,255.3,33241,8497789.8,720
2017-04-11,255.3,251.7,256.2,248.1,253.3,29115,7414705.05,330
2017-04-12,253.3,253.45,258.9,251.1,254.25,29093,7434266.85,409
2017-04-13,254.25,252.0,259.3,250.0,253.5,29550,7541763.75,432
2017-04-17,253.5,252.4,258.0,250.0,257.4,30565,7797145.05,402
2017-04-18,257.4,255.0,258.0,251.05,252.6,33688,8549920.1,783
2017-04-19,252.6,253.9,259.6,250.2,250.3,31090,7902183.5,523
2017-04-20,250.3,248.0,259.95,247.3,252.65,28816,7325847.3,450
2017-04-21,252.65,250.4,270.0,245.05,250.45,30725,7783419.8,421
2017-04-24,250.45,252.5,259.5,249.8,253.15,29687,7530093.2,455
2017-04-25,253.15,276.0,276.0,250.3,255.8,31219,7942466.2,589
2017-04-26,255.8,252.0,257.45,251.05,253.25,28022,7148471.75,348
2017-04-27,253.25,251.0,258.7,241.25,244.85,34607,8675152.2,706
2017-04-28,244.85,244.1,264.8,242.0,259.3,36882,9347693.35,661
2017-05-02,259.3,255.0,270.0,245.8,249.95,35874,9028677.1,646
2017-05-03,249.95,249.0,267.0,240.1,242.25,48638,12140038.9,1124
2017-05-04,242.25,241.0,253.95,240.7,244.4,34450,8437740.15,531
2017-05-05,244.4,240.6,249.9,240.6,241.8,35200,8572035.1,522
2017-05-08,241.8,241.0,248.3,232.2,238.6,37704,9223606.65,556
2017-05-09,238.6,240.0,245.7,238.3,241.0,33370,8063331.05,427
2017-05-10,241.0,236.0,244.8,233.05,236.5,35338,8470003.5,577
2017-05-11,236.5,236.0,242.95,231.6,240.25,37836,9017303.35,787
2017-05-12,240.25,239.0,244.0,236.15,239.0,36534,8718928.35,624
2017-05-15,239.0,244.0,244.0,233.1,235.5,37490,8904781.4,562
2017-05-16,235.5,235.0,249.7,233.65,237.4,35217,8402882.45,762
2017-05-17,237.4,235.5,248.0,235.0,239.1,36468,8679422.05,490
2017-05-18,239.1,238.0,247.5,235.05,235.6,33252,7975214.3,532
2017-05-19,235.6,233.0,239.95,227.0,238.15,33697,8005234.45,666
2017-05-22,238.15,239.1,239.1,230.0,233.05,30385,7142716.95,381
2017-05-23,233.05,238.0,238.0,230.3,232.45,31618,7414123.4,645
2017-05-24,232.45,237.0,237.0,225.7,231.95,28812,6734614.4,472
2017-05-25,231.95,236.15,237.0,225.0,228.55,30913,7219594.45,561
2017-05-26,228.55,232.2,233.4,226.35,228.15,29266,6777160.75,340
2017-05-29,228.15,229.2,233.0,226.15,228.45,30474,6991087.55,659
2017-05-30,228.45,231.7,240.25,225.0,231.55,32452,7489057.8,677
2017-05-31,231.55,268.0,268.0,229.0,232.3,32494,7655652.25,751
2017-06-01,232.3,242.0,242.0,230.2,234.75,19623,4598404.5,448
2017-06-02,234.75,243.65,243.65,230.2,231.2,32201,7528272.45,686
2017-06-05,231.2,238.05,240.0,232.2,238.9,31813,7464905.05,769
2017-06-06,238.9,222.0,243.0,222.0,237.8,29216,6840793.6,592
2017-06-07,237.8,239.2,249.95,237.0,239.6,29934,7247951.7,559
2017-06-08,239.6,252.0,257.0,241.2,251.2,33284,8172629.55,965
2017-06-09,251.2,249.0,250.9,235.35,239.45,32838,7980928.65,1155
2017-06-12,239.45,242.7,242.8,237.4,240.1,28420,6851354.8,379
2017-06-13,240.1,237.0,242.0,232.35,236.55,29047,6930081.25,577
2017-06-14,236.55,240.55,242.0,234.0,240.3,28586,6752311.0,558
2017-06-15,240.3,235.0,244.9,230.05,239.05,31188,7376463.85,750
2017-06-16,239.05,236.25,247.45,232.1,234.2,32636,7735155.95,649
2017-06-19,234.2,232.0,236.0,230.0,231.65,30889,7186589.85,451
2017-06-20,231.65,234.0,262.0,231.35,244.5,39117,9246906.5,1275
2017-06-21,244.5,245.0,245.95,233.0,233.7,35088,8241015.2,692
2017-06-22,233.7,235.0,235.0,231.0,231.5,29016,6754179.75,397
2017-06-23,231.5,229.45,235.5,228.0,232.45,30005,6971823.65,719
2017-06-27,232.45,236.9,236.9,227.3,232.95,28033,6507743.8,347
2017-06-28,232.95,252.0,252.0,231.0,234.5,29844,7012803.85,484
2017-06-29,234.5,236.0,236.0,230.3,231.1,30358,7066630.4,346
2017-06-30,231.1,235.0,235.0,228.0,229.35,32110,7400932.4,573
2017-07-03,229.35,229.1,242.2,227.2,231.95,40211,9340060.55,1558
2017-07-04,231.95,230.0,236.0,226.05,228.5,34805,8006826.65,592
2017-07-05,228.5,235.0,236.6,229.1,230.55,28527,6590221.15,466
2017-07-06,230.55,232.0,234.3,230.15,231.25,27062,6249909.15,502
2017-07-07,231.25,235.0,235.0,230.05,232.1,17621,4084034.95,311
2017-07-10,232.1,231.25,235.5,227.0,230.45,25283,5870417.25,272
2017-07-11,230.45,238.95,238.95,229.5,232.65,29449,6818371.7,511
2017-07-12,232.65,235.0,235.0,228.9,230.15,30262,7035412.1,601
2017-07-13,230.15,230.2,232.75,228.3,230.7,30752,7084558.35,702
2017-07-14,230.7,231.55,231.55,228.0,228.45,28912,6625013.35,439
2017-07-17,228.45,237.7,237.7,228.0,231.2,29860,6866709.7,508
2017-07-18,231.2,230.05,232.45,230.0,230.7,31170,7195348.85,482
2017-07-19,230.7,233.05,234.0,230.15,230.35,23082,5350243.75,316
2017-07-20,230.35,235.0,243.95,230.7,240.4,34369,8052772.65,675
2017-07-21,240.4,246.5,246.5,228.0,229.05,34915,8077291.5,761
2017-07-24,229.05,229.25,232.7,228.5,230.25,29503,6784021.5,507
2017-07-25,230.25,229.55,231.4,228.0,228.45,28196,6459140.6,326
2017-07-26,228.45,235.0,235.0,228.0,229.45,35426,8134373.8,492
2017-07-27,229.45,230.2,230.5,227.0,228.15,28762,6587540.35,350
2017-07-28,228.15,230.0,230.0,225.2,226.85,25337,5788810.95,342
2017-07-31,226.85,230.0,230.0,225.0,226.35,29992,6831833.6,390
2017-08-01,226.35,228.4,228.4,224.0,226.35,27884,6331562.2,417
2017-08-02,226.35,230.0,230.0,223.0,223.55,29296,6590957.8,489
2017-08-03,223.55,223.5,226.9,221.25,223.2,26375,5899284.7,350
2017-08-04,223.2,226.2,229.8,221.5,227.9,27113,6086188.65,428
