Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,23.81,23.68,24.29,23.22,23.56,765425.0,18080929.65,1916
2017-01-03,23.56,23.6,24.16,23.04,23.28,688362.5,16276433.5,2096
2017-01-04,23.28,23.42,23.87,22.92,23.0,486737.5,11390604.35,1524
2017-01-05,23.0,23.36,23.54,22.56,22.95,511587.5,11800401.25,1864
2017-01-06,22.95,23.09,24.24,22.6,23.68,1535112.5,36208145.0,4103
2017-01-09,23.68,23.68,24.94,23.32,23.77,1566975.0,37915370.8,5151
2017-01-10,23.77,23.83,24.39,23.7,23.82,393962.5,9457444.3,1423
2017-01-11,23.82,23.83,24.88,23.76,24.58,916237.5,22303700.4,1978
2017-01-12,24.58,24.56,27.2,24.56,24.93,2794587.5,71857749.5,6970
2017-01-13,24.93,25.19,25.58,23.84,24.36,719375.0,17933382.05,1851
2017-01-16,24.36,24.55,25.53,23.76,25.13,786200.0,19307442.4,1880
2017-01-17,25.13,25.44,26.02,25.22,25.41,604500.0,15489934.45,1960
2017-01-18,25.41,25.6,25.88,24.66,25.2,280712.5,7151769.45,763
2017-01-19,25.2,25.04,25.26,24.65,25.0,342087.5,8524067.6,578
2017-01-20,25.0,24.96,25.38,23.92,24.24,292675.0,7133921.15,824
2017-01-23,24.24,24.1,24.47,23.78,24.12,193212.5,4659302.25,452
2017-01-24,24.12,23.94,24.8,23.94,24.4,162300.0,3958805.1,474
2017-01-25,24.4,24.25,25.1,24.2,24.56,227737.5,5624257.2,519
2017-01-27,24.56,24.35,24.96,24.03,24.24,253387.5,6183204.05,977
2017-01-30,24.24,24.31,24.78,23.42,23.84,703387.5,16847534.05,1608
2017-01-31,23.84,23.86,24.4,23.2,23.21,183387.5,4304248.95,608
2017-02-01,23.21,22.97,23.76,22.41,23.01,270012.5,6199049.2,810
2017-02-02,23.01,23.12,23.6,22.52,22.63,163337.5,3743427.5,813
2017-02-03,22.63,22.97,23.12,22.64,22.84,103037.5,2356652.25,433
2017-02-06,22.84,22.88,23.51,22.8,23.13,110987.5,2569970.25,524
2017-02-07,23.13,23.28,23.36,22.5,22.96,167800.0,3852890.15,415
2017-02-08,22.96,22.78,23.05,21.98,22.22,89550.0,2016578.85,404
2017-02-09,22.22,22.16,22.64,21.52,21.88,118250.0,2591015.05,468
2017-02-10,21.88,22.22,22.34,20.88,21.31,353075.0,7587820.6,1261
2017-02-13,21.31,20.9,22.08,20.9,21.85,184312.5,3957218.3,597
2017-02-14,21.85,21.92,22.75,21.6,22.53,125525.0,2806052.45,314
2017-02-15,22.53,22.39,22.75,21.52,21.76,88550.0,1945465.2,356
2017-02-16,21.76,21.68,22.32,21.3,21.83,50012.5,1091897.85,259
2017-02-17,21.83,22.17,22.26,21.6,21.89,38675.0,849262.15,209
2017-02-20,21.89,22.16,23.6,21.6,22.87,93075.0,2077518.8,277
2017-02-21,22.87,23.28,23.58,22.64,22.96,127000.0,2908580.55,367
2017-02-22,22.96,23.24,23.28,22.25,22.47,112125.0,2522552.65,451
2017-02-23,22.47,22.56,22.88,22.37,22.52,63525.0,1431674.7,401
2017-02-27,22.52,22.48,22.85,22.25,22.6,182687.5,4136033.9,390
2017-02-28,22.6,22.29,22.98,22.1,22.65,70037.5,1572709.35,182
2017-03-01,22.65,22.41,22.72,22.24,22.31,45700.0,1024082.1,124
2017-03-02,22.31,22.59,22.59,21.81,22.04,58525.0,1299892.8,201
2017-03-03,22.04,21.84,21.99,21.22,21.58,60800.0,1314786.2,232
2017-03-06,21.58,22.23,22.23,21.62,21.85,21237.5,463623.1,169
2017-03-07,21.85,21.76,21.99,21.2,21.51,79612.5,1724930.75,303
2017-03-08,21.51,21.52,21.76,21.2,21.23,55550.0,1182130.95,176
2017-03-09,21.23,21.45,21.76,21.16,21.35,29112.5,624461.55,105
2017-03-10,21.35,22.16,22.4,20.56,20.72,85937.5,1809433.3,255
2017-03-14,20.72,21.6,21.6,20.0,20.1,485650.0,10003406.15,453
2017-03-15,20.1,20.32,20.68,20.02,20.09,321150.0,6554018.25,212
2017-03-16,20.09,20.48,21.11,20.08,20.86,676850.0,13693354.65,485
2017-03-17,20.86,21.1,22.52,20.64,21.34,282237.5,6135663.9,1506
2017-03-20,21.34,21.34,21.34,20.8,20.82,34125.0,715435.95,229
2017-03-21,20.82,21.6,21.6,20.48,20.66,81212.5,1692265.4,258
2017-03-22,20.66,20.26,20.92,20.19,20.39,693250.0,14187517.3,410
2017-03-23,20.39,21.04,21.04,19.98,20.09,816025.0,16544450.6,498
2017-03-24,20.09,20.29,21.83,20.08,20.7,519012.5,11021585.5,1863
2017-03-27,20.7,20.4,21.11,20.4,20.61,36200.0,747698.9,177
2017-03-28,20.61,20.83,20.83,20.19,20.28,441675.0,8932212.45,266
2017-03-29,20.28,20.59,20.64,19.6,19.96,103862.5,2073008.15,411
2017-03-30,19.96,19.76,20.4,19.76,20.02,54825.0,1107548.0,181
2017-03-31,20.02,20.42,20.42,19.84,19.93,50037.5,1001435.95,157
2017-04-03,19.93,20.67,20.72,19.82,20.34,56250.0,1143451.8,208
2017-04-05,20.34,20.14,20.8,20.12,20.38,88587.5,1805060.8,280
2017-04-06,20.38,20.8,21.42,20.51,20.72,109050.0,2276819.05,363
2017-04-07,20.72,21.15,21.15,20.36,20.61,74337.5,1538570.8,256
2017-04-10,20.61,20.6,21.06,20.24,20.29,67425.0,1374532.9,233
2017-04-11,20.29,20.32,20.72,20.17,20.23,37575.0,765154.35,174
2017-04-12,20.23,20.4,20.4,20.0,20.06,53562.5,1075118.7,128
2017-04-13,20.06,20.09,21.36,20.0,20.75,244400.0,5099170.8,673
2017-04-17,20.75,20.75,20.8,20.44,20.72,79850.0,1650208.5,155
2017-04-18,20.72,21.12,21.2,20.2,20.47,200837.5,4183739.65,332
2017-04-19,20.47,20.48,20.64,20.17,20.47,59550.0,1221815.75,176
2017-04-20,20.47,20.64,20.68,20.04,20.36,85012.5,1733918.0,179
2017-04-21,20.36,20.77,20.77,20.32,20.55,78812.5,1621924.4,214
2017-04-24,20.55,20.72,20.72,20.24,20.44,86900.0,1774564.95,193
2017-04-25,20.44,20.56,20.56,20.12,20.18,49137.5,992526.0,128
2017-04-26,20.18,20.09,21.19,19.38,20.27,104625.0,2142357.3,332
2017-04-27,20.27,20.21,20.39,20.17,20.19,53100.0,1074675.65,124
2017-04-28,20.19,20.17,20.55,20.17,20.17,26987.5,544864.8,90
2017-05-02,20.17,20.17,20.39,19.64,19.83,71762.5,1427495.2,120
2017-05-03,19.83,19.85,20.75,19.52,19.65,168962.5,3337392.75,307
2017-05-04,19.65,20.28,20.28,19.2,19.35,74450.0,1455704.5,165
2017-05-05,19.35,19.28,19.28,18.4,18.49,101600.0,1904291.15,326
2017-05-08,18.49,19.03,19.03,18.53,18.83,42650.0,800309.8,216
2017-05-09,18.83,19.2,19.51,18.71,18.82,101975.0,1929014.55,247
2017-05-10,18.82,19.0,19.15,18.82,18.88,43962.5,831336.2,79
2017-05-11,18.88,19.03,19.18,18.44,18.53,27300.0,512490.85,92
2017-05-12,18.53,18.48,19.04,18.18,18.61,91462.5,1697499.7,216
2017-05-15,18.61,18.63,18.71,18.25,18.48,32662.5,605168.15,107
