Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,169.35,171.3,171.3,169.35,170.45,26186,4463356.75,156
2017-01-03,170.45,170.5,173.65,169.95,172.05,50969,8711905.05,467
2017-01-04,172.05,173.65,189.5,172.7,185.15,194082,35564894.7,3107
2017-01-05,185.15,185.8,188.95,182.3,188.15,56627,10562106.7,1302
2017-01-06,188.15,187.9,194.0,186.8,191.85,86349,16587116.1,1591
2017-01-09,191.85,193.7,199.0,184.2,196.35,86098,16877638.75,1686
2017-01-10,196.35,197.55,198.8,192.5,193.85,58502,11472972.2,952
2017-01-11,193.85,194.95,207.0,192.95,202.85,95038,19042660.25,1284
2017-01-12,202.85,202.05,208.7,202.05,204.2,37103,7611775.15,931
2017-01-13,204.2,203.55,208.0,198.6,203.2,39907,8071487.8,1004
2017-01-16,203.2,203.75,206.95,194.25,194.9,103978,20731661.8,1712
2017-01-17,194.9,193.0,202.5,193.0,201.45,45647,9038750.8,825
2017-01-18,201.45,201.45,204.5,199.45,200.9,51435,10442466.45,1070
2017-01-19,200.9,201.5,202.9,198.0,198.3,19441,3879281.55,567
2017-01-20,198.3,197.75,199.95,195.1,196.15,16651,3285731.6,422
2017-01-23,196.15,196.35,198.9,193.75,196.3,24974,4889489.45,290
2017-01-24,196.3,197.0,198.05,195.0,195.85,27983,5492234.8,316
2017-01-25,195.85,197.0,198.95,194.55,196.55,25347,4977779.35,577
2017-01-27,196.55,198.25,204.0,194.95,202.2,29591,5904921.6,749
2017-01-30,202.2,202.2,202.2,198.0,200.05,12370,2470466.6,294
2017-01-31,200.05,200.5,204.3,198.05,201.25,45487,9227467.0,823
2017-02-01,201.25,201.75,204.0,198.0,202.5,39678,7970344.25,479
2017-02-02,202.5,204.95,205.0,196.5,199.1,33158,6640162.15,627
2017-02-03,199.1,197.45,200.0,193.0,194.15,33735,6608833.6,657
2017-02-06,194.15,196.0,196.0,185.5,188.85,28846,5499302.5,638
2017-02-07,188.85,189.0,201.0,185.3,187.1,125735,24186202.3,1723
2017-02-08,187.1,189.9,193.0,188.0,188.85,29289,5568148.65,554
2017-02-09,188.85,190.55,194.8,187.2,187.75,34760,6601620.4,712
2017-02-10,187.75,187.75,195.0,187.75,193.75,72518,13952216.7,1783
2017-02-13,193.75,194.0,194.0,188.5,190.9,12711,2427917.8,563
2017-02-14,190.9,192.95,192.95,188.5,190.4,16437,3132375.4,431
2017-02-15,190.4,190.0,190.0,183.75,184.8,19652,3666856.65,753
2017-02-16,184.8,187.6,189.7,184.0,186.55,11678,2190675.7,585
2017-02-17,186.55,189.0,189.0,180.1,181.9,39851,7333354.45,1095
2017-02-20,181.9,183.35,185.95,182.5,185.05,16169,2976824.45,544
2017-02-21,185.05,187.85,188.0,183.2,185.35,7529,1403722.3,335
2017-02-22,185.35,185.9,187.8,184.0,184.7,7588,1406526.3,201
2017-02-23,184.7,186.5,187.55,184.05,185.35,12060,2243719.8,344
