Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,215.1,216.0,219.0,213.1,217.75,13421,2910017.05,557
2017-01-03,217.75,220.5,228.6,217.35,224.8,19702,4408408.95,1027
2017-01-04,224.8,227.95,236.85,222.6,232.9,37559,8678078.65,1217
2017-01-05,232.9,232.0,236.8,229.65,232.25,26332,6147560.85,1232
2017-01-06,232.25,234.65,234.65,226.2,228.45,32883,7574352.05,995
2017-01-09,228.45,228.0,230.2,222.5,223.35,14438,3255621.2,373
2017-01-10,223.35,223.0,229.0,223.0,225.95,14395,3250359.6,629
2017-01-11,225.95,227.55,232.0,225.5,228.8,12319,2813241.05,474
2017-01-12,228.8,230.1,232.4,224.85,225.75,7882,1795652.25,471
2017-01-13,225.75,229.5,241.6,223.05,236.9,52596,12356822.95,1564
2017-01-16,236.9,234.45,242.0,232.2,234.75,30222,7177363.5,1100
2017-01-17,234.75,234.95,236.8,229.9,231.1,15676,3648596.0,579
2017-01-18,231.1,231.85,234.9,230.2,231.05,8746,2032326.0,509
2017-01-19,231.05,234.5,252.0,231.25,238.2,139042,34029869.85,3346
2017-01-20,238.2,237.95,249.9,234.2,237.45,103709,25184299.9,2964
2017-01-23,237.45,237.0,243.0,235.1,238.25,18740,4476509.9,673
2017-01-24,238.25,239.05,249.0,237.0,239.45,41220,10020675.15,1246
2017-01-25,239.45,240.8,242.5,236.0,236.65,15299,3652990.45,456
2017-01-27,236.65,235.0,235.0,226.2,227.9,36383,8399334.45,881
2017-01-30,227.9,231.0,232.9,228.0,229.15,10659,2446690.8,480
2017-01-31,229.15,228.0,231.0,220.5,222.05,16888,3789491.95,618
2017-02-01,222.05,222.75,225.85,217.25,221.75,15016,3328551.4,760
2017-02-02,221.75,223.2,225.5,217.5,221.4,13946,3107400.1,422
2017-02-03,221.4,224.75,229.0,220.0,222.8,15603,3483343.35,729
2017-02-06,222.8,226.5,228.9,220.1,222.2,10956,2451978.8,783
2017-02-07,222.2,226.5,226.5,218.75,219.75,12397,2740718.35,614
2017-02-08,219.75,224.5,227.5,218.0,221.5,18464,4118314.65,844
2017-02-09,221.5,223.95,230.0,222.05,225.05,18092,4080185.1,560
2017-02-10,225.05,222.2,227.75,221.65,222.35,9226,2061805.3,401
2017-02-13,222.35,224.95,224.95,218.0,219.45,16685,3673202.9,837
2017-02-14,219.45,219.0,220.05,215.5,216.4,11077,2412800.45,453
2017-02-15,216.4,217.9,219.9,211.2,213.75,10998,2379016.85,640
2017-02-16,213.75,216.55,217.3,210.1,211.25,12806,2723513.25,733
2017-02-17,211.25,215.45,215.5,199.7,205.15,53016,10911034.55,1528
2017-02-20,205.15,208.0,213.9,205.15,209.35,16359,3438651.85,685
2017-02-21,209.35,209.6,215.55,209.6,212.4,10770,2290795.55,353
2017-02-22,212.4,211.9,216.0,205.0,211.95,20148,4270927.45,956
2017-02-23,211.95,210.4,217.75,210.4,212.55,15240,3258371.65,559
2017-02-27,212.55,210.5,216.0,209.0,209.95,9362,1978736.6,300
2017-02-28,209.95,210.0,212.9,206.0,207.7,20838,4332130.65,502
2017-03-01,207.7,206.2,222.4,206.2,210.6,70893,15208931.9,1692
2017-03-02,210.6,212.0,213.95,205.6,206.3,32080,6718994.05,616
2017-03-03,206.3,204.05,211.0,204.05,209.35,10637,2220138.8,338
2017-03-06,209.35,212.0,213.4,208.05,210.4,19964,4203792.0,412
2017-03-07,210.4,211.0,213.75,204.1,206.5,24312,5072759.05,516
2017-03-08,206.5,208.0,209.8,204.0,206.5,20556,4250040.9,530
2017-03-09,206.5,210.0,210.0,204.5,205.8,30044,6175455.35,437
2017-03-10,205.8,207.9,219.9,205.15,206.95,89825,19125715.35,3072
2017-03-14,206.95,210.0,214.75,204.0,206.15,67667,13985084.5,667
2017-03-15,206.15,207.5,208.7,204.0,205.85,66784,13797917.75,349
2017-03-16,205.85,206.3,214.1,206.2,212.15,34154,7229134.3,837
2017-03-17,212.15,213.2,214.0,207.0,209.0,16893,3546328.95,608
2017-03-20,209.0,210.0,217.7,208.95,212.4,36722,7813383.6,845
2017-03-21,212.4,212.0,213.15,208.4,210.45,19182,4037086.35,506
2017-03-22,210.45,209.0,209.0,206.1,206.5,35430,7342483.2,446
2017-03-23,206.5,206.6,213.6,206.6,209.25,21788,4585045.75,587
2017-03-24,209.25,209.0,213.55,208.5,209.85,22575,4757044.5,528
2017-03-27,209.85,211.05,213.0,208.5,209.1,18456,3879000.15,432
2017-03-28,209.1,209.0,228.95,209.0,220.4,153025,33696649.1,3006
2017-03-29,220.4,222.05,251.8,216.6,242.7,2047670,494978358.4,16621
2017-03-30,242.7,243.8,247.7,230.1,233.75,176166,41688509.6,3233
2017-03-31,233.75,234.0,244.3,231.2,233.65,59612,14134761.15,1551
2017-04-03,233.65,235.0,244.5,234.55,236.95,118683,28568824.35,2520
2017-04-05,236.95,237.4,243.0,234.3,239.5,50803,12162175.05,1065
2017-04-06,239.5,239.65,239.7,235.1,237.5,19663,4664359.05,607
2017-04-07,237.5,238.95,247.6,238.95,241.55,96313,23518319.35,1638
2017-04-10,241.55,241.0,244.85,235.7,237.4,24230,5794492.95,788
2017-04-11,237.4,239.95,267.95,236.05,256.9,444360,115190859.55,10055
2017-04-12,256.9,263.0,272.0,252.5,254.15,226375,59117687.65,4189
2017-04-13,254.15,255.4,263.45,252.0,253.05,70596,18169663.6,2620
2017-04-17,253.05,250.25,255.85,244.05,246.25,30474,7547425.8,770
2017-04-18,246.25,246.15,261.9,244.1,246.35,135977,34581734.65,2985
2017-04-19,246.35,247.0,251.0,242.9,245.05,44235,10893753.15,1482
2017-04-20,245.05,246.1,253.0,243.55,244.6,35692,8825597.95,1486
2017-04-21,244.6,246.15,248.0,240.65,241.7,42947,10509909.85,545
2017-04-24,241.7,243.6,248.85,238.0,243.4,40810,9930607.25,887
2017-04-25,243.4,244.6,251.6,244.6,249.0,53160,13244217.7,1084
2017-04-26,249.0,248.55,250.05,239.6,241.75,27070,6611499.9,520
2017-04-27,241.75,241.05,243.9,237.0,239.35,17629,4242025.8,468
2017-04-28,239.35,247.0,248.95,236.0,239.15,37149,9030134.8,691
2017-05-02,239.15,241.55,245.0,236.2,240.6,33227,7972417.9,695
2017-05-03,240.6,242.4,278.0,240.6,261.85,834435,222337134.95,16237
2017-05-04,261.85,263.0,264.35,252.1,254.25,88003,22716048.3,1969
2017-05-05,254.25,255.35,255.35,241.35,244.6,43797,10810137.6,1100
2017-05-08,244.6,246.0,253.5,244.55,246.0,39712,9859315.75,1102
2017-05-09,246.0,247.5,259.0,244.2,251.85,84706,21474368.0,1906
2017-05-10,251.85,254.15,257.85,248.6,251.3,34385,8723900.35,1070
2017-05-11,251.3,251.0,256.65,248.1,248.9,20128,5082176.45,583
2017-05-12,248.9,248.9,259.0,247.65,249.5,27877,7010745.55,715
2017-05-15,249.5,252.95,254.45,246.05,248.3,28906,7259772.85,1101
2017-05-16,248.3,249.15,253.0,245.25,246.75,18211,4544476.4,562
2017-05-17,246.75,246.05,251.6,245.15,246.7,16595,4117990.1,508
2017-05-18,246.7,244.0,247.9,240.35,241.65,25308,6163853.55,640
2017-05-19,241.65,243.05,245.95,234.25,236.3,21386,5119291.5,606
2017-05-22,236.3,235.6,245.6,235.25,238.3,25090,6021141.6,1182
2017-05-23,238.3,237.1,241.9,230.55,234.9,22631,5342422.75,1017
2017-05-24,234.9,232.0,244.5,222.3,225.55,21955,5109906.2,818
2017-05-25,225.55,227.0,236.0,224.05,229.05,13105,2989503.05,478
