Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-11-23,1.58,1.63,1.89,1.45,1.89,731385.0,1315965.7,785
2021-11-24,1.89,2.08,2.08,2.08,2.08,997200.0,2076707.1,182
2021-11-25,2.08,2.18,2.29,2.15,2.29,5883705.0,13320563.9,1527
2021-11-26,2.29,2.36,2.52,2.36,2.52,4419045.0,10886590.05,1857
2021-11-29,2.52,2.56,2.63,2.39,2.41,5738760.0,14460616.45,2142
2021-11-30,2.41,2.3,2.51,2.3,2.47,5510385.0,13658267.3,936
2021-12-01,2.47,2.52,2.52,2.42,2.44,4140900.0,10071898.95,638
2021-12-02,2.44,2.44,2.53,2.39,2.4,4150935.0,9990026.5,726
2021-12-03,2.4,2.29,2.45,2.29,2.38,3059595.0,7315138.7,397
2021-12-06,2.38,2.36,2.44,2.31,2.34,3821805.0,8942421.0,467
2021-12-07,2.34,2.34,2.43,2.33,2.39,1125630.0,2698398.85,297
2021-12-08,2.39,2.39,2.51,2.39,2.45,1626615.0,3992806.8,261
2021-12-09,2.45,2.33,2.56,2.33,2.4,1458900.0,3573690.8,245
2021-12-10,2.4,2.4,2.49,2.38,2.47,1684710.0,4165325.3,208
2021-12-13,2.47,2.52,2.6,2.45,2.51,1086750.0,2738097.35,223
2021-12-14,2.51,2.51,2.62,2.51,2.55,1685745.0,4315888.25,402
2021-12-15,2.55,2.58,2.68,2.55,2.57,1306260.0,3370100.6,285
2021-12-16,2.57,2.68,2.68,2.57,2.57,919935.0,2373362.95,201
2021-12-17,2.57,2.6,2.6,2.47,2.5,1705410.0,4311255.5,312
2021-12-20,2.5,2.5,2.52,2.4,2.42,1061595.0,2615111.8,322
2021-12-21,2.42,2.52,2.52,2.5,2.5,714105.0,1788844.15,345
2021-12-22,2.5,2.54,2.54,2.53,2.53,940995.0,2387112.9,135
2021-12-23,2.53,2.59,2.59,2.57,2.58,1271835.0,3279646.85,314
2021-12-24,2.58,2.61,2.62,2.58,2.6,1024830.0,2666703.35,172
2021-12-27,2.6,2.69,2.73,2.63,2.73,111645.0,302926.45,38
2021-12-28,2.73,2.86,2.86,2.86,2.86,500535.0,1432642.4,22
2021-12-29,2.86,3.0,3.0,3.0,3.0,8369955.0,25147064.8,165
2021-12-30,3.0,3.15,3.15,3.15,3.15,5673465.0,17896628.5,463
2021-12-31,3.15,3.31,3.31,3.27,3.31,7247565.0,23993741.5,744
2022-01-03,3.31,3.48,3.48,3.48,3.48,949590.0,3301407.9,42
2022-01-04,3.48,3.65,3.65,3.48,3.65,18517230.0,67497704.95,1638
2022-01-05,3.65,3.83,3.83,3.61,3.82,10076085.0,38530415.5,2206
2022-01-06,3.82,3.86,4.01,3.75,4.0,18459270.0,72720002.1,5872
2022-01-07,4.0,4.2,4.2,4.08,4.2,11619540.0,48775672.65,2910
2022-01-10,4.2,4.41,4.41,4.41,4.41,7476705.0,33005498.85,2884
2022-01-11,4.41,4.63,4.63,4.19,4.19,39283200.0,175471346.55,16949
2022-01-12,4.19,3.99,3.99,3.99,3.99,1000530.0,3987667.9,1217
2022-03-29,2.82,2.89,2.89,2.69,2.69,2596077.0,7047356.25,2991
2022-03-30,2.69,2.56,2.76,2.56,2.56,9477243.0,24508418.4,5819
2022-03-31,2.56,2.47,2.51,2.44,2.44,2467899.0,6048927.35,2861
2022-04-01,2.44,2.4,2.56,2.36,2.56,7141556.25,18002280.7,4657
2022-04-04,2.56,2.64,2.67,2.62,2.67,2095800.75,5582426.45,1673
2022-04-05,2.67,2.8,2.8,2.69,2.8,7285738.5,20325256.5,4359
2022-04-06,2.8,2.84,2.84,2.67,2.67,7515506.25,20332588.6,4849
2022-04-07,2.67,2.67,2.89,2.58,2.73,4419544.5,12076716.3,3377
2022-04-08,2.73,2.78,2.87,2.73,2.78,3190191.75,8852137.0,2534
2022-04-11,2.78,2.84,2.89,2.8,2.87,3548796.75,10091072.0,3221
2022-04-12,2.87,2.93,3.13,2.89,3.13,8056950.75,24732381.0,4901
2022-04-13,3.13,3.29,3.44,3.22,3.44,8586780.75,29313802.95,3813
2022-04-18,3.44,3.51,3.6,3.29,3.29,15569952.75,53364808.65,10399
2022-04-19,3.29,3.29,3.44,3.13,3.13,5727143.25,18258287.95,4076
2022-04-20,3.13,3.07,3.11,2.98,2.98,2992932.0,8960728.2,2431
2022-04-21,2.98,2.89,3.11,2.84,3.11,8437108.5,24552211.7,3892
2022-04-22,3.11,3.18,3.27,3.13,3.27,8303960.25,26879192.55,3835
2022-04-25,3.27,3.27,3.27,3.11,3.11,4936981.5,15504186.8,3151
2022-04-26,3.11,3.18,3.22,2.96,3.0,3365829.0,10294330.3,2714
2022-04-27,3.0,2.96,3.02,2.89,2.96,2947884.75,8640764.3,2459
2022-04-28,2.96,2.98,3.02,2.84,2.91,2483867.25,7211159.9,2342
2022-04-29,2.91,2.96,2.96,2.78,2.78,3849367.5,10842205.05,2643
2022-05-02,2.78,2.71,2.8,2.64,2.69,2431014.75,6556357.35,2004
2022-05-04,2.69,2.69,2.82,2.67,2.76,4047457.5,11305801.25,2152
2022-05-05,2.76,2.8,2.82,2.69,2.71,1629513.0,4471932.95,1427
2022-05-06,2.71,2.69,2.71,2.62,2.64,1574426.25,4172990.4,1701
2022-05-09,2.64,2.62,2.64,2.53,2.56,2387655.0,6133614.45,1869
2022-05-10,2.56,2.6,2.67,2.53,2.67,1846437.75,4909974.0,1299
2022-05-11,2.67,2.69,2.78,2.53,2.56,3123677.25,8145461.45,2373
2022-05-12,2.56,2.49,2.53,2.44,2.44,2920502.25,7177367.45,1826
2022-05-13,2.44,2.36,2.56,2.36,2.51,2194159.5,5486388.0,2011
2022-05-16,2.51,2.58,2.62,2.51,2.62,1171642.5,3038293.95,1132
2022-05-17,2.62,2.69,2.71,2.58,2.64,1683447.75,4454450.6,1483
2022-05-18,2.64,2.6,2.64,2.53,2.53,4674190.5,11893903.95,1883
2022-05-19,2.53,2.44,2.49,2.42,2.42,2073233.25,5037583.2,1441
2022-05-20,2.42,2.4,2.53,2.36,2.49,3608455.5,8880238.05,1806
2022-05-23,2.49,2.53,2.53,2.38,2.4,2018252.25,4862881.25,1285
2022-05-24,2.4,2.4,2.44,2.29,2.33,2081234.25,4846827.75,1554
2022-05-25,2.33,2.36,2.36,2.27,2.29,1231821.0,2828598.6,976
2022-05-26,2.29,2.29,2.33,2.2,2.31,1726386.75,3916573.0,1434
2022-05-27,2.31,2.36,2.42,2.22,2.33,5164472.25,11893505.2,1871
2022-05-30,2.33,2.38,2.42,2.33,2.4,1595819.25,3796799.15,1241
2022-05-31,2.4,2.4,2.49,2.36,2.4,1331734.5,3181522.8,1113
2022-06-01,2.4,2.44,2.47,2.38,2.42,1324878.75,3206012.05,976
2022-06-02,2.42,2.42,2.47,2.4,2.44,1186724.25,2887212.95,1118
2022-06-03,2.44,2.49,2.51,2.44,2.49,2070648.0,5145778.75,1404
2022-06-06,2.49,2.49,2.53,2.4,2.42,1126773.0,2759812.25,986
2022-06-07,2.42,2.44,2.56,2.36,2.4,1646451.0,3957909.1,1085
2022-06-08,2.4,2.4,2.58,2.38,2.49,1256492.25,3124048.85,996
2022-06-09,2.49,2.51,2.53,2.38,2.4,1479251.25,3602118.65,1128
2022-06-10,2.4,2.4,2.47,2.38,2.44,578538.0,1405373.25,748
2022-06-13,2.44,2.42,2.44,2.31,2.38,1549190.25,3677860.5,1429
2022-06-14,2.38,2.38,2.49,2.36,2.44,2393570.25,5829504.35,877
2022-06-15,2.44,2.47,2.47,2.33,2.38,1390261.5,3361537.4,924
2022-06-16,2.38,2.47,2.47,2.31,2.36,1374374.25,3243872.65,1048
2022-06-17,2.36,2.31,2.38,2.27,2.29,664971.75,1521833.35,842
2022-06-20,2.29,2.36,2.38,2.11,2.27,2594553.75,5838727.85,1385
2022-06-21,2.27,2.33,2.4,2.18,2.36,1002606.75,2307209.5,1382
2022-06-22,2.36,2.4,2.4,2.29,2.31,637740.0,1504303.2,600
2022-06-23,2.31,2.38,2.4,2.31,2.36,763197.75,1801713.95,566
2022-06-24,2.36,2.4,2.42,2.31,2.4,913603.5,2172506.9,681
2022-06-27,2.4,2.42,2.56,2.36,2.51,3588342.75,8832806.8,1364
2022-06-28,2.51,2.49,2.53,2.44,2.49,1383007.5,3449934.55,715
2022-06-29,2.49,2.44,2.53,2.36,2.47,1005889.5,2466294.2,672
2022-06-30,2.47,2.42,2.53,2.42,2.47,1104887.25,2739094.6,731
2022-07-01,2.47,2.51,2.53,2.38,2.47,2067570.0,5101888.85,802
2022-07-04,2.47,2.47,2.51,2.42,2.47,1225642.5,3034496.2,723
2022-07-05,2.47,2.49,2.49,2.4,2.44,1900023.75,4660428.45,767
2022-07-06,2.44,2.42,2.51,2.4,2.47,1569201.75,3844302.35,1709
2022-07-07,2.47,2.47,2.6,2.44,2.56,2041587.0,5181958.15,888
2022-07-08,2.56,2.6,2.71,2.6,2.67,2096712.0,5588050.75,1000
2022-07-11,2.67,2.69,2.71,2.58,2.64,1043464.5,2747012.15,843
2022-07-12,2.64,2.67,2.67,2.53,2.62,932370.75,2420288.05,675
2022-07-13,2.62,2.62,2.62,2.53,2.58,625423.5,1614164.1,890
2022-07-14,2.58,2.56,2.6,2.53,2.58,1199605.5,3082222.85,951
2022-07-15,2.58,2.64,2.64,2.56,2.58,1202418.0,3137542.05,772
2022-07-18,2.58,2.56,2.71,2.56,2.67,1714999.5,4587210.45,872
2022-07-19,2.67,2.67,2.73,2.64,2.67,1515345.75,4072860.8,783
2022-07-20,2.67,2.69,2.73,2.67,2.71,1786819.5,4822448.95,914
2022-07-21,2.71,2.73,2.89,2.71,2.89,2953282.5,8413563.1,1581
2022-07-22,2.89,2.91,3.02,2.89,3.0,3534563.25,10478233.7,1938
2022-07-25,3.0,3.02,3.13,3.02,3.09,2545839.0,7820628.3,1891
2022-07-26,3.09,3.13,3.16,3.0,3.04,2193441.75,6657680.25,1225
2022-07-27,3.04,3.0,3.07,2.89,2.91,2424060.0,7115163.15,1224
2022-07-28,2.91,2.91,2.96,2.84,2.93,1956107.25,5687083.55,1037
2022-07-29,2.93,2.96,3.02,2.87,2.91,2816831.25,8229515.7,1171
2022-08-01,2.91,2.89,2.93,2.8,2.89,1896693.75,5432248.9,1141
2022-08-02,2.89,2.89,2.96,2.8,2.93,2328862.5,6658505.9,1004
2022-08-03,2.93,2.98,3.02,2.91,2.98,2561928.75,7574358.6,1008
2022-08-04,2.98,2.96,3.0,2.91,2.96,1768371.75,5208463.0,876
2022-08-05,2.96,2.98,3.04,2.93,3.02,2888799.75,8634237.0,1048
2022-08-08,3.02,3.07,3.11,2.98,3.07,2140008.75,6503321.85,1177
2022-08-10,3.07,3.09,3.2,3.02,3.07,2042707.5,6316493.55,1168
2022-08-11,3.07,3.16,3.16,3.02,3.11,2267547.75,7031606.15,1077
2022-08-12,3.11,3.09,3.13,2.49,2.93,3530994.75,10593309.45,1332
2022-08-16,2.93,2.93,3.02,2.93,2.98,1597360.5,4758083.15,1020
2022-08-17,2.98,3.0,3.09,2.98,3.0,1641584.25,4962174.6,915
2022-08-18,3.0,3.02,3.04,2.93,3.02,2268076.5,6803339.65,889
2022-08-19,3.02,3.11,3.11,2.96,2.98,1647596.25,4942533.7,931
2022-08-22,2.98,2.93,3.0,2.69,2.87,2040912.0,5853397.85,1337
2022-08-23,2.87,2.84,3.0,2.73,2.89,1801615.5,5251112.0,1034
2022-08-24,2.89,2.91,3.13,2.87,3.09,3560517.0,10749916.35,1270
2022-08-25,3.09,3.11,3.2,3.11,3.18,3722510.25,11783738.95,1726
2022-08-26,3.18,3.24,3.36,3.22,3.24,3576278.25,11736168.45,1800
2022-08-29,3.24,2.89,3.31,2.89,3.29,2317410.0,7482786.05,1680
2022-08-30,3.29,3.33,3.4,3.27,3.27,2926100.25,9732407.25,1728
2022-09-01,3.27,3.24,3.36,3.16,3.18,2972745.0,9574026.3,1595
2022-09-02,3.18,3.22,3.31,3.18,3.27,1954876.5,6364702.6,1293
2022-09-05,3.27,3.33,3.44,3.24,3.38,3255619.5,10822280.85,1645
2022-09-06,3.38,3.36,3.44,3.33,3.38,2942894.25,9968664.8,1562
2022-09-07,3.38,3.44,3.78,3.38,3.73,6572166.75,23529356.55,3085
2022-09-08,3.73,4.13,4.42,3.89,4.16,13302198.0,55458284.9,7578
2022-09-09,4.16,4.44,4.53,3.73,4.09,9344679.75,38655023.95,6213
2022-09-12,4.09,4.18,4.18,3.78,3.89,4268938.5,16876018.1,2898
2022-09-13,3.89,3.91,4.02,3.87,3.96,3389028.75,13469701.75,2525
2022-09-14,3.96,3.89,3.93,3.76,3.8,3632933.25,13920649.35,2371
2022-09-15,3.8,3.84,4.04,3.78,3.98,3984079.5,15675892.85,2278
2022-09-16,3.98,3.98,3.98,3.78,3.84,2560515.75,9843766.5,1843
2022-09-19,3.84,3.93,3.96,3.78,3.84,3087056.25,11964116.6,1779
2022-09-20,3.84,3.96,3.96,3.84,3.89,1910724.75,7416053.1,1335
2022-09-21,3.89,3.82,3.91,3.22,3.78,3081420.0,11534900.55,1952
2022-09-22,3.78,3.78,3.89,3.67,3.76,2475783.0,9329586.0,1267
2022-09-23,3.76,3.76,3.87,3.71,3.76,2188129.5,8294852.7,1225
2022-09-26,3.76,3.73,3.76,3.56,3.64,2607635.25,9455033.85,1871
2022-09-27,3.64,3.64,3.76,3.58,3.71,2346358.5,8604143.45,1145
2022-09-28,3.71,3.71,3.71,3.47,3.6,967137.75,3478724.75,825
2022-09-29,3.6,3.6,3.98,3.58,3.78,2522040.75,9568269.3,1408
2022-09-30,3.78,3.84,3.91,3.73,3.78,2164101.75,8280520.5,1431
2022-10-03,3.78,3.76,3.87,3.62,3.69,2121284.25,7940805.45,1255
2022-10-04,3.69,3.78,3.89,3.73,3.8,2671818.75,10177192.7,1238
2022-10-06,3.8,3.82,3.91,3.78,3.84,1929075.75,7462835.65,1389
2022-10-07,3.84,3.93,3.96,3.84,3.87,2047482.0,7976938.15,1235
2022-10-10,3.87,3.87,4.0,3.8,3.82,4237951.5,16596670.85,2431
2022-10-11,3.82,3.82,3.96,3.78,3.82,2110952.25,8137359.45,1260
2022-10-12,3.82,3.91,3.91,3.69,3.78,1941207.75,7445211.85,1090
2022-10-13,3.78,3.82,3.87,3.73,3.78,2903706.0,11108412.3,1291
2022-10-14,3.78,3.89,3.93,3.78,3.84,2132300.25,8192723.9,1115
2022-10-17,3.84,3.84,3.89,3.69,3.73,1596501.0,6017946.7,1516
2022-10-18,3.73,3.82,3.84,3.76,3.78,1390108.5,5269481.9,892
2022-10-19,3.78,3.73,3.89,3.69,3.87,2147235.75,8130505.85,1183
2022-10-20,3.87,3.89,3.89,3.78,3.87,1054379.25,4051442.9,833
2022-10-21,3.87,3.91,4.18,3.82,4.02,6468621.75,25865111.1,2873
2022-10-24,4.02,4.2,4.2,4.07,4.11,1251513.0,5177586.7,1447
2022-10-25,4.11,4.13,4.2,3.96,4.0,2398626.0,9680408.05,1482
2022-10-27,4.0,3.98,4.04,3.78,3.98,2211525.0,8711710.65,1555
2022-10-28,3.98,3.96,4.09,3.91,3.96,2037489.75,8134086.45,1223
2022-10-31,3.96,4.0,4.09,3.89,4.0,2147496.75,8600799.15,1297
2022-11-01,4.0,4.04,4.11,4.0,4.04,3098418.75,12596280.35,1461
2022-11-02,4.04,4.09,4.11,4.0,4.07,1743745.5,7070971.8,1186
2022-11-03,4.07,4.11,4.11,4.0,4.04,2230294.5,9025746.85,1100
2022-11-04,4.04,4.11,4.11,4.04,4.09,2497875.75,10223143.3,1370
2022-11-07,4.09,4.18,4.18,4.07,4.13,2269314.0,9349749.65,1776
2022-11-09,4.13,4.16,4.22,3.84,4.04,5722456.5,23557610.15,2275
2022-11-10,4.04,4.13,4.29,4.11,4.22,6675417.0,28130507.4,2529
2022-11-11,4.22,4.31,4.56,4.24,4.49,6499737.0,28860376.9,3481
2022-11-14,4.49,4.47,4.91,4.36,4.69,10629355.5,49508489.9,5518
2022-11-15,4.69,4.82,5.0,4.62,4.64,8896605.75,42515821.45,4507
2022-11-16,4.64,4.73,4.98,4.62,4.69,8320572.0,39890737.2,4407
2022-11-17,4.69,4.78,4.93,4.56,4.84,6673068.0,31862989.7,3357
2022-11-18,4.84,4.91,4.98,4.64,4.82,6698553.75,32048307.3,3187
2022-11-21,4.82,4.82,4.91,4.58,4.64,6289175.25,29598913.6,2969
2022-11-22,4.64,4.6,4.82,4.56,4.76,4473999.0,21018078.0,2384
2022-11-23,4.76,4.76,4.87,4.73,4.78,5529606.75,26665559.85,2062
2022-11-24,4.78,4.84,4.89,4.69,4.76,7218987.75,34540073.7,2696
2022-11-25,4.76,4.8,4.93,4.71,4.91,7133121.0,34664156.2,2586
2022-11-28,4.91,4.91,5.67,4.89,5.56,20039847.75,106467710.7,9014
2022-11-29,5.56,5.78,6.67,5.78,6.67,37359814.5,238341718.15,16290
2022-11-30,6.67,7.11,7.33,6.67,7.31,39013951.5,279025858.05,22197
2022-12-01,7.31,7.38,7.51,6.6,6.71,21565944.0,146131688.15,12556
2022-12-02,6.71,6.89,7.29,6.67,7.22,13125872.25,91560252.3,7954
2022-12-05,7.22,7.33,7.56,7.22,7.47,9508536.0,70085594.25,6562
2022-12-06,7.47,7.53,7.62,7.33,7.44,9479466.0,71453661.45,7241
2022-12-07,7.44,7.51,7.56,7.11,7.13,6411460.5,47124330.5,4010
2022-12-08,7.13,7.2,7.31,6.47,6.87,6009363.0,41362947.05,4710
2022-12-09,6.87,6.93,6.93,6.27,6.44,5391207.0,35109934.4,4911
2022-12-12,6.44,6.56,7.09,5.93,7.09,5506692.75,37248928.7,4605
2022-12-13,7.09,7.27,7.51,7.13,7.22,5374838.25,39274266.6,4284
2022-12-14,7.22,7.22,7.29,6.98,7.13,2942610.75,20946544.75,2838
2023-02-28,7.36,7.47,7.56,7.04,7.16,720072.0,5209865.25,1211
2023-03-01,7.16,7.22,7.29,6.8,7.13,4749743.25,33269888.45,2063
2023-03-02,7.13,6.98,7.31,6.84,6.98,4417024.5,30927539.95,1611
2023-03-03,6.98,6.87,7.16,6.78,7.02,3754017.0,26309180.85,2072
2023-03-06,7.02,6.93,7.11,6.87,6.89,4158423.0,28977640.95,2035
2023-03-08,6.89,6.87,7.04,6.87,7.0,3072519.0,21374327.7,1217
2023-03-09,7.0,7.02,7.04,6.89,6.91,3858484.5,26868098.85,1153
2023-03-10,6.91,6.93,6.93,6.78,6.84,4836809.25,33100906.15,1626
2023-03-13,6.84,6.82,7.18,6.8,7.18,7466557.5,52993843.15,2097
2023-03-14,7.18,7.33,7.47,7.18,7.22,6905065.5,50684851.45,2349
2023-03-15,7.22,7.27,7.4,7.2,7.36,5392964.25,39405932.75,1959
2023-03-16,7.36,7.4,7.56,7.18,7.47,5618353.5,41400178.25,2139
2023-03-17,7.47,7.51,7.78,7.49,7.62,6420982.5,49325385.45,3119
2023-03-20,7.62,7.98,7.98,7.53,7.58,5080677.75,38837639.2,2485
2023-03-21,7.58,7.67,7.71,7.24,7.36,4027088.25,30355255.0,2216
2023-03-22,7.36,7.56,7.62,7.33,7.6,6082278.75,45468051.3,1942
2023-03-23,7.6,7.6,7.69,7.51,7.64,5693856.75,43494908.85,1947
2023-03-24,7.64,7.69,8.02,7.58,8.0,8340167.25,65501300.55,3341
2023-03-27,8.0,8.18,8.29,7.78,8.04,4753053.0,38613565.25,3273
2023-03-28,8.04,8.11,8.2,7.84,8.11,5343536.25,43060330.95,2935
2023-03-29,8.11,8.09,8.18,7.98,8.11,6256127.25,50682834.0,2168
2023-03-31,8.11,8.11,8.27,7.91,8.16,5830044.75,47675445.25,2523
2023-04-03,8.16,8.29,8.36,8.07,8.11,5198100.75,42289503.95,2396
2023-04-05,8.11,8.18,8.18,8.0,8.11,5778994.5,46809238.25,2034
2023-04-06,8.11,8.11,8.2,7.73,8.13,5900130.0,47797517.65,2081
2023-04-10,8.13,8.13,8.22,7.82,8.09,4752240.75,38262026.95,1929
2023-04-11,8.09,8.16,8.2,8.02,8.18,5377511.25,43671408.4,1940
2023-04-12,8.18,8.2,8.22,8.09,8.16,5561113.5,45335784.15,2069
2023-04-13,8.16,8.16,8.18,7.98,8.09,5249569.5,42550139.25,1848
2023-04-17,8.09,8.04,8.13,8.0,8.07,3787200.0,30439115.55,1446
2023-04-18,8.07,8.13,8.53,8.02,8.29,7444710.0,61842700.75,2590
2023-04-19,8.29,8.33,8.4,8.13,8.22,6295983.75,52506738.6,2019
2023-04-20,8.22,8.24,8.6,8.24,8.42,6621993.0,56033845.2,2619
2023-04-21,8.42,8.44,9.07,8.44,8.82,11906266.5,104472864.7,5085
2023-04-24,8.82,9.02,9.36,8.82,9.18,9438509.25,86572945.1,5662
2023-04-25,9.18,9.53,9.56,8.93,9.16,11299896.0,103519163.1,3840
2023-04-26,9.16,9.22,9.6,9.13,9.22,8764742.25,81851330.8,4040
2023-04-27,9.22,9.29,9.51,9.16,9.38,7253318.25,67985377.25,3091
2023-04-28,9.38,9.51,9.51,8.93,9.16,8912110.5,82194337.75,3559
2023-05-02,9.16,9.24,9.36,8.44,9.22,8927667.0,81876167.65,4814
2023-05-03,9.22,9.24,9.4,9.11,9.36,6696571.5,62349447.55,2387
2023-05-04,9.36,9.53,9.76,9.29,9.64,8849794.5,84419319.35,3554
2023-05-05,9.64,9.73,9.89,9.31,9.49,7935428.25,75846241.2,3975
2023-05-08,9.49,9.56,9.73,9.38,9.67,7390455.75,70834589.5,3229
2023-05-09,9.67,9.76,9.76,9.33,9.53,6270720.75,59735722.15,3238
2023-05-10,9.53,9.6,9.6,9.13,9.22,7158125.25,67373902.7,3009
2023-05-11,9.22,9.13,9.51,9.07,9.44,8049564.0,75814365.6,2512
2023-05-12,9.44,9.42,10.27,9.24,10.2,12014822.25,118887462.5,5269
2023-05-15,10.2,10.36,10.53,9.84,10.09,11173871.25,114952279.85,6782
2023-05-16,10.09,10.2,10.58,10.13,10.31,9253653.75,95721243.7,4887
2023-05-17,10.31,10.44,10.6,10.27,10.36,8059855.5,84118631.05,3502
2023-05-18,10.36,10.22,10.22,9.56,9.67,9427898.25,91785614.5,4939
2023-05-19,9.67,9.82,10.04,9.69,9.98,6575818.5,65196581.25,2769
2023-05-22,9.98,10.09,10.11,9.69,9.71,6224764.5,61086361.55,2543
2023-05-23,9.71,9.71,9.89,9.71,9.73,4266022.5,41671404.1,1799
2023-05-24,9.73,9.76,9.87,9.33,9.4,1670649.75,15984664.9,2097
2023-05-25,9.4,9.47,9.64,9.11,9.22,2880855.0,26949240.8,1945
2023-05-26,9.22,9.22,9.49,8.73,9.33,2533880.25,23318934.4,2542
2023-05-29,9.33,9.42,9.76,9.11,9.31,2400765.75,22489788.6,1842
2023-05-30,9.31,9.36,9.53,9.2,9.38,2715426.0,25427144.8,1590
2023-05-31,9.38,9.42,9.42,9.07,9.13,2717925.75,24785746.45,1941
2023-06-01,9.13,9.2,9.49,9.04,9.29,2270758.5,21128737.35,1575
2023-06-02,9.29,9.36,9.44,9.16,9.29,2026863.0,18945812.4,1192
2023-06-05,9.29,9.13,9.42,9.13,9.31,2152845.0,20024281.7,1672
2023-06-06,9.31,9.51,10.18,9.44,9.67,7219435.5,70617826.35,4849
2023-09-25,9.04,9.6,9.93,9.36,9.93,2565569.25,25067560.1,1922
2023-09-26,9.93,10.44,10.82,10.27,10.69,9630436.5,102464528.25,5257
2023-09-27,10.69,10.62,11.07,10.44,10.71,8743194.0,94524418.6,5546
2023-09-28,10.71,10.89,11.13,10.56,10.69,6167139.75,67073926.3,3931
2023-09-29,10.69,10.8,11.07,10.62,10.73,3649799.25,39287523.9,3123
2023-10-03,10.73,10.71,10.87,10.49,10.64,2745441.0,29309213.7,2528
2023-10-04,10.64,10.89,11.07,10.76,10.91,5116848.75,55595212.0,3023
2023-10-05,10.91,11.07,11.42,10.69,10.87,7046664.75,78108537.25,4011
2023-10-06,10.87,10.87,11.33,10.87,10.96,3957475.5,43757283.55,2459
2023-10-09,10.96,11.11,11.31,10.62,11.13,5400213.75,60159921.0,3842
2023-10-10,11.13,11.24,11.33,11.02,11.2,3761608.5,42125459.95,2358
2023-10-11,11.2,11.29,11.44,11.2,11.36,4247991.0,48234420.2,2699
2023-10-12,11.36,11.49,12.0,11.22,11.58,9184338.0,106099191.95,6893
2023-10-13,11.58,11.73,11.91,11.56,11.6,5982828.75,70404419.55,4374
2023-10-16,11.6,11.8,12.6,11.78,12.04,12037063.5,145903446.2,9456
