Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,24.71,24.47,24.69,23.88,24.19,121062.31,2963186.3,319
2017-01-03,24.19,24.18,24.87,24.17,24.63,120444.15,2944467.45,316
2017-01-04,24.63,24.67,25.45,24.66,24.97,124602.68,3111255.85,414
2017-01-05,24.97,25.45,26.9,24.96,25.72,227661.71,5833096.3,950
2017-01-06,25.72,25.84,25.94,24.76,24.94,154218.16,3904217.45,771
2017-01-09,24.94,24.86,26.19,24.86,25.59,138365.68,3532016.0,401
2017-01-10,25.59,25.3,25.84,25.29,25.71,111657.08,2852313.7,381
2017-01-11,25.71,26.22,27.36,25.84,26.11,140056.68,3663668.7,481
2017-01-12,26.11,26.32,26.33,25.59,25.99,108172.9,2813668.85,249
2017-01-13,25.99,25.98,26.02,25.15,25.32,113404.27,2922105.45,357
2017-01-16,25.32,25.64,25.64,25.05,25.4,111340.33,2827071.1,302
2017-01-17,25.4,25.31,26.21,25.17,25.6,123785.28,3160740.1,396
2017-01-18,25.6,25.25,26.21,25.25,25.66,117097.91,3022873.35,314
2017-01-19,25.66,25.64,25.85,25.53,25.67,110354.34,2836498.5,252
2017-01-20,25.67,25.28,26.21,25.28,25.67,120372.62,3083532.05,335
2017-01-23,25.67,26.61,26.61,25.47,25.9,109347.92,2827145.9,292
2017-01-24,25.9,25.64,26.16,25.64,25.93,112408.06,2911507.2,263
2017-01-25,25.93,25.94,26.42,25.87,26.03,122472.32,3198448.3,313
2017-01-27,26.03,26.13,26.43,25.26,25.45,118410.86,3090686.6,310
2017-01-30,25.45,25.45,26.21,25.23,25.34,130176.33,3342174.65,406
2017-01-31,25.34,25.31,25.64,25.05,25.21,118635.64,3008631.65,375
2017-02-01,25.21,25.06,25.5,24.88,25.12,108121.81,2730217.75,264
2017-02-02,25.12,25.09,25.92,25.09,25.63,113797.65,2901736.6,362
2017-02-03,25.63,25.8,27.07,25.7,25.84,115355.82,3005548.5,378
2017-02-06,25.84,25.94,26.8,25.93,26.07,118206.51,3093950.95,442
2017-02-07,26.07,26.03,26.61,25.05,25.46,122712.44,3211239.6,427
2017-02-08,25.46,25.49,25.99,25.09,25.53,124500.5,3186716.75,392
2017-02-09,25.53,25.36,26.01,25.31,25.51,115018.64,2953557.3,371
2017-02-10,25.51,25.26,26.01,25.25,25.38,116786.27,2979720.8,352
2017-02-13,25.38,26.07,26.07,23.88,24.6,120709.8,3047898.9,385
2017-02-14,24.6,24.96,25.6,24.6,25.09,112755.46,2834911.3,350
2017-02-15,25.09,24.76,25.84,23.62,24.27,118783.8,2943692.65,311
2017-02-16,24.27,25.15,25.34,24.31,24.92,115968.87,2899238.55,312
2017-02-17,24.92,24.86,25.45,24.66,24.81,130130.36,3252483.05,518
2017-02-20,24.81,25.05,25.07,24.45,24.87,132332.23,3290822.1,390
2017-02-21,24.87,24.86,25.22,24.27,24.48,129527.52,3188088.55,407
2017-02-22,24.48,24.53,25.34,24.27,24.44,125379.21,3099181.1,453
2017-02-23,24.44,24.37,24.72,23.72,24.12,125088.01,3060864.55,539
2017-02-27,24.12,23.88,24.48,23.7,24.1,115836.04,2784295.15,344
2017-02-28,24.1,24.12,24.43,23.59,24.08,114114.39,2750538.55,205
2017-03-01,24.08,24.86,24.86,23.88,24.33,117031.49,2842219.55,302
2017-03-02,24.33,24.39,24.86,24.1,24.28,121465.9,2970226.55,422
2017-03-03,24.28,24.27,24.49,23.56,23.9,115841.15,2806580.95,392
2017-03-06,23.9,23.68,24.41,22.9,23.88,119877.07,2866100.95,333
2017-03-07,23.88,23.9,23.9,23.32,23.47,112413.17,2649538.55,362
2017-03-08,23.47,24.23,24.24,23.29,23.88,144613.69,3444346.5,182
2017-03-09,23.88,24.08,24.08,23.53,23.75,123197.77,2939171.1,138
2017-03-10,23.75,23.78,23.78,23.31,23.45,118783.8,2795762.55,290
2017-03-14,23.45,23.79,24.25,23.49,23.75,115968.87,2762241.8,287
2017-03-15,23.75,23.72,24.47,23.62,23.87,137967.2,3298021.75,367
2017-03-16,23.87,23.9,24.23,23.79,23.91,114650.81,2748251.35,253
2017-03-17,23.91,23.9,24.23,23.72,23.81,111258.59,2654301.35,240
2017-03-20,23.81,23.68,24.04,23.24,23.57,120004.79,2828367.0,180
2017-03-21,23.57,23.49,23.66,23.32,23.45,118461.95,2784428.65,271
2017-03-22,23.45,23.49,23.68,23.44,23.54,121281.98,2853443.3,262
2017-03-23,23.54,24.79,28.25,24.29,28.25,857771.16,23569519.7,3353
2017-03-24,28.25,29.07,29.69,26.43,26.83,1046401.94,29401987.75,4133
2017-03-27,26.83,26.81,27.79,25.64,27.3,202971.07,5397234.05,868
2017-03-28,27.3,27.3,27.48,26.62,26.65,134702.7,3614508.0,562
2017-03-29,26.65,27.01,27.01,25.86,26.16,149497.67,3956847.95,366
2017-03-30,26.16,26.22,26.46,25.64,26.07,122032.97,3184110.55,433
2017-03-31,26.07,26.43,26.43,25.01,25.61,130850.69,3384805.65,267
2017-04-03,25.61,25.68,26.23,25.47,26.11,170320.98,4403860.15,492
2017-04-05,26.11,25.85,26.12,25.45,25.57,170004.23,4362911.2,668
2017-04-06,25.57,25.68,26.0,25.11,25.5,150110.72,3849891.85,388
2017-04-07,25.5,25.5,25.68,24.59,24.84,140884.3,3570513.7,356
2017-04-10,24.84,24.87,25.29,23.2,24.11,176758.02,4391977.75,574
2017-04-11,24.11,23.69,24.27,23.0,23.33,242742.77,5706015.65,1609
2017-04-12,23.33,23.35,24.43,23.29,23.99,172195.89,4065796.8,624
2017-04-13,23.99,24.08,24.23,23.39,23.75,118390.42,2806913.75,467
2017-04-17,23.75,23.78,23.78,23.12,23.58,127187.71,2990664.7,431
2017-04-18,23.58,23.59,24.09,23.35,23.49,115892.24,2735280.9,631
2017-04-19,23.49,23.88,27.98,23.88,26.27,1393945.83,37732802.6,5920
2017-04-20,26.27,26.6,26.82,24.67,25.06,307240.88,7753644.7,1336
2017-04-21,25.06,25.31,26.42,24.86,25.29,187966.64,4757380.95,670
2017-04-24,25.29,24.93,26.09,24.86,24.95,151725.09,3828526.8,520
2017-04-25,24.95,25.0,25.43,24.52,24.68,148465.7,3705461.9,469
2017-04-26,24.68,24.68,26.62,24.68,25.09,236361.93,5995787.0,1346
2017-04-27,25.09,25.4,25.51,23.98,24.11,200186.79,4889932.55,1486
2017-04-28,24.11,24.29,24.6,23.74,24.09,163209.58,3949328.0,925
2017-05-02,24.09,24.04,25.03,23.78,24.6,181483.62,4406636.95,575
2017-05-03,24.6,24.38,24.89,23.74,24.14,131192.98,3188732.4,387
2017-05-04,24.14,24.02,24.43,23.68,24.06,137732.19,3320445.05,466
2017-05-05,24.06,24.37,24.37,23.49,23.6,134248.02,3213580.95,504
2017-05-08,23.6,23.61,26.72,23.61,26.39,622405.44,16200167.55,1819
2017-05-09,26.39,26.8,29.34,26.43,28.18,805288.86,22556511.65,2660
2017-05-10,28.18,28.88,30.84,27.8,29.94,558760.5,16639279.15,1684
2017-05-11,29.94,30.13,31.8,29.94,30.33,673344.9,20841980.4,2124
2017-05-12,30.33,30.14,31.51,29.85,30.4,508148.01,15498554.8,1697
2017-05-15,30.4,30.32,31.69,30.14,31.29,393134.47,12260334.25,1051
2017-05-16,31.29,30.2,31.95,30.2,31.05,284047.1,8825880.55,765
2017-05-17,31.05,31.42,32.08,30.39,31.4,497669.94,15668157.9,1888
2017-05-18,31.4,31.03,31.62,29.38,29.71,345372.67,10683610.6,1127
2017-05-19,29.71,29.95,31.56,29.38,30.87,298320.98,9083245.3,719
2017-05-22,30.87,30.24,31.71,30.14,30.78,344177.22,10680585.7,989
2017-05-23,30.78,30.83,30.83,29.36,30.11,228923.57,6894968.4,638
2017-05-24,30.11,30.86,31.32,29.57,30.21,263509.88,8026752.4,659
2017-05-25,30.21,30.21,31.32,30.16,30.4,180553.83,5549973.45,512
2017-05-26,30.4,30.54,30.87,29.58,29.8,170898.27,5180569.75,540
2017-05-29,29.8,29.36,30.09,28.77,29.24,155996.01,4629208.5,435
