Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-03-07,6.85,6.55,6.85,6.55,6.85,646,4296.6,8
2017-03-08,6.85,6.6,7.0,6.6,6.6,3502,23843.3,14
2017-03-10,6.6,6.35,6.55,6.35,6.45,1589,10329.0,10
2017-03-14,6.45,6.75,6.75,6.15,6.7,5471,34159.75,10
2017-03-15,6.7,6.7,6.7,6.4,6.4,12889,82644.85,11
2017-03-16,6.4,6.65,6.65,6.3,6.4,5089,32671.6,16
2017-03-17,6.4,6.4,6.4,6.15,6.15,4200,26005.4,28
2017-03-20,6.15,6.0,6.0,5.85,6.0,2761,16349.35,9
2017-03-21,6.0,5.7,5.75,5.7,5.7,4117,23516.9,9
2017-03-22,5.7,5.5,5.65,5.45,5.6,7052,38841.4,37
2017-03-23,5.6,5.65,5.7,5.35,5.65,3057,17215.05,12
2017-03-24,5.65,5.4,5.85,5.4,5.65,8090,43785.3,19
2017-03-27,5.65,5.4,5.85,5.4,5.4,2642,14271.8,13
2017-03-28,5.4,5.15,5.6,5.15,5.3,2305,12435.75,12
2017-03-29,5.3,5.55,5.55,5.2,5.3,2062,11273.6,10
2017-03-30,5.3,5.35,5.5,5.25,5.4,2383,12689.3,13
2017-03-31,5.4,5.45,5.65,5.15,5.4,17243,91417.2,26
2017-04-03,5.4,5.4,5.65,5.4,5.65,4070,22958.5,8
2017-04-05,5.65,5.85,5.9,5.45,5.9,6303,36000.2,25
2017-04-06,5.9,5.9,6.15,5.65,6.0,9376,55725.8,24
2017-04-07,6.0,6.25,6.3,6.0,6.2,48152,301072.6,58
2017-04-10,6.2,6.35,6.35,5.75,6.25,3744,22923.15,15
2017-04-11,6.25,6.45,6.45,5.9,6.3,7134,45035.4,29
2017-04-12,6.3,6.5,6.75,5.8,6.65,22815,146683.4,53
2017-04-13,6.65,6.5,7.0,6.4,6.6,16237,108905.65,38
2017-04-17,6.6,6.5,6.65,6.25,6.65,7314,46958.55,17
2017-04-18,6.65,6.6,6.9,6.35,6.8,3827,25486.4,6
2017-04-19,6.8,6.75,6.75,6.3,6.6,8618,55483.45,20
2017-04-20,6.6,6.3,6.55,6.25,6.4,9370,59148.5,19
2017-04-21,6.4,6.3,6.6,6.25,6.35,2559,16264.7,13
2017-04-24,6.35,6.35,6.55,6.0,6.35,7018,43646.4,12
2017-04-25,6.35,6.1,6.35,5.85,6.35,6070,37138.25,15
2017-04-26,6.35,6.1,6.4,5.8,6.3,1426,8852.9,11
2017-04-27,6.3,6.25,6.25,5.95,6.1,2941,18127.6,11
2017-04-28,6.1,5.8,6.2,5.8,5.85,803,4702.6,8
2017-05-02,5.85,5.55,6.1,5.55,6.0,1799,10609.0,7
2017-05-03,6.0,6.0,6.35,5.45,5.75,3070,18191.8,24
2017-05-04,5.75,5.8,5.95,5.7,5.9,4350,25714.5,12
2017-05-05,5.9,5.95,5.95,5.7,5.7,804,4632.3,8
2017-05-08,5.7,5.75,5.95,5.6,5.7,3661,20885.3,18
2017-05-09,5.7,5.85,5.85,5.5,5.75,4291,24596.4,11
2017-05-10,5.75,5.75,5.95,5.45,5.95,1115,6446.75,7
2017-05-11,5.95,5.95,5.95,5.75,5.75,885,5162.15,4
2017-05-12,5.75,6.0,6.3,5.45,6.15,14439,83883.15,22
2017-05-15,6.15,6.75,6.75,5.75,6.05,12158,73480.7,52
2017-05-16,6.05,5.85,6.3,5.8,5.8,3105,18390.5,25
2017-05-17,5.8,5.45,5.95,5.45,5.85,2820,16420.5,14
2017-05-18,5.85,5.55,5.75,5.55,5.7,3841,21512.6,16
2017-05-19,5.7,5.4,5.75,5.4,5.65,6614,37328.8,26
2017-11-22,4.25,4.25,4.45,4.25,4.45,3501,15464.45,14
2017-11-23,4.45,4.45,4.6,4.25,4.25,7047,30711.1,36
2017-11-24,4.25,4.25,4.45,4.05,4.1,4839,20027.0,28
2017-11-27,4.1,4.0,4.0,3.9,4.0,11182,44690.5,21
2017-11-28,4.0,4.2,4.2,3.95,4.2,7400,30754.2,25
2017-11-29,4.2,4.4,4.4,4.4,4.4,5405,23782.0,20
2017-11-30,4.4,4.6,4.6,4.35,4.4,12964,58141.4,44
2017-12-01,4.4,4.6,4.6,4.4,4.45,6237,28457.9,24
