Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2021-09-02,2.68,2.8,2.8,2.56,2.58,834270,2208835.15,644
2021-09-03,2.58,2.65,2.65,2.46,2.52,172360,436873.35,185
2021-09-06,2.52,2.62,2.64,2.62,2.64,358600,947657.3,70
2021-09-07,2.64,2.7,2.78,2.7,2.78,511390,1418056.25,83
2021-09-08,2.78,2.85,2.85,2.64,2.72,358650,963253.25,358
2021-09-09,2.72,2.72,2.75,2.59,2.68,205600,547853.4,136
2021-09-13,2.68,2.79,2.8,2.7,2.79,1196390,3331604.9,327
2021-09-14,2.79,2.84,2.92,2.66,2.81,1878900,5263515.6,668
2021-09-15,2.81,2.88,2.88,2.67,2.67,1013340,2762443.8,402
2021-09-16,2.67,2.67,2.76,2.56,2.7,421250,1134613.2,191
2021-09-17,2.7,2.78,2.78,2.62,2.7,811860,2183294.6,311
2021-09-20,2.7,2.72,2.72,2.58,2.59,269690,713690.7,146
2021-09-21,2.59,2.64,2.64,2.46,2.46,267570,666194.25,155
2021-09-22,2.46,2.45,2.59,2.37,2.58,156270,392172.75,133
2021-09-23,2.58,2.52,2.64,2.5,2.53,117430,302741.8,72
2021-09-24,2.53,2.58,2.58,2.4,2.4,258710,625250.25,124
2021-09-27,2.4,2.36,2.48,2.31,2.41,76360,183340.05,58
2021-09-28,2.41,2.49,2.53,2.32,2.52,2322710,5792692.9,270
2021-09-29,2.52,2.5,2.62,2.4,2.43,611690,1489661.1,226
2021-09-30,2.43,2.48,2.49,2.39,2.46,119430,289851.55,42
2021-10-01,2.46,2.4,2.56,2.36,2.49,124260,306479.25,52
2021-10-04,2.49,2.61,2.61,2.45,2.6,2258480,5790767.4,543
2021-10-05,2.6,2.61,2.64,2.58,2.6,258430,672626.25,143
2021-10-06,2.6,2.63,2.63,2.5,2.56,394330,1004412.95,163
2021-10-07,2.56,2.6,2.6,2.31,2.38,538460,1313758.5,241
2021-10-08,2.38,2.56,2.56,2.38,2.42,390090,954315.35,147
2021-10-11,2.42,2.58,2.58,2.37,2.42,300520,733473.35,126
2021-10-12,2.42,2.48,2.66,2.24,2.59,4725910,12311909.6,687
2021-10-13,2.59,2.6,2.7,2.44,2.48,2264880,5793828.7,553
2021-10-14,2.48,2.44,2.59,2.4,2.42,399740,984524.6,330
2021-10-18,2.42,2.4,2.46,2.18,2.22,638140,1467004.1,331
2021-10-19,2.22,2.31,2.31,2.01,2.04,1358740,2829928.4,662
2021-10-20,2.04,2.12,2.2,2.02,2.07,1610100,3412456.6,511
2021-10-21,2.07,2.07,2.17,2.0,2.14,1535880,3200095.85,385
2021-10-22,2.14,2.18,2.22,2.04,2.04,1876880,3912624.45,478
2021-10-25,2.04,2.12,2.12,1.99,2.01,716680,1469769.75,253
2021-10-26,2.01,2.06,2.06,1.94,2.0,1676100,3347607.35,172
2021-10-27,2.0,2.02,2.04,1.98,2.0,1830120,3701195.3,272
2021-10-28,2.0,2.04,2.04,1.9,2.0,322610,638132.5,143
2021-10-29,2.0,1.99,2.0,1.9,1.9,609230,1183481.2,144
2021-11-01,1.9,1.92,1.97,1.87,1.88,561220,1073903.8,222
2021-11-02,1.88,1.94,1.94,1.8,1.82,1055850,1964365.45,269
2021-11-03,1.82,1.86,1.9,1.83,1.9,328730,621528.75,136
2021-11-04,1.9,1.97,2.0,1.94,1.99,179350,355246.25,88
2021-11-08,1.99,2.0,2.02,1.92,1.97,758320,1484916.85,211
2021-11-09,1.97,2.0,2.01,1.93,1.94,1053770,2053217.65,192
2021-11-10,1.94,1.92,2.0,1.92,1.95,1223080,2374022.45,230
2021-11-11,1.95,1.98,2.04,1.92,1.98,529810,1037266.6,176
2021-11-12,1.98,2.04,2.08,1.96,2.08,1819120,3666296.15,348
2021-11-15,2.08,2.15,2.18,1.98,2.14,1802630,3826070.4,786
2021-11-16,2.14,2.22,2.25,2.15,2.25,608340,1358903.7,276
2021-11-17,2.25,2.3,2.36,2.3,2.36,611080,1437173.55,263
2021-11-18,2.36,2.47,2.48,2.35,2.47,1240220,3065779.45,377
2021-11-22,2.47,2.54,2.59,2.35,2.42,4101990,9992378.6,1354
2021-11-23,2.42,2.46,2.54,2.38,2.54,716580,1800956.95,304
2021-11-24,2.54,2.64,2.66,2.54,2.66,747650,1964770.15,461
2021-11-25,2.66,2.71,2.78,2.7,2.78,667250,1846850.3,189
2021-11-26,2.78,2.9,2.91,2.86,2.91,1248180,3629451.0,400
2021-11-29,2.91,3.02,3.06,2.76,3.03,2164960,6393274.25,1145
2021-11-30,3.03,3.09,3.18,3.03,3.16,993570,3122978.85,555
2021-12-01,3.16,3.26,3.32,3.08,3.31,1102180,3528534.75,638
2021-12-02,3.31,3.38,3.48,3.34,3.48,608340,2084119.25,398
2021-12-03,3.48,3.64,3.65,3.64,3.65,234380,854210.9,88
2021-12-06,3.65,3.82,3.82,3.82,3.82,403030,1541589.75,178
2021-12-07,3.82,4.01,4.01,4.01,4.01,120480,483727.2,48
2021-12-08,4.01,4.22,4.22,4.22,4.22,396340,1670573.1,99
2021-12-09,4.22,4.42,4.42,4.01,4.39,2653390,11609963.5,1280
2021-12-10,4.39,4.6,4.6,4.4,4.6,2173500,9806292.1,1495
2021-12-13,4.6,4.78,4.82,4.51,4.82,1416290,6688699.6,1096
2021-12-14,4.82,4.96,5.06,4.85,5.06,964000,4817997.5,754
2021-12-15,5.06,5.3,5.3,5.3,5.3,111130,589544.65,44
2021-12-16,5.3,5.57,5.57,5.57,5.57,245050,1364928.5,122
2021-12-17,5.57,5.85,5.85,5.3,5.85,3544570,20319886.65,1147
2021-12-20,5.85,6.14,6.14,5.85,6.14,2638160,16095116.05,1298
2021-12-21,6.14,6.44,6.44,5.83,6.05,5320700,32141354.8,2668
2021-12-22,6.05,6.2,6.2,5.75,6.12,3381320,20027709.25,1808
2021-12-23,6.12,5.85,6.1,5.85,5.93,1824220,10900515.55,766
2021-12-24,5.93,5.82,6.05,5.64,5.96,2964800,17211860.7,2169
2021-12-27,5.96,6.19,6.25,5.92,6.23,2712610,16813109.55,1649
2021-12-28,6.23,6.5,6.54,6.31,6.54,1809070,11717536.45,974
2021-12-29,6.54,6.7,6.87,6.7,6.87,1460480,9962169.75,745
2021-12-30,6.87,7.2,7.2,7.01,7.2,907500,6517706.6,418
2021-12-31,7.2,7.57,7.57,7.57,7.57,211070,1596744.55,195
2022-01-03,7.57,7.94,7.94,7.6,7.94,1453400,11519572.25,681
2022-03-29,8.83,9.18,9.18,8.38,8.97,1175850,10292318.1,335
2022-03-30,8.97,9.15,9.4,8.71,9.12,1162400,10590979.5,325
2022-03-31,9.12,9.3,9.3,8.76,9.14,1067140,9708209.1,500
2022-04-01,9.14,9.0,9.5,8.9,9.31,1187170,10945244.3,558
2022-04-04,9.31,9.5,9.78,9.2,9.7,1493440,14271327.35,1046
2022-04-05,9.7,10.15,10.15,9.6,9.98,1166100,11474547.25,408
2022-04-06,9.98,9.6,9.9,9.51,9.67,1479620,14311629.15,845
2022-04-07,9.67,9.7,9.7,8.93,9.08,1113460,10272496.3,441
2022-04-08,9.08,9.08,9.2,8.2,8.35,1177930,10251643.9,758
2022-04-11,8.35,8.3,9.18,8.2,9.06,1217350,10641925.2,609
2022-04-12,9.06,9.2,9.97,9.04,9.68,1439570,13960430.2,868
2022-04-13,9.68,9.88,10.19,9.37,9.67,918590,8958784.85,600
2022-04-18,9.67,9.99,10.2,8.8,9.74,1305780,12105509.55,820
2022-04-19,9.74,9.74,9.82,9.2,9.37,1079080,10370410.9,485
