Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,100.1,102.87,110.71,102.44,106.64,149940.61,15724407.75,1881
2017-01-03,106.64,106.39,117.17,106.39,111.14,304409.19,34414363.05,4558
2017-01-04,111.14,111.42,115.95,111.03,113.94,106088.12,12101449.55,1469
2017-01-05,113.94,114.98,118.61,114.3,118.22,117518.65,13723701.3,1998
2017-01-06,118.22,118.61,120.77,115.74,116.42,84149.36,9906164.25,1091
2017-01-09,116.42,116.96,120.77,116.1,117.17,66367.15,7865436.75,874
2017-01-10,117.17,117.75,118.4,116.46,116.85,76921.3,9020423.75,1570
2017-01-11,116.85,117.86,120.95,116.49,118.0,225757.38,26886661.95,2239
2017-01-12,118.0,118.25,118.25,113.01,115.13,69167.4,7994586.55,998
2017-01-13,115.13,114.73,116.13,113.22,114.3,31281.27,3581375.15,561
2017-01-16,114.3,117.61,117.61,112.75,112.97,19280.4,2191000.15,412
2017-01-17,112.97,115.2,117.17,113.54,115.99,49440.46,5735393.65,907
2017-01-18,115.99,117.0,117.28,114.3,114.69,27760.44,3204605.55,372
2017-01-19,114.69,116.64,116.64,113.98,114.91,15909.81,1830696.25,373
2017-01-20,114.91,117.28,120.66,116.56,117.57,208270.09,24703752.3,2025
2017-01-23,117.57,116.46,120.09,116.46,117.07,79995.59,9472548.6,2624
2017-01-24,117.07,119.48,119.98,115.41,116.28,106597.26,12485903.1,2635
2017-01-25,116.28,115.99,117.03,114.66,114.77,51374.07,5928901.55,1143
2017-01-27,114.77,115.02,116.82,112.68,113.44,73422.72,8408281.55,1468
2017-01-30,113.44,113.4,115.02,112.32,113.44,88613.34,10102952.05,2372
2017-01-31,113.44,112.86,114.3,110.09,111.21,31555.31,3554396.5,1559
2017-02-01,111.21,111.39,114.3,107.9,113.01,73186.24,8122838.55,2833
2017-02-02,113.01,112.86,114.08,112.25,113.62,41181.61,4673541.05,1457
2017-02-03,113.62,113.26,115.02,110.92,112.57,54791.96,6184610.6,1925
2017-02-06,112.57,115.02,115.02,109.27,109.63,97968.37,10896525.45,2181
2017-02-07,109.63,110.2,111.24,106.75,107.29,108489.13,11739744.4,1306
2017-02-08,107.29,107.83,108.76,104.27,106.79,308788.31,32964328.4,8602
2017-02-09,106.79,108.4,113.8,106.79,113.04,508693.82,56549626.1,6778
2017-02-10,113.04,115.02,115.2,112.86,113.33,145497.49,16559908.15,2633
2017-02-13,113.33,109.34,109.63,101.36,108.15,127672.16,13769741.7,2263
2017-02-14,108.15,109.27,109.27,104.38,107.18,71917.57,7675312.0,1283
2017-02-15,107.18,106.5,107.83,104.24,104.7,40135.51,4231469.45,659
2017-02-16,104.7,104.7,106.03,102.83,104.06,76318.96,7922911.5,1995
2017-02-17,104.06,104.67,109.59,103.84,104.99,67260.23,7155256.9,1119
2017-02-20,104.99,105.67,107.47,103.52,105.64,61921.25,6560849.5,1129
2017-02-21,105.64,106.75,106.9,104.24,105.39,57912.15,6090079.95,1598
2017-02-22,105.39,106.39,107.07,104.7,105.28,72486.53,7678006.9,1678
2017-02-23,105.28,106.25,106.32,104.31,104.77,46424.6,4891823.5,1321
2017-02-27,104.77,104.95,107.11,104.31,104.67,37689.99,3975100.8,902
2017-02-28,104.67,104.99,108.4,104.63,105.35,96415.93,10277348.95,1691
2017-03-01,105.35,105.46,107.43,105.24,106.25,71878.62,7653416.05,1391
2017-03-02,106.25,106.39,107.11,103.95,104.49,48813.08,5151783.6,1018
2017-03-03,104.49,104.95,105.53,100.64,104.38,78797.87,8189084.8,1427
2017-03-06,104.38,105.6,106.39,104.38,105.24,30989.14,3273737.0,484
2017-03-07,105.24,106.21,106.21,103.26,103.88,29389.4,3067646.5,622
2017-03-08,103.88,103.88,104.81,102.94,103.66,21034.56,2183001.15,460
2017-03-09,103.66,104.59,113.44,103.55,107.61,630343.98,69335542.8,7467
2017-03-10,107.61,108.66,108.69,104.59,105.31,52687.25,5598663.95,984
2017-03-14,105.31,107.47,108.4,104.95,106.72,118262.88,12595085.5,1760
2017-03-15,106.72,108.4,109.73,107.25,107.76,109430.89,11876445.05,1614
2017-03-16,107.76,108.15,110.71,106.61,109.02,134069.75,14557606.1,1887
2017-03-17,109.02,108.91,109.48,106.46,107.29,53642.92,5789811.4,647
2017-03-20,107.29,108.55,108.55,105.78,106.07,54540.17,5817879.0,1012
2017-03-21,106.07,107.4,107.4,105.39,106.21,44952.83,4776382.05,841
2017-03-22,106.21,106.1,107.04,104.38,104.81,63636.46,6718489.45,1005
2017-03-23,104.81,105.82,107.04,104.85,105.71,63052.2,6669784.25,969
2017-03-24,105.71,108.19,108.19,105.82,106.43,63722.71,6800336.35,1208
2017-03-27,106.43,106.75,110.71,106.75,108.08,147738.52,16101196.85,2304
2017-03-28,108.08,109.05,109.99,106.64,107.76,104655.31,11302664.8,1924
2017-03-29,107.76,109.12,125.66,109.12,119.62,2619863.19,316461492.85,26919
2017-03-30,119.62,121.49,125.33,120.77,121.49,562239.37,68711793.1,5755
2017-03-31,121.49,122.21,122.21,114.23,118.79,271807.78,32387551.2,2674
2017-04-03,118.79,119.76,125.8,118.83,124.97,578200.65,71867182.4,5609
2017-04-05,124.97,124.36,126.99,122.93,123.64,289969.75,36223829.3,3955
2017-04-06,123.64,123.32,127.6,122.35,126.63,353115.16,44307322.05,4124
2017-04-07,126.63,125.8,136.22,125.8,131.7,1418691.29,188560747.2,12766
2017-04-10,131.7,136.76,139.42,133.42,134.03,469433.3,63584180.2,4255
2017-04-11,134.03,134.5,135.87,131.73,133.92,389763.23,52187210.0,3234
2017-04-12,133.92,134.72,144.89,131.55,138.49,1405734.75,196610552.85,13455
2017-04-13,138.49,138.74,140.9,135.97,139.68,274991.97,38159115.75,3215
2017-04-17,139.68,139.68,142.26,136.62,137.38,150878.2,20973348.4,2564
2017-04-18,137.38,136.98,144.1,136.62,137.73,460814.15,64674192.6,6095
2017-04-19,137.73,137.73,155.56,137.23,152.22,1814768.64,269919841.55,15020
2017-04-20,152.22,162.43,167.06,158.15,160.09,2449258.05,397693827.75,20997
2017-04-21,160.09,161.03,163.36,156.03,158.29,608800.29,97191195.85,5918
2017-04-24,158.29,159.52,159.98,153.12,153.73,264663.18,41077861.1,2927
2017-04-25,153.73,154.56,161.71,151.36,152.87,367618.58,57323248.95,3919
2017-04-26,152.87,153.84,154.27,147.44,148.05,262189.83,39548744.45,2997
2017-04-27,148.05,151.39,156.53,150.96,152.94,375934.47,57613645.75,3972
2017-04-28,152.94,154.48,154.48,150.67,151.75,135809.99,20679391.15,1806
2017-05-02,151.75,152.04,155.99,149.09,154.05,183866.33,28070434.45,2820
2017-05-03,154.05,154.34,154.56,150.31,151.72,140151.56,21283014.2,2119
2017-05-04,151.72,152.15,153.66,150.35,151.18,145692.24,22117794.6,2634
2017-05-05,151.18,152.9,159.59,151.9,154.92,528878.43,82613732.25,5156
2017-05-08,154.92,156.32,161.39,153.69,157.75,368181.97,58439985.45,3838
2017-05-09,157.75,157.43,166.78,154.77,161.67,760564.61,123592300.1,7972
2017-05-10,161.67,162.64,166.06,161.42,163.72,260890.56,42605579.75,3628
2017-05-11,163.72,164.62,173.75,160.63,170.69,810021.76,136029827.7,7699
2017-05-12,170.69,174.76,195.89,172.89,191.25,3719074.3,696838880.0,36761
2017-05-15,191.25,189.78,208.4,187.44,205.88,1947127.35,390260172.15,22418
2017-05-16,205.88,209.69,225.18,208.97,221.41,2379400.67,519568836.75,24575
2017-05-17,221.41,222.09,230.47,219.36,225.9,1404491.12,317638810.65,17131
2017-05-18,225.9,221.41,224.86,207.25,210.23,992563.78,215179878.95,14032
2017-05-19,210.23,215.48,220.69,207.39,212.6,726516.47,155562392.05,10097
2017-05-22,212.6,215.44,217.67,199.41,203.44,295268.38,61891944.75,4189
2017-05-23,203.44,204.7,214.72,186.04,203.83,1084938.61,220868537.0,16036
2017-05-24,203.83,204.73,211.67,190.97,194.6,451792.98,91841970.3,7162
2017-05-25,194.6,186.9,186.9,173.97,179.82,929073.38,167923945.55,12242
2017-05-26,179.82,181.15,196.9,179.75,194.17,684706.1,130739226.6,12461
2017-05-29,194.17,195.71,200.56,184.78,186.9,291531.94,56175949.95,5114
2017-08-23,147.58,143.81,154.95,143.81,152.04,45385.46,6979412.35,459
2017-08-24,152.04,152.61,154.3,149.52,151.5,15673.33,2375452.3,286
