Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,239.05,241.39,248.3,239.78,245.43,76261.52,18583389.4,1870
2017-01-03,245.43,244.36,251.51,244.36,249.86,27232.15,6789592.85,1045
2017-01-04,249.86,249.71,257.35,249.71,253.46,31630.43,8040455.3,1900
2017-01-05,253.46,255.74,257.84,254.09,256.13,21860.92,5602247.6,562
2017-01-06,256.13,256.43,260.85,256.43,259.39,26270.51,6789855.15,1052
2017-01-09,259.39,252.09,257.93,252.09,257.4,49296.5,12652228.2,1437
2017-01-10,257.4,258.08,258.91,254.28,257.89,66504.35,17134402.4,666
2017-01-11,257.89,257.64,258.81,252.58,253.55,206480.84,53186892.65,919
2017-01-12,253.55,254.82,257.79,252.09,253.02,32003.37,8133944.75,1523
2017-01-13,253.02,254.04,257.93,253.21,256.23,24491.06,6257584.7,1021
2017-01-16,256.23,256.86,264.75,254.92,256.08,155611.4,40714692.55,4518
2017-01-17,256.08,258.81,258.81,254.04,254.48,21568.12,5517528.7,2037
2017-01-18,254.48,254.24,257.84,254.19,256.28,18524.97,4744187.8,1032
2017-01-19,256.28,256.96,257.93,255.01,255.26,13710.59,3511646.4,378
2017-01-20,255.26,255.01,258.42,251.12,252.58,14988.67,3811200.0,1076
2017-01-23,252.58,251.12,255.79,248.2,251.66,9175.67,2308029.25,420
2017-01-24,251.66,255.01,255.01,250.73,253.12,16571.89,4185224.85,1342
2017-01-25,253.12,253.51,255.89,249.71,251.75,20587.98,5201841.1,1103
2017-01-27,251.75,253.85,256.86,251.12,252.34,39424.25,9995781.55,4738
2017-01-30,252.34,252.05,256.57,249.32,251.56,27653.38,7019608.55,1212
2017-01-31,251.56,249.76,254.87,249.76,253.41,28310.91,7153213.4,4177
2017-02-01,253.41,255.94,262.8,251.36,261.29,137519.99,35515361.1,10649
2017-02-02,261.29,261.44,268.64,261.1,261.97,164688.44,43603900.15,11381
2017-02-03,261.97,262.31,266.11,261.39,263.63,31300.64,8248685.05,3566
2017-02-06,263.63,266.01,269.52,264.26,266.69,66370.79,17708078.25,7809
2017-02-07,266.69,268.64,270.59,265.72,268.54,56138.95,15045657.75,3847
2017-02-08,268.54,269.61,273.36,266.89,269.03,77238.58,20792755.5,3987
2017-02-09,269.03,269.86,274.87,265.96,270.3,158926.8,43095563.3,8081
2017-02-10,270.3,270.54,275.65,268.98,272.92,60894.77,16590988.95,5590
2017-02-13,272.92,273.51,275.26,271.17,274.09,70689.96,19351734.6,5934
2017-02-14,274.09,274.33,278.57,272.05,277.45,75049.2,20741150.05,5123
2017-02-15,277.45,273.26,279.74,271.71,277.69,71240.64,19550371.85,2722
2017-02-16,277.69,277.79,282.66,273.8,278.96,65380.38,18298169.35,7689
2017-02-17,278.96,275.94,288.89,274.48,276.38,503738.25,141424987.45,4369
2017-02-20,276.38,276.43,280.71,275.45,279.59,32614.67,9060012.8,2895
2017-02-21,279.59,282.75,283.24,280.37,281.83,24944.14,7026454.35,1437
2017-02-22,281.83,281.59,284.9,281.59,283.29,45308.15,12843134.7,3007
2017-02-23,283.29,284.21,284.21,279.35,281.98,19532.85,5502709.05,1839
2017-02-27,281.98,284.55,285.19,278.37,283.78,53691.7,15200098.55,2506
2017-02-28,283.78,284.21,285.09,281.78,283.24,30123.24,8531299.85,1819
2017-03-01,283.24,285.48,339.11,281.54,327.43,1885071.68,618289550.65,48226
2017-03-02,327.43,323.2,325.09,304.46,310.1,310172.8,97521811.65,7280
2017-03-03,310.1,308.55,324.02,304.02,313.02,289117.35,91878105.7,8446
2017-03-06,313.02,312.49,317.26,306.7,310.74,55048.89,17130673.55,2203
2017-03-07,310.74,306.6,320.91,306.6,317.55,88341.64,27877542.15,2404
2017-03-08,317.55,318.23,318.28,307.18,308.64,61347.85,18990272.05,2070
2017-03-09,308.64,311.22,311.22,297.06,298.18,153267.91,46000749.75,2992
2017-03-10,298.18,300.61,303.0,291.12,292.29,55209.16,16279928.7,2228
2017-03-14,292.29,296.87,300.47,293.56,298.52,171126.1,50994112.65,4579
2017-03-15,298.52,298.52,309.42,297.01,303.15,186265.8,56890923.85,6971
2017-03-16,303.15,306.55,312.34,306.55,308.35,149436.75,46238966.65,5542
2017-03-17,308.35,308.35,313.8,306.6,311.71,122746.04,38154206.7,6844
2017-03-20,311.71,316.29,316.29,304.22,306.8,84814.59,26347955.15,1609
2017-03-21,306.8,308.6,318.18,306.7,308.35,294154.67,91280187.6,9371
2017-03-22,308.35,308.55,337.7,308.55,330.84,1280424.69,423391000.35,34282
2017-03-23,330.84,333.81,371.91,330.98,353.47,2126737.74,761434206.3,51747
2017-03-24,353.47,353.47,354.29,342.32,348.41,334721.39,116393692.2,13504
2017-03-27,348.41,349.23,358.19,343.1,353.42,367658.67,129537089.15,11922
2017-03-28,353.42,353.32,357.02,347.04,349.04,275875.25,97466312.05,10894
2017-03-29,349.04,350.35,355.27,344.03,349.48,157838.79,55263373.5,7569
2017-03-30,349.48,349.96,358.97,342.18,344.51,276408.47,97275353.05,9012
2017-03-31,344.51,344.56,351.08,332.05,334.34,169320.97,57348262.8,8507
2017-04-03,334.34,338.23,338.57,331.86,334.05,146104.91,48844689.1,3865
2017-04-05,334.05,339.45,400.82,334.83,389.24,3176775.12,1206118884.95,70454
2017-04-06,389.24,387.19,405.49,380.09,387.87,2798832.22,1109762469.9,63967
2017-04-07,387.87,388.85,400.92,383.54,388.21,1549800.63,606220987.75,56975
2017-04-10,388.21,390.31,392.11,361.84,364.71,887144.83,327584421.85,25953
2017-04-11,364.71,367.73,372.79,357.21,361.45,375764.82,136915062.55,11946
2017-04-12,361.45,362.47,364.71,346.56,352.44,385738.77,136307743.05,11382
2017-04-13,352.44,356.87,374.44,349.43,365.83,885091.07,324773204.6,20814
2017-04-17,365.83,367.92,382.52,365.15,375.95,678875.3,254834338.95,15864
2017-04-18,375.95,379.45,384.37,362.18,364.51,321675.52,120675013.55,7490
2017-04-19,364.51,367.68,367.68,351.37,354.29,397563.07,141676285.7,14002
2017-04-20,354.29,357.94,384.32,355.27,381.3,944312.21,355509158.4,19984
2017-04-21,381.3,387.19,393.32,378.09,388.9,679688.99,263293077.7,13794
2017-04-24,388.9,393.91,395.37,376.44,381.6,463254.75,179789272.65,24682
2017-04-25,381.6,385.05,385.64,373.76,380.18,275411.89,104512143.7,9682
2017-04-26,380.18,382.52,382.76,362.62,375.07,199506.88,74608833.15,6813
2017-04-27,375.07,374.73,374.73,362.62,364.37,164716.18,60269478.25,7672
2017-04-28,364.37,368.41,368.41,356.78,360.67,161628.85,58262829.9,7694
2017-05-02,360.67,361.11,400.04,361.11,384.86,1290785.97,500704315.1,28750
2017-05-03,384.86,388.26,413.57,385.44,407.92,1618845.73,645382978.0,29361
2017-05-04,407.92,410.75,412.69,396.15,401.31,689642.4,277322332.95,16735
