Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-10-09,110.0,112.0,115.0,108.03,110.39,145611,16456544.07,1979
2024-10-10,110.39,112.99,114.89,105.0,111.96,265396,29806491.05,2739
2024-10-11,111.96,112.88,112.88,106.35,108.5,97588,10664537.56,1426
2024-10-14,108.5,109.45,109.5,106.1,107.74,78237,8472827.43,1648
2024-10-15,107.74,109.45,109.5,105.4,105.92,117628,12669650.16,1770
2024-10-16,105.92,107.5,107.98,103.0,104.68,175297,18664777.42,2978
2024-10-17,104.68,106.0,107.0,100.01,102.48,167943,17513040.13,3413
2024-10-18,102.48,104.03,104.03,100.1,101.48,200691,20415011.7,3168
2024-10-21,101.48,102.01,103.08,98.86,100.88,169133,17209741.27,2891
2024-10-22,100.88,100.21,102.3,96.0,98.7,239730,23915003.71,4669
2024-10-23,98.7,98.11,102.01,95.12,97.95,206332,20256053.9,3447
2024-10-24,97.95,97.25,101.9,96.12,100.77,405112,40503247.2,5698
2024-10-25,100.77,102.0,102.0,96.0,97.69,315757,31407864.98,5855
2024-10-28,97.69,99.81,99.81,93.0,94.3,187853,18077333.94,6159
2024-10-29,94.3,96.0,96.0,75.44,75.44,821182,65879944.68,14151
2024-10-30,75.44,66.0,69.39,61.0,63.67,1905013,122618293.43,22478
2024-10-31,63.67,64.25,69.4,63.7,64.81,1069021,70688219.12,9911
2024-11-01,64.81,66.75,69.0,66.2,68.22,98682,6718098.26,1042
2025-02-03,64.73,64.7,67.49,63.51,65.66,33168,2177014.8,440
2025-02-04,65.66,66.9,67.5,65.0,66.54,58640,3859002.1,1083
2025-02-05,66.54,66.54,68.5,66.23,67.13,20364,1380036.96,298
2025-02-06,67.13,68.5,68.99,66.53,67.5,67958,4649166.81,346
2025-02-07,67.5,68.49,71.79,66.97,69.08,22840,1575230.4,563
2025-02-10,69.08,70.98,70.98,67.62,70.6,33392,2324827.97,938
2025-02-11,70.6,69.5,71.8,64.0,70.85,45258,3173340.9,1371
2025-02-12,70.85,72.89,72.89,68.0,70.61,42899,2985892.98,804
2025-02-13,70.61,69.61,71.84,69.0,69.88,23754,1669766.05,972
2025-02-14,69.88,69.94,72.5,67.01,70.55,56641,4032219.54,799
2025-02-17,70.55,70.55,71.0,66.99,69.39,50342,3500411.73,553
2025-02-18,69.39,67.09,69.59,62.45,63.5,44013,2942238.62,1155
2025-02-19,63.5,65.25,68.5,64.97,65.88,31845,2117401.82,880
2025-02-20,65.88,65.9,67.0,64.5,65.05,54741,3586302.22,532
2025-02-21,65.05,64.84,66.47,64.84,65.04,44025,2876790.67,687
2025-02-24,65.04,65.99,65.99,62.0,63.1,55019,3504765.03,635
2025-02-25,63.1,64.29,65.5,62.0,62.48,8553,542515.62,189
2025-02-27,62.48,64.9,64.9,60.05,60.21,32036,1964350.86,965
2025-02-28,60.21,61.42,66.23,60.0,62.92,138735,8848572.4,1537
2025-03-03,62.92,63.95,64.55,61.01,63.41,24553,1558095.75,589
2025-03-04,63.41,64.25,64.25,62.8,63.15,39742,2514695.55,217
2025-03-05,63.15,63.15,64.0,62.0,63.01,24639,1554420.86,574
2025-03-06,63.01,63.84,64.48,60.5,62.11,30411,1905593.67,554
2025-03-07,62.11,62.1,63.49,61.05,62.33,22461,1407126.48,586
2025-03-10,62.33,62.41,68.0,61.61,62.71,90037,5692065.57,1262
2025-03-11,62.71,63.0,63.37,61.5,61.99,46704,2902365.48,582
2025-03-12,61.99,62.98,62.98,60.0,60.25,64270,3932012.54,2095
2025-03-13,60.25,61.21,61.72,59.36,59.98,39280,2369574.04,1265
2025-03-17,59.98,61.99,61.99,59.3,59.87,86068,5175173.04,1057
2025-03-18,59.87,61.05,62.5,59.89,60.04,87367,5293476.79,1286
2025-03-19,60.04,61.06,61.1,59.1,59.85,62864,3775419.07,961
2025-03-20,59.85,60.41,60.84,57.5,58.32,60801,3611439.05,650
2025-03-21,58.32,59.5,59.5,57.74,58.13,60416,3527234.47,1004
2025-03-24,58.13,61.0,61.0,58.2,58.99,247556,14730275.16,1356
2025-03-25,58.99,58.52,59.4,56.82,57.72,162131,9388627.9,782
2025-03-26,57.72,57.02,58.0,53.35,53.95,234672,12983026.5,2062
2025-03-27,53.95,53.95,56.51,52.0,53.92,221210,11794431.58,1714
2025-03-28,53.92,57.34,58.0,53.0,55.36,128701,7081686.71,761
2025-04-01,55.36,55.3,58.35,53.5,56.07,99871,5613565.83,796
2025-04-02,56.07,54.95,57.1,53.54,55.15,202910,11227971.91,1308
2025-04-03,55.15,54.02,58.39,54.02,56.95,95826,5390737.13,1323
2025-04-04,56.95,56.5,58.5,55.2,57.93,166073,9406963.7,1165
2025-04-07,57.93,56.0,61.99,53.5,60.41,198694,11578763.66,1858
2025-04-08,60.41,61.5,61.83,58.0,59.74,179356,10783097.68,1220
2025-04-09,59.74,60.63,63.45,57.51,61.84,92059,5553517.61,1091
