Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,96.25,95.5,97.2,95.4,96.15,245114,23579193.35,2364
2017-01-03,96.15,96.4,100.15,96.4,98.05,569078,56132622.5,4245
2017-01-04,98.05,98.5,100.0,97.7,98.15,438434,43255728.5,4629
2017-01-05,98.15,98.5,104.5,97.7,103.6,1970093,201373913.3,14501
2017-01-06,103.6,104.5,105.9,102.85,103.9,1077364,112423123.85,6802
2017-01-09,103.9,103.9,104.4,102.1,102.4,304775,31433364.7,2539
2017-01-10,102.4,103.0,106.55,103.0,104.05,775015,80836700.9,13141
2017-01-11,104.05,104.7,105.7,103.2,103.55,800766,83418208.85,5580
2017-01-12,103.55,104.1,104.95,102.55,103.3,1446810,149303392.85,3388
2017-01-13,103.3,103.6,103.9,102.5,103.2,306340,31587943.65,2278
2017-01-16,103.2,103.6,107.7,102.8,107.0,1230168,130531674.55,7643
2017-01-17,107.0,107.0,108.95,106.5,106.95,899804,96789724.4,5257
2017-01-18,106.95,108.2,115.25,108.05,108.95,7627617,851009526.95,52855
2017-01-19,108.95,109.45,113.35,109.45,110.8,2264158,252339647.0,21219
2017-01-20,110.8,110.8,112.4,107.3,107.85,1478400,162801352.35,16461
2017-01-23,107.85,107.65,111.8,107.65,111.35,1095484,120926803.3,8108
2017-01-24,111.35,111.6,117.4,111.05,115.5,2765304,315995373.75,21551
2017-01-25,115.5,116.9,124.55,116.9,121.8,4954722,601913158.5,26359
2017-01-27,121.8,122.45,123.4,119.35,120.35,1422471,172048531.3,9696
2017-01-30,120.35,119.5,126.2,119.15,125.25,1934964,239084998.8,13478
2017-01-31,125.25,125.9,127.6,122.25,124.8,1737992,217336053.85,13961
2017-02-01,124.8,125.1,132.3,121.0,130.1,3936468,507888855.25,25890
2017-02-02,130.1,129.65,129.9,124.6,129.15,1943086,248147725.5,16616
2017-02-03,129.15,129.55,132.9,129.55,131.7,1931487,253002312.65,18337
2017-02-06,131.7,132.25,135.0,132.0,134.25,1835705,244878325.55,32716
2017-02-07,134.25,133.75,136.8,133.2,135.85,1322106,179086471.5,13169
2017-02-08,135.85,135.25,135.95,131.7,133.25,701339,93685094.5,6960
2017-02-09,133.25,133.4,134.0,129.3,130.4,612259,80238504.25,5631
2017-02-10,130.4,130.7,130.95,127.45,127.85,600240,77099928.85,9217
2017-02-13,127.85,128.4,130.3,127.15,129.7,647423,83403139.65,6864
2017-02-14,129.7,129.7,133.0,128.2,130.05,691506,90256423.45,7609
2017-02-15,130.05,130.1,130.2,124.35,125.65,444454,56527641.6,3409
2017-02-16,125.65,125.85,134.0,122.25,128.95,1012507,127849956.25,8106
2017-02-17,128.95,129.8,131.45,128.0,128.6,391381,50578254.4,4941
2017-02-20,128.6,127.5,131.75,126.9,131.15,461632,59817914.2,4610
2017-02-21,131.15,131.6,135.0,131.0,134.05,1038032,138819061.3,7271
2017-02-22,134.05,134.7,134.7,131.5,132.0,649031,86153450.6,7075
2017-02-23,132.0,132.0,132.45,130.1,131.05,273971,35942353.95,2428
2017-02-27,131.05,131.4,132.2,127.25,128.45,341894,44456894.65,5566
2017-02-28,128.45,128.0,132.4,128.0,129.6,630940,81999535.8,9420
2017-03-01,129.6,130.2,130.8,127.0,127.9,486498,62750715.5,6483
2017-03-02,127.9,127.8,130.0,126.35,126.95,439267,56339203.65,5935
2017-03-03,126.95,127.0,128.5,125.65,126.1,363035,46022804.8,4154
2017-03-06,126.1,126.65,128.7,124.75,125.0,382432,48260065.55,4226
2017-03-07,125.0,125.65,127.95,125.0,125.2,350682,44260364.45,5418
2017-03-08,125.2,125.45,126.6,123.5,124.2,228475,28476805.8,2721
2017-03-09,124.2,124.7,125.2,122.55,123.25,291864,36137484.95,3164
2017-03-10,123.25,123.5,125.95,122.25,123.5,378562,47082279.5,5440
2017-03-14,123.5,125.9,126.45,122.75,123.05,461179,57354987.1,2967
2017-03-15,123.05,123.9,124.8,122.8,123.45,211954,26237985.0,2764
2017-03-16,123.45,125.1,126.5,123.95,124.5,559096,69965081.75,3673
2017-03-17,124.5,124.9,127.5,123.6,124.7,553700,69563722.05,4994
2017-03-20,124.7,125.0,125.3,121.7,122.45,285103,35034656.5,2525
2017-03-21,122.45,122.5,123.3,120.5,121.25,417939,50865223.15,6240
2017-03-22,121.25,120.9,122.95,120.45,121.45,277001,33684955.25,4326
2017-03-23,121.45,121.9,127.0,121.0,125.95,1034543,128788751.1,6256
2017-03-24,125.95,126.0,132.5,125.35,127.9,2105563,272664693.75,11723
2017-03-27,127.9,128.0,129.0,125.05,125.5,474967,60101403.35,4343
2017-03-28,125.5,126.4,127.85,125.6,125.95,525708,66377314.65,3504
2017-03-29,125.95,126.9,126.95,124.0,124.8,489641,61104300.2,3649
2017-03-30,124.8,125.75,128.95,124.8,126.3,459831,58490596.35,3482
2017-03-31,126.3,127.25,128.2,125.25,125.9,414844,52421416.05,3219
2017-04-03,125.9,126.85,133.4,126.4,132.3,1522814,198674773.8,12453
2017-04-05,132.3,132.45,134.7,131.4,132.05,1142514,152077632.8,12170
2017-04-06,132.05,131.6,133.7,129.0,132.9,902708,118853433.75,11430
2017-04-07,132.9,131.15,134.0,130.4,131.15,711004,94379185.45,7800
2017-04-10,131.15,131.7,132.75,129.45,131.8,409657,53821008.8,5015
2017-04-11,131.8,131.25,137.9,130.7,136.9,1380567,186823462.4,10248
2017-04-12,136.9,137.8,141.9,135.0,139.95,2870073,400894324.9,21265
2017-04-13,139.95,140.35,149.75,138.0,148.85,3575250,521939128.35,28019
2017-04-17,148.85,149.4,156.0,149.05,150.35,1890925,288285556.1,19413
2017-04-18,150.35,148.7,150.4,139.15,140.45,1324804,191383274.35,18496
2017-04-19,140.45,141.75,145.3,136.65,144.2,1398032,197238561.65,13827
2017-04-20,144.2,144.85,147.8,142.0,147.05,593525,86702906.55,5642
2017-04-21,147.05,147.25,147.5,142.3,145.65,433676,62964054.75,4141
2017-04-24,145.65,145.7,153.55,144.45,152.7,1371765,205833903.95,9330
2017-04-25,152.7,153.85,156.45,150.2,152.6,942337,144792100.45,9128
2017-04-26,152.6,154.2,155.9,148.1,150.75,2383325,366173886.5,14095
2017-04-27,150.75,154.8,155.3,144.25,144.9,1448323,215731445.05,12790
2017-04-28,144.9,146.25,150.4,144.6,146.95,1066710,157858723.2,12733
