Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2024-12-06,441.0,438.0,449.0,414.95,417.25,6747269,2924725543.05,89127
2024-12-09,417.25,412.0,426.95,410.0,410.7,1538114,639764658.15,51527
2024-12-10,410.7,414.75,416.75,402.1,405.4,1161752,472922014.8,32257
2024-12-11,405.4,402.4,423.25,402.4,417.75,1617064,672248338.05,40686
2024-12-12,417.75,417.0,418.35,406.0,410.55,625887,256879760.1,23060
2024-12-13,410.55,410.5,414.65,406.8,411.35,650097,266776741.0,13964
2024-12-16,411.35,420.0,446.0,415.2,418.65,2373444,1019578293.0,55547
2024-12-17,418.65,422.9,426.0,409.0,411.3,500940,208193413.45,16371
2024-12-18,411.3,413.9,413.9,398.35,407.05,690351,279869139.95,19622
2024-12-19,407.05,401.0,411.85,399.05,408.0,357534,145202072.35,13231
2024-12-20,408.0,412.65,415.8,409.8,412.15,663187,273368400.4,14244
2024-12-23,412.15,421.95,421.95,398.85,404.5,441242,179018339.25,13249
2024-12-24,404.5,400.0,404.2,392.15,397.55,431304,171061978.35,10704
2024-12-26,397.55,395.95,398.3,390.2,391.75,249327,97919209.3,9718
2024-12-27,391.75,392.5,399.1,381.5,384.1,288368,112418725.15,13045
2024-12-30,384.1,382.05,384.05,369.05,374.85,267378,100207741.25,11990
2024-12-31,374.85,370.0,378.7,353.85,375.65,618283,225759863.15,22566
2025-01-01,375.65,378.4,383.55,370.0,380.1,236740,89263489.0,10327
2025-01-02,380.1,380.0,382.85,373.5,379.95,176255,66621593.2,7050
2025-01-03,379.95,374.3,383.5,372.3,378.25,215225,80912216.65,7035
2025-01-06,378.25,375.95,396.4,368.8,386.5,808360,312087993.2,23279
2025-01-07,386.5,383.05,389.4,379.05,384.95,313603,120438387.5,8340
2025-01-08,384.95,385.95,388.0,368.15,371.55,140525,52963177.25,7560
2025-01-09,371.55,371.5,373.8,360.0,363.4,112652,41278502.3,6129
2025-01-10,363.4,365.0,365.0,347.75,349.8,128287,45429515.85,6356
2025-01-13,349.8,343.0,345.55,330.0,332.65,176970,59763975.75,8031
2025-01-14,332.65,334.55,358.85,328.6,355.35,177052,60630491.85,9001
2025-01-15,355.35,355.95,367.0,348.4,357.3,177951,63832146.0,8253
2025-01-16,357.3,362.65,368.4,358.8,360.9,112385,40743812.0,4910
2025-01-17,360.9,360.0,360.0,354.15,357.2,127166,45383322.55,2878
2025-01-20,357.2,355.0,357.2,349.0,350.5,40651,14336232.45,3182
2025-01-21,350.5,353.9,356.7,333.35,336.4,89652,30740984.45,5661
2025-01-22,336.4,336.4,341.7,326.55,332.85,137882,45711766.2,6196
2025-01-23,332.85,330.05,336.6,326.95,329.0,57459,19090847.95,4259
2025-01-24,329.0,329.0,332.95,316.55,320.2,90477,29232750.75,6984
2025-01-27,320.2,320.0,320.05,295.0,300.35,107720,32912435.45,7362
2025-01-28,300.35,296.4,309.5,288.5,306.5,143161,42763029.65,10208
2025-01-29,306.5,306.5,310.45,301.9,304.25,63927,19577174.2,4574
2025-01-30,304.25,307.0,318.1,303.25,307.85,80820,25090782.2,5376
2025-01-31,307.85,309.9,311.95,303.05,309.55,85991,26460463.4,4978
2025-02-03,311.6,310.0,316.1,303.15,311.6,90535,28191181.55,4620
