Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,297.68,299.57,307.89,295.84,307.09,898542.92,272021140.05,11292
2017-01-03,307.09,308.03,313.61,305.15,306.94,1565757.42,481968666.15,15134
2017-01-04,306.94,307.09,312.46,307.09,308.78,854972.6,265090253.0,15464
2017-01-05,308.78,315.5,322.47,314.35,321.42,1895467.71,602430908.6,31290
2017-01-06,321.42,321.47,323.76,316.0,317.19,703851.99,224729167.45,15098
2017-01-09,317.19,318.29,321.47,312.31,316.2,1206895.08,382743885.05,23020
2017-01-10,316.2,318.48,325.5,318.48,324.75,1555897.73,501669069.2,25978
2017-01-11,324.75,328.44,328.44,323.46,324.8,1284132.82,417169396.85,21355
2017-01-12,324.8,327.14,327.84,321.12,324.11,885586.57,287216711.45,16938
2017-01-13,324.11,327.44,327.84,318.14,322.42,833942.01,267820194.55,10135
2017-01-16,322.42,323.46,329.43,322.96,328.24,1112016.79,364154299.45,17062
2017-01-17,328.24,328.44,330.83,325.75,326.94,915338.45,299695506.0,14462
2017-01-18,326.94,328.19,329.18,325.3,326.55,1051889.07,343955771.65,26981
2017-01-19,326.55,327.44,337.89,325.95,335.85,2216149.25,743396709.95,37217
2017-01-20,335.85,333.02,334.31,324.66,326.15,1897669.14,621250570.75,24219
2017-01-23,326.15,326.45,333.16,325.5,332.32,1577803.46,519149761.2,21869
2017-01-24,332.32,332.32,337.39,330.63,337.0,795313.09,267248824.8,24701
2017-01-25,337.0,340.38,342.97,335.75,339.53,1579005.15,534519015.15,37317
2017-01-27,339.53,343.76,343.76,337.69,340.23,1344258.54,457015653.6,19658
2017-01-30,340.23,339.78,339.78,333.07,335.01,1138046.05,381263817.05,16439
2017-01-31,335.01,334.81,337.74,327.94,331.37,1391290.25,462392881.0,24517
2017-02-01,331.37,333.76,344.06,329.98,343.12,1462229.17,495792274.7,27329
2017-02-02,343.12,342.87,343.47,333.51,338.19,1989502.0,671476096.8,60892
