Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2018-02-07,10.3,10.0,10.8,9.9,10.05,22879,231561.3,37
2018-02-08,10.05,10.5,10.55,9.7,10.4,6325,65507.15,38
2018-02-09,10.4,10.8,10.9,10.5,10.9,14343,155786.2,29
2018-02-12,10.9,10.5,11.4,10.45,11.4,6595,73837.05,33
2018-02-14,11.4,11.15,11.95,11.15,11.85,7424,87692.45,55
2018-02-15,11.85,11.9,12.2,11.3,11.7,28053,334146.6,62
2018-02-16,11.7,11.45,12.2,11.45,11.6,4691,55882.7,28
2018-02-19,11.6,11.35,11.7,11.05,11.7,8722,97103.9,37
2018-02-20,11.7,11.7,11.7,11.15,11.15,11136,124667.0,30
2018-02-21,11.15,11.0,11.2,10.75,10.85,2415,26328.7,13
2018-02-22,10.85,11.25,11.25,10.5,10.8,5168,54903.9,32
2018-02-23,10.8,11.3,11.3,10.3,10.5,4085,43560.35,26
2018-02-26,10.5,10.4,10.9,10.15,10.4,8756,91706.7,21
2018-02-27,10.4,10.4,10.5,10.05,10.05,5746,57897.9,26
2018-02-28,10.05,10.5,10.5,9.8,10.25,1877,19192.65,17
2018-03-01,10.25,10.4,10.65,10.1,10.2,3998,41086.0,19
2018-03-05,10.2,10.2,10.7,10.2,10.4,10542,110852.95,39
2018-03-06,10.4,10.8,10.8,10.0,10.1,2111,21361.7,18
2018-03-07,10.1,9.75,10.0,9.6,9.85,7797,76365.5,38
2018-03-08,9.85,9.5,9.95,9.4,9.4,1262,11939.45,26
2018-03-09,9.4,9.25,9.85,9.0,9.85,7946,77662.25,30
2018-03-12,9.85,9.5,10.0,9.5,9.6,1602,15577.95,16
2018-03-13,9.6,9.8,9.8,9.35,9.8,4820,46741.05,14
2018-03-14,9.8,9.45,10.0,9.45,9.5,443,4258.2,8
2018-03-15,9.5,9.35,9.95,9.25,9.65,3084,29921.3,24
2018-03-16,9.65,9.65,9.75,9.3,9.4,4190,39398.5,35
2018-09-18,5.65,5.8,5.8,5.8,5.8,58,336.4,1
2018-09-19,5.8,6.05,6.05,6.0,6.0,1798,10877.85,7
2018-09-21,6.0,6.0,6.0,5.7,5.7,380,2187.0,3
2018-09-24,5.7,5.45,5.7,5.45,5.65,400,2191.65,4
2018-09-25,5.65,5.65,5.9,5.6,5.6,1365,7969.95,5
2018-09-26,5.6,5.5,5.75,5.4,5.4,1028,5651.55,4
2018-09-27,5.4,5.3,5.3,5.15,5.15,1082,5671.0,10
2018-09-28,5.15,4.9,5.4,4.9,5.4,625,3195.5,7
2018-10-01,5.4,5.4,5.4,5.4,5.4,20,108.0,1
2018-10-04,5.4,5.15,5.15,5.15,5.15,109,561.35,2
2018-10-05,5.15,4.9,5.4,4.9,5.4,503,2702.7,5
2019-04-02,5.4,5.65,5.65,5.15,5.6,6190,34528.5,15
2019-04-04,5.6,5.6,5.6,5.6,5.6,304,1702.4,4
2019-04-05,5.6,5.25,5.85,5.2,5.7,3148,16568.15,11
2019-04-08,5.7,5.2,5.85,5.2,5.25,2161,11392.2,10
2019-04-09,5.25,5.25,5.7,4.95,4.95,3209,17299.1,9
2019-04-10,4.95,4.9,5.4,4.9,5.4,3086,15822.75,13
2019-04-11,5.4,5.0,5.85,5.0,5.7,4639,25793.85,17
2019-04-12,5.7,5.35,6.1,5.35,5.65,2679,15294.1,11
2019-04-15,5.65,6.2,6.2,5.5,5.6,1746,9875.5,12
2019-04-16,5.6,5.3,5.6,5.1,5.1,1872,9967.6,12
2019-04-18,5.1,5.05,5.6,5.05,5.5,2735,14579.55,17
2019-04-22,5.5,5.0,5.5,5.0,5.0,7563,38224.0,22
2019-04-23,5.0,4.8,5.45,4.8,4.95,1605,8204.1,12
2019-04-24,4.95,5.4,5.4,4.8,4.85,4419,22295.45,35
2019-04-25,4.85,4.8,5.3,4.8,4.9,2943,14791.75,13
2019-04-26,4.9,4.85,4.9,4.75,4.75,2227,10703.55,17
2019-04-30,4.75,5.0,5.0,4.35,4.85,6080,27657.2,12
2019-05-02,4.85,4.8,4.8,4.6,4.8,16563,79258.9,19
2019-05-03,4.8,4.5,4.8,4.5,4.8,681,3237.9,7
2019-05-06,4.8,4.55,4.8,4.4,4.5,6160,28143.25,36
2019-05-07,4.5,4.5,4.75,4.4,4.4,1223,5767.7,11
2019-05-08,4.4,4.3,4.8,4.3,4.8,3874,18362.2,14
2019-05-09,4.8,4.9,5.1,4.45,4.95,4572,20604.05,29
2019-05-10,4.95,4.55,4.85,4.5,4.5,3306,14949.05,16
2019-05-13,4.5,4.5,4.85,4.4,4.4,1697,7620.4,8
2019-05-14,4.4,4.25,4.25,4.0,4.0,17857,74102.15,28
2019-05-15,4.0,4.0,4.0,3.6,4.0,8739,32631.7,28
2019-05-16,4.0,3.9,4.0,3.65,3.9,4351,16614.45,23
2019-05-17,3.9,3.8,3.9,3.75,3.85,5133,19554.65,28
2019-05-20,3.85,3.7,4.0,3.7,4.0,12467,48600.05,20
2019-05-21,4.0,3.85,4.0,3.85,3.9,3660,14285.8,11
2019-05-22,3.9,3.9,3.9,3.8,3.85,1212,4624.0,6
2019-05-23,3.85,3.85,4.0,3.85,4.0,467,1816.5,8
2019-05-24,4.0,3.85,3.9,3.8,3.8,5082,19597.45,16
2019-05-27,3.8,3.8,3.85,3.65,3.75,27227,102088.75,46
2019-05-28,3.75,3.85,3.85,3.6,3.6,24106,87668.95,25
2019-05-29,3.6,3.55,3.75,3.55,3.75,2318,8479.9,12
2019-05-30,3.75,3.75,3.85,3.65,3.85,6732,25717.3,13
2019-05-31,3.85,3.75,3.75,3.75,3.75,3579,13421.25,11
2019-06-03,3.75,3.6,3.9,3.6,3.9,241,934.55,6
2019-06-04,3.9,3.75,3.75,3.75,3.75,25,93.75,1
2019-06-06,3.75,3.65,3.75,3.65,3.75,65,243.05,4
2019-06-07,3.75,3.75,3.85,3.6,3.85,2676,9673.4,13
2019-06-10,3.85,3.85,4.15,3.5,3.5,4345,15428.1,13
2019-06-11,3.5,3.25,3.85,3.2,3.3,6472,21704.75,15
2019-06-12,3.3,3.15,3.6,3.15,3.6,194,620.5,3
2019-06-13,3.6,3.25,3.75,3.25,3.55,1934,6542.25,19
2019-06-14,3.55,3.2,3.8,3.2,3.8,2688,8673.75,16
2019-06-17,3.8,3.8,3.95,3.45,3.85,1701,6368.45,14
2019-06-18,3.85,3.5,4.1,3.5,3.8,1641,5914.6,31
2019-06-19,3.8,3.45,3.45,3.45,3.45,725,2501.25,7
2019-06-20,3.45,3.15,3.75,3.15,3.45,1511,4962.9,15
2019-06-21,3.45,3.2,3.55,3.2,3.25,1171,3780.05,7
2019-06-24,3.25,3.1,3.5,3.05,3.45,2600,8143.35,12
2019-06-25,3.45,3.65,3.65,3.15,3.5,8029,27892.7,26
2019-06-26,3.5,3.25,3.65,3.25,3.35,994,3327.8,5
2019-06-27,3.35,3.6,3.6,3.3,3.5,437,1506.6,9
