Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2022-10-20,80.0,84.5,100.0,83.0,93.25,21724391,2000376143.45,115479
2022-10-21,93.25,95.7,102.4,90.5,91.35,7416091,719075605.35,51809
2022-10-24,91.35,92.1,93.25,86.1,87.05,857745,75931837.0,8499
2022-10-25,87.05,86.95,87.05,82.0,82.45,1660101,138569009.25,14247
2022-10-27,82.45,82.1,84.1,79.4,80.95,1499134,122838577.9,11825
2022-10-28,80.95,80.0,81.6,75.65,76.1,936811,73088834.25,10389
2022-10-31,76.1,76.1,78.25,71.0,71.9,939613,69725509.3,10183
2022-11-01,71.9,72.85,72.85,68.35,68.65,933552,65080090.5,9491
2022-11-02,68.65,67.5,82.35,67.3,81.4,5847078,457210432.75,38502
2022-11-03,81.4,79.25,80.3,75.3,77.0,1564464,122017142.55,14558
2022-11-04,77.0,77.3,79.8,72.7,74.75,1294522,99716632.2,13008
2022-11-07,74.75,76.7,79.65,75.05,77.85,968438,74988747.0,10093
2022-11-09,77.85,78.8,80.8,76.55,77.8,705716,55437225.6,6975
2022-11-10,77.8,80.9,81.4,77.4,77.85,741788,58788824.0,7918
2022-11-11,77.85,79.95,79.95,75.6,75.95,433299,33225794.0,7084
2022-11-14,75.95,75.95,78.5,74.0,74.85,555316,42033832.75,5650
2022-11-15,74.85,76.35,77.5,73.25,73.75,445000,33496702.95,5942
2022-11-16,73.75,73.95,75.45,72.1,72.5,270224,19880614.6,4396
2022-11-17,72.5,72.2,73.5,71.3,71.8,289445,20947132.2,4384
2022-11-18,71.8,72.0,74.2,71.0,71.8,364356,26293170.55,5891
2022-11-21,71.8,71.5,71.75,70.45,71.0,174553,12413857.3,2659
2022-11-22,71.0,71.45,71.5,68.0,68.9,210395,14706278.15,3720
2022-11-23,68.9,70.0,71.7,68.5,69.75,244025,17132027.35,3524
2022-11-24,69.75,70.1,70.65,69.05,69.45,245708,17159654.05,3833
2022-11-25,69.45,69.45,71.9,69.05,71.25,252162,17829373.65,4644
2022-11-28,71.25,71.25,74.2,70.65,72.55,459858,33565853.3,8419
2022-11-29,72.55,72.55,72.8,70.2,70.7,177681,12669611.2,3839
2022-11-30,70.7,71.9,72.65,70.5,71.25,304530,21800224.6,4940
2022-12-01,71.25,71.9,72.0,70.7,71.3,151802,10813266.1,2971
2022-12-02,71.3,71.75,71.75,70.5,71.0,170237,12093071.75,2593
2022-12-05,71.0,71.0,78.85,70.9,77.5,1368713,103779390.55,12356
2022-12-06,77.5,77.1,85.5,76.0,83.8,3100450,254320387.15,28036
2022-12-07,83.8,84.95,87.95,81.75,82.75,2731893,231357978.9,24475
2022-12-08,82.75,83.3,85.5,82.1,83.25,1682479,140838788.85,12734
2022-12-09,83.25,83.55,93.4,82.0,87.75,4790469,422285514.35,33780
2022-12-12,87.75,87.7,101.75,86.1,94.75,6729272,648386957.7,50489
2022-12-13,94.75,95.35,97.55,90.7,92.2,1780820,167848278.15,16332
2022-12-14,92.2,92.7,96.35,90.2,92.9,1303817,122090724.55,13518
2022-12-15,92.9,93.15,96.5,90.25,90.9,1672172,156789394.9,13788
2022-12-16,90.9,90.05,93.1,87.3,89.2,893336,80906445.35,9390
2022-12-19,89.2,89.5,93.0,87.1,88.2,872715,78862944.6,13142
2022-12-20,88.2,88.4,92.4,87.75,89.95,741786,66869007.45,7969
2022-12-21,89.95,90.0,91.5,78.55,82.8,1096266,93103908.6,10053
2022-12-22,82.8,83.4,87.2,79.4,84.4,1008614,84551794.55,10158
2022-12-23,84.4,82.05,86.8,76.0,78.5,941112,77943611.7,12803
2022-12-26,78.5,78.5,83.0,71.4,80.9,706577,57132967.1,6597
2022-12-27,80.9,81.55,82.7,80.0,80.7,418368,34002444.9,4285
2022-12-28,80.7,81.0,81.5,79.3,79.85,392249,31558357.35,4248
2022-12-29,79.85,80.45,81.9,79.55,80.35,343469,27659574.7,5099
2022-12-30,80.35,81.2,81.4,79.75,80.05,318629,25679989.6,4426
2023-01-02,80.05,80.6,89.8,79.6,88.35,2770811,241172644.3,22295
2023-01-03,88.35,88.2,92.15,86.65,87.15,2497693,222328558.75,17623
2023-01-04,87.15,87.45,92.85,86.15,88.05,1551230,139044803.85,14593
2023-01-05,88.05,88.5,90.3,85.4,86.35,914665,80038974.1,7351
2023-01-06,86.35,86.85,87.95,84.05,84.5,786279,67292029.6,7515
2023-01-09,84.5,85.25,89.2,84.55,88.3,569205,49436907.6,5562
2023-01-10,88.3,88.65,97.75,88.65,91.25,4378212,410512270.75,34265
2023-01-11,91.25,92.0,96.95,91.0,92.3,1975207,185716406.05,14949
2023-01-12,92.3,93.45,97.0,91.1,95.85,2506753,237738708.2,18071
2023-01-13,95.85,96.6,100.4,93.4,98.75,4204699,409925401.9,25837
2023-01-16,98.75,100.45,103.4,94.2,95.0,5752240,565626278.75,33824
2023-01-17,95.0,96.45,102.9,95.45,100.1,6432746,640963650.15,29764
2023-01-18,100.1,100.15,102.9,94.4,95.75,3524812,347921061.7,17327
2023-01-19,95.75,95.3,98.5,94.25,95.3,3054831,294228765.55,15394
2023-01-20,95.3,95.65,97.7,93.15,94.35,2173438,208126787.8,11210
2023-01-23,94.35,95.0,96.45,91.6,93.15,1976004,185588267.95,12908
2023-01-24,93.15,93.45,97.95,93.15,97.1,2959137,282868438.9,13295
2023-01-25,97.1,97.0,99.2,91.5,92.35,2688711,256638218.55,14029
2023-01-27,92.35,92.95,96.8,90.0,94.65,2529788,235279214.1,13301
2023-01-30,94.65,95.5,96.7,90.9,91.4,3222984,300572978.55,14889
2023-01-31,91.4,91.9,96.5,90.15,93.35,4021939,377775707.35,17059
2023-02-01,93.35,95.0,96.75,90.15,91.45,2519977,238492639.45,12468
2023-02-02,91.45,91.45,94.05,90.3,90.95,1308178,121111024.0,6251
2023-02-03,90.95,91.6,95.25,88.0,91.0,4974245,458894670.2,24177
2023-02-06,91.0,92.0,95.25,91.65,94.4,3602629,336991305.7,13734
2023-02-07,94.4,94.95,96.65,91.1,91.85,4502819,420921989.6,17715
2023-02-08,91.85,92.45,94.25,88.65,90.4,4250440,389934887.95,12851
2023-02-09,90.4,91.25,91.8,85.05,86.35,1511060,133438229.4,12768
2023-02-10,86.35,86.4,87.4,81.2,83.15,1814756,154118762.95,14199
2023-02-13,83.15,83.7,83.95,78.2,79.55,2873627,234179058.2,13547
2023-02-14,79.55,79.55,80.7,76.5,77.05,720079,56283537.3,7944
2023-02-15,77.05,77.0,77.6,74.4,75.0,662230,50196909.85,5658
2023-02-16,75.0,75.5,79.8,73.4,77.1,1282734,97203922.75,9717
2023-02-17,77.1,76.8,79.8,75.2,78.5,2556196,198308994.5,16311
2023-02-20,78.5,78.5,79.9,78.0,78.45,735171,58059717.55,4511
2023-02-21,78.45,78.5,78.6,76.1,76.6,407274,31597023.25,3367
2023-02-22,76.6,75.65,77.25,75.35,76.45,466727,35581590.7,3310
2023-02-23,76.45,76.5,77.0,75.55,75.9,297849,22709215.0,2177
2023-02-24,75.9,76.25,76.8,74.9,75.45,264697,20096753.7,2232
2023-02-27,75.45,75.15,75.6,72.7,73.1,285321,21175053.95,2833
2023-02-28,73.1,73.45,75.65,72.4,74.65,675676,50138723.75,5059
2023-03-01,74.65,75.0,80.75,73.9,78.65,3803865,296997500.45,18496
2023-03-02,78.65,78.4,80.5,74.5,74.85,2562848,199533453.2,14268
2023-03-03,74.85,75.4,76.95,74.55,76.0,637622,48306601.5,4979
2023-03-06,76.0,76.5,78.2,75.1,75.7,551853,42463460.95,3428
2023-03-08,75.7,75.5,78.5,74.75,75.75,1596176,122367484.25,9410
2023-03-09,75.75,76.2,76.9,74.5,74.85,623770,47133543.3,4668
2023-03-10,74.85,74.5,76.5,74.1,74.65,661082,49811732.85,4570
2023-03-13,74.65,74.8,75.15,71.0,72.15,481325,35417095.55,3562
2023-03-14,72.15,71.6,72.95,67.45,69.35,1599531,112282080.25,12227
2023-03-15,69.35,70.15,72.85,69.25,71.15,1913775,136744544.65,13633
2023-03-16,71.15,70.6,72.4,67.25,67.8,1452482,101504322.75,16786
2023-03-17,67.8,68.65,70.6,66.7,68.55,1301623,89882324.8,7215
2023-03-20,68.55,68.4,70.5,67.5,69.6,902639,62641011.95,6824
2023-03-21,69.6,69.95,70.7,69.0,70.15,450206,31446316.2,4260
2023-03-22,70.15,70.55,71.85,70.2,71.0,447923,31866590.95,3641
2023-03-23,71.0,71.0,71.7,70.05,70.4,275556,19564531.9,2549
2023-03-24,70.4,70.75,71.3,65.4,67.45,377127,26190587.05,3226
2023-03-27,67.45,67.2,68.15,64.2,65.4,559623,36955143.4,5918
2023-03-28,65.4,65.0,66.3,60.1,61.4,1107914,70229251.0,8154
2023-03-29,61.4,61.4,67.55,60.55,65.75,2669436,173505106.5,16155
2023-03-31,65.75,66.3,67.45,64.8,65.1,379803,25152279.65,3352
2023-04-03,65.1,65.85,68.5,65.2,67.65,1176298,78881264.4,8049
2023-04-05,67.65,67.5,70.9,67.5,70.5,768392,53483821.55,5259
2023-04-06,70.5,70.7,72.5,69.9,70.8,946668,67372851.25,7061
2023-04-10,70.8,71.0,72.45,69.05,70.45,637131,45561275.25,3502
2023-04-11,70.45,70.45,71.5,69.25,70.1,441047,31139050.0,4074
2023-04-12,70.1,70.3,71.25,69.85,70.05,329077,23185609.95,2910
2023-04-13,70.05,70.2,71.1,69.05,70.15,378177,26482085.5,4217
2023-04-17,70.15,70.0,72.9,69.05,69.85,847809,60329202.0,8046
2023-04-18,69.85,69.9,70.35,68.5,68.95,256540,17806264.75,2994
2023-04-19,68.95,69.0,69.85,67.7,68.05,260093,17825133.1,1935
2023-04-20,68.05,68.15,70.4,67.5,68.35,470834,32613661.6,7611
2023-04-21,68.35,68.5,69.2,67.3,68.4,385465,26338193.9,3110
2023-04-24,68.4,68.55,69.1,67.0,67.45,259105,17649968.25,3573
2023-04-25,67.45,67.7,68.15,66.05,66.5,429841,28823026.8,4073
2023-04-26,66.5,66.4,67.5,66.1,67.0,198066,13223680.0,2092
2023-04-27,67.0,67.25,68.25,66.5,67.4,468754,31601224.3,4350
2023-04-28,67.4,67.65,69.2,67.6,68.35,197384,13500183.9,2130
2023-05-02,68.35,68.75,69.7,68.4,68.65,187951,12963118.05,1868
2023-05-03,68.65,68.8,69.1,67.6,67.95,132180,9027092.7,1300
2023-05-04,67.95,68.45,69.4,68.1,69.0,258347,17807404.85,1817
2023-05-05,69.0,69.35,69.55,68.1,68.4,102786,7074084.85,1171
