Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,189.5,195.95,196.8,189.6,193.9,647119,125602540.25,7318
2017-01-03,193.9,193.9,194.4,188.0,189.5,311926,59739678.2,5293
2017-01-04,189.5,190.85,193.85,188.5,190.0,274238,52435516.5,3959
2017-01-05,190.0,199.5,199.5,195.75,199.5,542951,108250901.7,2684
2017-01-06,199.5,203.0,206.6,197.15,201.1,708906,143978124.45,9306
2017-01-09,201.1,202.8,206.4,199.4,201.4,291531,59116746.4,3936
2017-01-10,201.4,201.2,205.95,200.5,201.35,183363,37223263.65,3383
2017-01-11,201.35,203.7,203.95,197.25,198.35,133506,26775209.15,2321
2017-01-12,198.35,200.75,200.75,194.0,194.9,160652,31547973.65,2827
2017-01-13,194.9,195.9,198.9,192.25,194.3,173918,34013958.4,3548
2017-01-16,194.3,194.0,197.5,190.9,191.75,93357,18127838.85,1831
2017-01-17,191.75,192.95,201.3,192.0,201.3,640077,128010080.35,5687
2017-01-18,201.3,202.7,204.8,196.0,197.25,317743,63692750.75,4611
2017-01-19,197.25,198.4,201.95,195.1,196.5,173448,34518974.8,2490
2017-01-20,196.5,197.0,200.55,190.0,191.85,142451,27856152.8,3196
2017-01-23,191.85,194.0,196.5,192.3,193.7,66904,12992369.3,1396
2017-01-24,193.7,195.9,203.35,193.0,199.7,435836,87302294.4,5182
2017-01-25,199.7,204.4,209.65,202.6,205.4,555205,114633160.4,6171
2017-01-27,205.4,206.75,209.85,204.0,204.9,361238,74819973.25,4356
2017-01-30,204.9,205.0,205.0,197.95,198.9,122559,24657478.65,2429
2017-01-31,198.9,199.1,200.4,193.2,196.25,132812,26050318.0,2251
2017-02-01,196.25,199.6,206.05,198.0,206.05,872196,178225680.7,9648
2017-02-02,206.05,208.7,211.7,202.45,203.45,373564,77461420.6,5399
2017-02-03,203.45,204.95,204.95,199.6,201.05,146639,29590353.1,3232
2017-02-06,201.05,200.8,205.05,200.8,201.7,143979,29173823.95,2026
2017-02-07,201.7,205.5,208.8,198.1,200.2,183309,37151069.35,3198
2017-02-08,200.2,201.6,206.5,199.0,201.3,167472,33886636.85,2853
2017-02-09,201.3,202.8,205.0,198.95,201.25,133518,26911012.5,2276
2017-02-10,201.25,200.5,208.95,198.95,201.6,348609,71016203.05,5276
2017-02-13,201.6,199.8,199.8,182.1,187.7,543260,102302068.15,9160
2017-02-14,187.7,188.65,195.4,187.6,188.75,350238,66993608.8,5808
2017-02-15,188.75,189.8,190.5,181.0,182.3,149963,27715853.0,3024
2017-02-16,182.3,183.0,183.85,175.3,178.45,154109,27518435.6,2832
2017-02-17,178.45,180.3,182.55,179.05,179.6,150623,27186764.5,2762
2017-02-20,179.6,179.9,182.55,177.0,179.75,128611,23102173.5,3341
2017-02-21,179.75,180.75,180.75,177.25,178.15,84129,15036893.55,1495
2017-02-22,178.15,179.0,179.0,174.25,174.55,104691,18442092.7,2173
2017-02-23,174.55,175.4,179.9,172.1,174.25,170030,29837603.3,3176
2017-02-27,174.25,175.0,177.8,173.25,174.2,71849,12571403.0,1331
2017-02-28,174.2,174.2,175.5,171.95,172.75,55626,9663369.35,1008
2017-03-01,172.75,174.0,183.4,173.0,179.3,352024,63276817.35,6387
2017-03-02,179.3,180.85,183.0,177.3,178.15,128437,23128609.1,2226
2017-03-03,178.15,178.0,179.75,175.0,175.95,70971,12539738.05,1607
2017-03-06,175.95,176.0,179.0,175.0,175.75,69891,12334198.9,1950
2017-03-07,175.75,176.35,176.95,172.7,173.5,63548,11067642.1,1125
2017-03-08,173.5,174.8,175.35,171.0,172.25,74861,12936316.2,1312
2017-03-09,172.25,171.7,173.9,168.3,169.15,55776,9521460.6,957
2017-03-10,169.15,171.35,173.0,165.85,167.05,73510,12443752.6,1240
2017-03-14,167.05,170.0,171.9,167.0,167.7,48679,8202560.9,978
2017-03-15,167.7,168.7,171.5,166.1,167.05,82006,13806718.05,1518
2017-03-16,167.05,168.0,182.0,167.05,179.25,578455,102459657.45,9389
2017-03-17,179.25,180.05,180.9,175.0,175.65,146703,26013574.65,2290
2017-03-20,175.65,175.0,177.5,171.95,172.65,66148,11511541.95,1477
2017-03-21,172.65,173.65,174.2,169.0,169.65,56870,9702794.05,972
2017-03-22,169.65,169.2,173.8,164.4,165.95,162157,27459020.0,2382
2017-03-23,165.95,166.5,170.65,166.5,167.25,104082,17502117.7,1693
2017-03-24,167.25,168.2,173.45,168.0,169.85,118129,20169606.15,2033
2017-03-27,169.85,170.4,171.5,166.7,167.5,55085,9285541.65,923
2017-03-28,167.5,167.8,170.4,165.1,167.3,44035,7390870.85,794
2017-03-29,167.3,167.8,180.5,166.5,172.5,404317,70902001.3,6635
2017-03-30,172.5,173.25,176.95,172.0,172.8,95862,16692037.2,1741
2017-03-31,172.8,173.4,175.9,170.25,171.75,81828,14174372.7,1720
2017-04-03,171.75,172.35,176.5,171.45,173.75,118522,20623765.45,1772
2017-04-05,173.75,174.35,178.0,173.0,175.05,180713,31735196.85,2786
2017-04-06,175.05,175.55,180.6,173.0,176.15,153206,27135191.25,2411
2017-04-07,176.15,175.5,185.0,175.0,176.55,509231,92026959.1,6381
2017-04-10,176.55,182.05,186.4,180.1,181.85,336577,61368898.2,6066
2017-04-11,181.85,182.5,187.0,179.65,183.2,292795,53883479.7,5098
2017-04-12,183.2,182.2,199.0,178.25,194.05,1189588,227745227.95,16938
2017-04-13,194.05,190.9,208.7,188.3,206.75,1776864,359226014.45,22819
2017-04-17,206.75,213.65,215.8,207.0,208.45,1380781,291717264.9,19679
2017-04-18,208.45,208.9,209.45,199.25,199.9,242875,49577131.45,3818
2017-04-19,199.9,200.9,201.8,193.0,194.85,171954,33606859.85,3155
2017-04-20,194.85,196.0,204.6,195.0,201.4,295572,59503255.25,5745
2017-04-21,201.4,202.75,204.95,196.4,197.0,169481,33996806.7,2994
2017-04-24,197.0,198.75,203.0,195.7,196.85,153238,30479279.0,2750
2017-04-25,196.85,198.7,202.4,195.6,196.25,110310,21863209.6,1694
2017-04-26,196.25,197.8,199.0,191.1,191.9,126474,24596079.1,2389
2017-04-27,191.9,192.7,193.9,189.8,190.3,79888,15294758.05,2413
2017-04-28,190.3,191.0,193.6,188.35,189.05,141241,26954819.25,2363
2017-05-02,189.05,187.65,192.9,187.2,188.8,91400,17359756.0,1834
2017-05-03,188.8,190.15,191.6,186.5,187.5,74362,14027098.8,1604
2017-05-04,187.5,188.05,190.75,186.05,187.1,78752,14854871.3,1633
2017-05-05,187.1,186.45,188.4,181.25,182.3,81390,14974428.5,1412
2017-05-08,182.3,182.95,187.0,182.3,183.65,86574,15984261.6,1637
2017-05-09,183.65,183.65,187.75,183.65,184.9,85832,15943765.65,1542
2017-05-10,184.9,185.9,195.0,185.1,192.7,312360,59922652.55,5232
2017-05-11,192.7,194.75,196.0,191.65,192.7,154495,29932270.9,2796
2017-05-12,192.7,194.65,196.05,187.1,189.0,180641,34841760.4,3118
2017-05-15,189.0,202.8,207.9,197.15,200.75,1007000,203637647.95,15521
2017-05-16,200.75,201.4,203.15,197.0,198.45,180683,36129140.35,3198
2017-05-17,198.45,196.1,203.55,194.2,195.45,166830,33149996.2,2684
2017-05-18,195.45,192.0,194.7,187.1,188.15,92175,17578269.7,1780
2017-05-19,188.15,189.2,191.8,184.3,185.95,70668,13255022.75,1442
2017-05-22,185.95,186.5,191.9,184.0,185.1,140747,26469516.15,2877
2017-05-23,185.1,185.4,189.0,175.05,176.25,113201,20203377.75,2169
2017-05-24,176.25,174.0,179.4,170.0,170.75,91239,15901751.3,1725
2017-05-25,170.75,171.95,177.3,168.25,172.4,200478,34706905.95,3225
2017-05-26,172.4,172.6,180.0,172.6,178.55,129549,22962377.3,3646
2017-05-29,178.55,178.75,180.45,173.0,175.7,53523,9415719.25,1240
2017-05-30,175.7,174.0,177.0,171.5,174.55,51300,8965431.1,1202
2017-05-31,174.55,174.75,180.9,172.0,177.65,99128,17619572.55,1992
2017-06-01,177.65,176.0,179.9,175.5,176.4,55660,9865079.6,1310
2017-06-02,176.4,176.75,183.0,176.25,177.05,114130,20479838.0,1993
2017-06-05,177.05,176.8,182.0,176.6,177.85,52237,9326019.15,1092
2017-06-06,177.85,177.75,178.85,174.5,174.95,34833,6131509.0,770
2017-06-07,174.95,175.2,178.9,174.45,177.45,36778,6505633.55,1069
2017-06-08,177.45,178.1,179.95,175.25,177.75,42663,7598015.2,1075
2017-06-09,177.75,178.75,178.85,175.25,175.6,30904,5444163.7,611
