Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2019-12-10,1.05,1.05,1.05,1.0,1.0,4101,4156.05,9
2019-12-11,1.0,0.95,1.0,0.95,0.95,3232,3072.0,7
2019-12-12,0.95,0.95,0.95,0.95,0.95,755,717.25,3
2019-12-13,0.95,0.9,1.0,0.9,0.9,1110,999.3,7
2019-12-16,0.9,0.9,0.95,0.85,0.95,3726,3348.35,6
2019-12-17,0.95,0.95,1.0,0.9,0.95,3701,3527.3,9
2019-12-18,0.95,0.9,0.95,0.9,0.95,20167,18150.85,10
2019-12-19,0.95,0.95,0.95,0.9,0.9,13116,11875.2,14
2019-12-20,0.9,0.9,0.95,0.9,0.95,3351,3028.45,14
2019-12-23,0.95,0.9,0.95,0.9,0.9,14034,12630.7,13
2019-12-24,0.9,0.95,0.95,0.85,0.9,19146,17537.0,22
2019-12-26,0.9,0.9,0.95,0.9,0.95,47000,44320.0,15
2019-12-27,0.95,0.95,0.95,0.95,0.95,9313,8847.35,9
2019-12-30,0.95,1.0,1.0,0.95,1.0,13108,12924.35,32
2019-12-31,1.0,1.0,1.05,1.0,1.05,14857,15595.75,10
2020-01-01,1.05,1.0,1.1,1.0,1.0,586,632.2,6
2020-01-02,1.0,0.95,1.05,0.95,1.0,7566,7552.3,17
2020-01-03,1.0,1.0,1.05,1.0,1.05,10103,10542.05,15
2020-01-06,1.05,1.1,1.1,1.0,1.05,30265,31381.8,28
2020-01-07,1.05,1.0,1.0,1.0,1.0,6000,6000.0,5
2020-01-08,1.0,1.05,1.05,0.95,0.95,9353,9079.5,15
2020-01-09,0.95,0.95,1.0,0.95,1.0,14075,13471.4,11
2020-01-10,1.0,1.05,1.05,0.95,1.0,20196,19937.35,25
2020-05-27,0.85,0.85,0.9,0.8,0.8,7326,5911.3,13
2020-05-28,0.8,0.8,0.8,0.75,0.75,13067,10077.9,18
2020-05-29,0.75,0.8,0.8,0.8,0.8,4539,3631.2,10
2020-06-01,0.8,0.85,0.85,0.8,0.85,31979,26884.0,45
2020-06-02,0.85,0.85,0.9,0.85,0.9,3494,3135.9,26
2020-06-03,0.9,0.9,0.95,0.9,0.95,2513,2386.75,5
2020-06-04,0.95,1.0,1.0,1.0,1.0,12946,12946.0,10
2020-06-05,1.0,1.1,1.1,1.0,1.1,9164,9758.4,21
2020-06-08,1.1,1.2,1.2,1.2,1.2,1136,1363.2,5
2020-06-09,1.2,1.3,1.3,1.3,1.3,2181,2835.3,8
2020-06-10,1.3,1.35,1.35,1.35,1.35,53708,72505.8,48
2020-06-11,1.35,1.4,1.4,1.4,1.4,25877,36227.8,44
2020-09-16,1.15,1.1,1.2,1.1,1.2,2500,2875.0,2
2020-09-17,1.2,1.15,1.25,1.15,1.15,3926,4577.5,9
2020-09-18,1.15,1.1,1.2,1.1,1.1,4586,5054.6,13
2020-09-21,1.1,1.15,1.15,1.15,1.15,462,531.3,7
2020-09-22,1.15,1.2,1.2,1.2,1.2,1424,1708.8,9
2020-09-23,1.2,1.25,1.25,1.15,1.15,19985,24928.1,59
2020-09-24,1.15,1.1,1.1,1.1,1.1,304,334.4,4
2020-09-25,1.1,1.1,1.1,1.1,1.1,3066,3372.6,3
2020-09-28,1.1,1.1,1.15,1.05,1.15,20677,22057.75,17
2020-09-29,1.15,1.1,1.2,1.1,1.1,2943,3408.2,9
2020-09-30,1.1,1.05,1.15,1.05,1.05,640,696.0,5
2020-10-01,1.05,1.05,1.1,1.05,1.1,3204,3399.2,6
2020-10-05,1.1,1.15,1.15,1.1,1.1,9032,10295.15,32
2020-10-06,1.1,1.15,1.15,1.05,1.1,5766,6364.3,14
2020-10-07,1.1,1.15,1.15,1.05,1.15,9131,9596.65,7
2020-10-08,1.15,1.15,1.15,1.15,1.15,6541,7522.15,17
2020-10-09,1.15,1.15,1.15,1.1,1.1,3772,4337.4,13
