Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,4.85,4.2,5.2,4.1,5.0,8742,41784.95,27
2017-01-03,5.0,4.55,5.0,4.55,4.8,1002,4890.35,11
2017-01-04,4.8,5.4,5.45,4.75,4.95,4215,20373.4,15
2017-01-05,4.95,4.5,5.1,4.5,4.9,2487,11685.75,9
2017-01-06,4.9,4.85,4.9,4.8,4.9,1113,5368.3,5
2019-12-26,1.1,1.1,1.15,1.05,1.1,2525,2732.45,14
2019-12-27,1.1,1.1,1.1,1.1,1.1,160,176.0,2
2019-12-30,1.1,1.1,1.15,1.1,1.15,959,1100.35,4
2020-01-06,1.15,1.15,1.15,1.15,1.15,7,8.05,3
2020-05-27,0.95,1.0,1.0,1.0,1.0,2282,2282.0,14
2020-05-28,1.0,1.0,1.0,0.95,0.95,4380,4232.3,20
2020-05-29,0.95,0.95,0.95,0.95,0.95,330,313.5,3
2020-06-01,0.95,1.0,1.0,1.0,1.0,3268,3268.0,13
2020-06-02,1.0,1.0,1.0,0.95,1.0,2523,2408.25,20
2020-06-03,1.0,1.0,1.0,1.0,1.0,1352,1352.0,4
2020-06-04,1.0,0.95,0.95,0.95,0.95,1041,988.95,3
2020-06-05,0.95,0.95,1.0,0.9,1.0,621,609.6,28
2020-06-08,1.0,1.0,1.0,1.0,1.0,35,35.0,2
2020-06-09,1.0,1.05,1.05,0.95,1.05,75486,78773.15,59
2020-06-10,1.05,1.05,1.1,1.0,1.1,36193,39699.0,40
2020-06-11,1.1,1.15,1.15,1.15,1.15,4975,5721.25,12
2020-06-12,1.15,1.2,1.2,1.2,1.2,50,60.0,1
2020-06-15,1.2,1.25,1.25,1.25,1.25,671,838.75,5
2020-06-16,1.25,1.3,1.3,1.3,1.3,22180,28834.0,40
2020-06-17,1.3,1.35,1.35,1.35,1.35,353,476.55,4
2020-06-18,1.35,1.4,1.4,1.4,1.4,20766,29072.4,33
2020-06-19,1.4,1.45,1.45,1.45,1.45,4650,6742.5,2
2020-06-22,1.45,1.5,1.5,1.5,1.5,515,772.5,4
2020-06-23,1.5,1.55,1.55,1.55,1.55,20965,32495.75,19
2020-06-24,1.55,1.6,1.6,1.6,1.6,3872,6195.2,16
2020-06-25,1.6,1.65,1.65,1.65,1.65,605,998.25,4
2020-06-26,1.65,1.7,1.7,1.7,1.7,27842,47331.4,30
2020-06-29,1.7,1.75,1.75,1.7,1.75,52966,92655.5,69
2020-06-30,1.75,1.8,1.8,1.8,1.8,32948,59306.4,38
2020-07-01,1.8,1.85,1.85,1.8,1.85,41752,77141.2,71
2020-08-18,1.45,1.5,1.5,1.5,1.5,7114,10671.0,9
2020-08-19,1.5,1.55,1.55,1.45,1.55,4762,7163.0,16
2020-08-20,1.55,1.5,1.6,1.5,1.6,8246,12962.4,15
2020-08-21,1.6,1.55,1.65,1.55,1.65,26630,43432.4,44
2020-08-24,1.65,1.7,1.7,1.6,1.65,9031,14909.7,40
2020-08-25,1.65,1.7,1.7,1.7,1.7,2481,4217.7,5
2020-08-26,1.7,1.75,1.75,1.65,1.75,29030,49512.35,60
2020-08-27,1.75,1.8,1.8,1.7,1.8,59312,106006.8,65
2020-08-28,1.8,1.85,1.85,1.75,1.8,50566,90857.05,83
2020-08-31,1.8,1.8,1.85,1.75,1.75,14870,26429.1,25
2020-09-01,1.75,1.75,1.8,1.7,1.7,12725,21818.0,27
2020-09-02,1.7,1.75,1.75,1.65,1.65,1600,2640.7,14
2020-09-03,1.65,1.6,1.6,1.6,1.6,3651,5841.6,15
2020-09-04,1.6,1.55,1.55,1.55,1.55,4140,6417.0,19
2020-09-07,1.55,1.5,1.5,1.5,1.5,4024,6036.0,12
2020-09-08,1.5,1.45,1.5,1.45,1.45,7186,10489.75,21
2020-09-09,1.45,1.45,1.5,1.4,1.4,12358,17369.8,28
2020-09-10,1.4,1.4,1.45,1.35,1.35,7950,11409.45,25
2020-09-11,1.35,1.35,1.4,1.35,1.4,1224,1713.1,8
2020-09-14,1.4,1.4,1.45,1.4,1.45,611,873.75,10
2020-09-15,1.45,1.5,1.5,1.4,1.4,1000,1447.6,5
2020-09-16,1.4,1.35,1.45,1.35,1.45,280,400.0,7
