Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2020-03-02,64.86,77.4,77.4,56.11,60.44,1489.57,93443.35,40
2020-03-03,60.44,60.49,61.47,53.65,56.7,3175.38,181757.4,57
2020-03-04,56.7,54.09,57.98,50.16,54.04,1208.94,63352.75,50
2020-03-05,54.04,49.22,64.81,49.22,58.81,2677.16,155008.05,59
2020-03-06,58.81,65.3,65.3,49.22,57.44,1331.97,73475.0,118
2020-03-09,57.44,46.22,58.91,46.22,50.45,3088.95,160119.65,81
2020-03-11,50.45,44.95,57.34,41.65,49.18,3847.46,195094.3,85
2020-03-12,49.18,40.37,53.5,40.37,50.21,5942.01,289334.5,392
2020-03-13,50.21,40.86,49.57,40.32,45.59,7749.83,339917.6,121
2020-03-16,45.59,44.26,49.08,38.55,42.68,1247.58,54799.0,50
2020-03-17,42.68,41.36,51.14,37.37,48.19,3650.21,168179.7,151
2020-03-18,48.19,48.19,55.81,41.36,44.75,938.48,42963.1,126
2020-03-19,44.75,44.26,49.18,39.34,44.65,4073.19,171491.3,146
2020-03-20,44.65,47.21,52.62,41.8,49.22,5930.83,278733.55,569
2020-03-23,49.22,39.54,59.01,39.54,56.31,2747.32,143703.3,72
2020-03-24,56.31,60.98,61.91,50.7,55.37,7259.75,426843.25,118
2020-03-25,55.37,50.06,60.88,50.06,57.93,2089.47,117458.25,112
2020-03-26,57.93,61.81,61.81,54.09,58.62,658.87,37603.4,43
2020-03-27,58.62,54.29,58.03,54.19,55.42,1950.17,107755.35,52
2020-03-30,55.42,50.36,58.91,50.36,52.86,430.09,22440.85,20
2020-03-31,52.86,51.39,52.91,51.39,51.78,728.01,37593.25,13
2020-04-01,51.78,54.04,56.06,50.16,52.17,13964.34,757467.35,41
2020-04-03,52.17,51.14,51.14,49.27,50.01,265.38,13283.85,9
2020-04-07,50.01,50.01,54.58,45.78,53.11,1083.88,55599.35,43
2020-04-08,53.11,56.7,56.99,56.7,56.99,594.81,33750.3,17
2020-04-09,56.99,53.4,56.99,53.11,56.55,1547.53,82505.75,13
2020-04-13,56.55,57.04,57.04,50.4,52.17,1005.59,54195.3,24
2020-04-15,52.17,56.45,58.52,51.14,56.55,2732.06,154480.2,57
