Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,47.3,47.8,48.4,47.3,48.3,192398,9245922.7,1210
2017-01-03,48.3,48.3,48.45,47.75,48.3,17916,861994.65,261
2017-01-04,48.3,48.45,48.95,48.1,48.5,74105,3597751.9,473
2017-01-05,48.5,48.45,48.9,48.35,48.5,24932,1209398.7,129
2017-01-06,48.5,48.5,48.8,48.5,48.55,42593,2068884.6,132
2017-01-09,48.55,48.4,49.35,48.4,48.65,101433,4952120.0,170
2017-01-10,48.65,49.0,49.15,48.65,48.75,28496,1389869.75,114
2017-01-11,48.75,49.0,49.0,48.6,48.7,110131,5365782.5,145
2017-01-12,48.7,48.0,48.25,47.5,47.65,19180,917685.8,104
2017-01-13,47.65,47.5,48.15,47.3,47.85,13504,646873.7,234
2017-01-16,47.85,47.95,47.95,46.65,46.8,69194,3254317.5,285
2017-01-17,46.8,47.55,47.95,46.5,47.0,23954,1130157.65,95
2017-01-18,47.0,47.45,47.45,46.4,46.75,25840,1211311.15,313
2017-01-19,46.75,46.75,47.5,46.5,47.2,41868,1967832.15,237
2017-01-20,47.2,47.9,48.3,47.0,47.4,54141,2574513.15,283
2017-01-23,47.4,48.3,49.5,47.75,48.25,216552,10569598.35,762
2017-01-24,48.25,48.85,48.95,47.7,48.15,49100,2378160.1,163
2017-01-25,48.15,48.8,48.8,48.0,48.25,34489,1664724.35,190
2017-01-27,48.25,48.0,48.6,47.7,47.8,60075,2886186.15,361
2017-01-30,47.8,47.15,47.15,45.0,46.0,128361,5959143.25,532
2017-01-31,46.0,47.5,47.5,45.5,45.65,36823,1693458.65,201
2017-02-01,45.65,45.85,46.9,45.75,46.65,32577,1510246.85,105
2017-02-02,46.65,46.0,46.6,45.6,46.05,23626,1092518.1,137
2017-02-03,46.05,46.4,46.45,45.55,45.7,37684,1728163.95,165
2017-02-06,45.7,45.5,46.45,45.3,45.6,29941,1369692.7,149
2017-02-07,45.6,46.0,46.25,45.1,45.5,33477,1521676.85,163
2017-02-08,45.5,45.35,45.9,45.15,45.4,19716,893782.7,140
2017-02-09,45.4,45.6,47.25,45.15,46.85,38860,1797795.85,180
2017-02-10,46.85,47.7,47.7,46.1,47.15,40306,1897672.35,140
2017-02-13,47.15,47.35,47.75,47.15,47.55,44067,2091119.75,214
2017-02-14,47.55,47.15,47.35,47.0,47.05,17695,833779.1,99
2017-02-15,47.05,47.15,47.45,46.8,46.95,30713,1443404.4,87
2017-02-16,46.95,46.9,47.7,46.0,46.45,20195,938684.25,166
2017-02-17,46.45,47.05,47.25,46.2,46.9,23651,1104281.0,105
2017-02-20,46.9,46.65,47.65,46.6,47.25,14361,674367.3,89
2017-02-21,47.25,47.65,48.0,46.35,47.25,23072,1090443.0,119
2017-02-22,47.25,46.9,48.25,46.9,47.35,27431,1304596.9,119
2017-02-23,47.35,47.5,47.95,47.0,47.3,22407,1063092.35,142
2017-02-27,47.3,46.6,47.9,46.6,47.5,13951,662640.45,114
2017-02-28,47.5,47.7,49.25,47.55,48.95,75306,3665788.9,310
2017-03-01,48.95,49.6,49.6,47.75,47.95,53629,2612388.75,226
2017-03-02,47.95,48.05,48.35,47.5,47.7,13636,653159.25,90
2017-03-03,47.7,48.75,48.75,47.5,47.8,16024,766530.55,101
2017-03-06,47.8,47.65,48.0,47.5,47.75,34900,1665577.1,107
2017-03-07,47.75,48.6,48.6,47.75,47.75,40761,1953139.9,130
2017-03-08,47.75,48.2,48.25,47.65,47.7,22288,1064741.5,97
2017-03-09,47.7,48.0,48.0,47.55,47.8,48373,2308878.0,133
2017-03-10,47.8,48.0,48.3,47.6,47.8,21035,1005564.25,58
2017-03-14,47.8,48.15,48.2,47.65,48.0,36150,1734191.3,156
2017-03-15,48.0,47.85,48.25,47.8,48.05,22872,1096987.0,75
2017-03-16,48.05,48.5,48.55,47.65,47.85,48471,2322910.45,89
2017-03-17,47.85,49.0,49.0,47.8,48.0,33432,1607205.2,88
2017-03-20,48.0,48.1,49.2,47.9,49.05,80862,3937300.3,147
2017-03-21,49.05,49.4,49.9,48.5,48.8,34689,1689661.9,103
