Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,4.24,4.3,4.37,4.15,4.33,186880,802376.15,167
2017-01-03,4.33,4.36,4.49,4.25,4.36,777460,3426656.0,439
2017-01-04,4.36,4.38,4.48,4.3,4.39,284820,1251558.55,119
2017-01-05,4.39,4.3,4.44,4.28,4.29,157650,679012.95,111
2017-01-06,4.29,4.3,4.4,4.22,4.32,393400,1713921.35,174
2017-01-09,4.32,4.38,4.42,4.23,4.36,222620,969722.5,158
2017-01-10,4.36,4.42,5.22,4.42,5.22,6852860,34463223.55,3823
2017-01-11,5.22,5.35,5.68,5.2,5.44,8839340,48588266.0,5895
2017-01-12,5.44,5.36,5.43,4.94,5.03,2924580,15124120.0,1798
2017-01-13,5.03,5.07,5.2,4.82,4.91,1129440,5651261.05,718
2017-01-16,4.91,4.95,5.29,4.9,5.1,1348940,6883085.3,919
2017-01-17,5.1,5.08,5.28,4.97,5.2,969070,5027450.35,804
2017-01-18,5.2,5.28,5.9,5.2,5.54,5763210,32183388.55,3700
2017-01-19,5.54,5.59,5.84,5.45,5.62,2407200,13702950.0,1738
2017-01-20,5.62,5.6,5.82,5.5,5.57,1552680,8812850.35,1405
2017-01-23,5.57,5.66,5.69,5.51,5.56,508400,2851660.6,529
2017-01-24,5.56,5.62,5.62,5.32,5.4,536030,2923010.95,603
2017-01-25,5.4,5.4,5.53,5.24,5.35,495900,2650538.8,539
2017-01-27,5.35,5.38,5.62,5.21,5.26,576950,3119509.1,878
2017-01-30,5.26,5.25,5.43,5.1,5.3,648320,3420833.55,812
2017-01-31,5.3,5.36,5.39,5.16,5.22,298740,1567279.6,468
2017-02-01,5.22,5.2,5.39,5.03,5.12,1311190,6803940.85,1339
2017-02-02,5.12,5.2,5.35,5.12,5.27,948350,5008415.1,903
2017-02-03,5.27,5.3,5.76,5.22,5.58,2038440,11269737.5,1285
2017-02-06,5.58,5.68,6.69,5.68,6.36,9550630,59502045.5,6224
2017-02-07,6.36,6.36,6.5,6.12,6.2,1762050,11054512.6,3482
2017-02-08,6.2,6.27,6.6,6.14,6.16,3914440,24741379.1,2234
2017-02-09,6.16,6.2,6.3,6.05,6.09,811150,5017382.4,540
2017-02-10,6.09,6.18,6.2,6.08,6.11,635710,3909449.55,393
2017-02-13,6.11,6.12,6.26,5.9,6.2,1881400,11573715.5,1150
2017-02-14,6.2,6.29,6.3,5.8,5.88,4318690,26278075.25,3669
2017-02-15,5.88,6.13,6.13,5.7,5.75,953400,5632526.9,821
2017-02-16,5.75,5.8,5.83,5.6,5.73,1002470,5767052.85,542
2017-02-17,5.73,5.8,5.9,5.6,5.66,607940,3477252.0,372
2017-02-20,5.66,5.66,5.8,5.5,5.56,1063290,6047449.65,752
2017-02-21,5.56,5.58,5.6,5.4,5.51,245410,1356472.6,278
2017-02-22,5.51,5.64,5.8,5.42,5.45,1949150,10941955.35,1543
2017-02-23,5.45,5.45,5.52,5.35,5.39,277270,1498664.05,277
2017-02-27,5.39,5.44,5.44,5.32,5.34,220240,1178363.6,182
2017-02-28,5.34,5.27,5.51,5.27,5.38,614100,3325202.7,416
2017-03-01,5.38,5.48,5.48,5.35,5.37,299080,1612684.35,202
2017-03-02,5.37,5.35,5.44,5.1,5.22,401690,2126740.9,302
2017-03-03,5.22,5.22,5.28,5.12,5.16,178020,921186.15,191
2017-03-06,5.16,5.35,5.7,5.2,5.27,303080,1606154.3,217
2017-03-07,5.27,5.34,5.34,5.13,5.16,375100,1938942.9,267
2017-03-08,5.16,5.15,5.18,5.07,5.1,225740,1154425.9,177
2017-03-09,5.1,5.09,5.16,5.07,5.11,164070,838892.3,138
2017-03-10,5.11,5.07,5.12,4.9,4.94,455280,2267298.55,401
2017-03-14,4.94,4.95,5.93,4.8,5.7,11651860,65760918.8,7540
2017-03-15,5.7,5.7,5.75,5.52,5.57,2684390,15206120.15,1530
2017-03-16,5.57,5.69,5.75,5.6,5.68,1067270,6063708.85,980
2017-03-17,5.68,5.68,5.75,5.22,5.4,1171410,6392137.65,1020
2017-03-20,5.4,5.48,5.48,5.18,5.26,496620,2628104.7,495
2017-03-21,5.26,5.4,5.4,5.26,5.29,314790,1673242.6,335
2017-03-22,5.29,5.38,5.38,5.22,5.25,214510,1129592.35,187
2017-03-23,5.25,5.32,5.37,5.2,5.32,261120,1381601.3,345
2017-03-24,5.32,5.36,5.39,5.24,5.28,280480,1488742.8,286
2017-03-27,5.28,5.32,5.4,5.2,5.28,184960,982532.3,165
2017-03-28,5.28,5.26,5.34,5.16,5.2,343770,1798342.65,301
2017-03-29,5.2,5.25,5.69,5.18,5.21,2840830,15314069.45,1483
2017-03-30,5.21,5.34,5.5,5.26,5.36,1241620,6655219.85,726
2017-03-31,5.36,5.5,5.64,5.34,5.39,2022170,11005445.75,1662
2017-04-03,5.39,5.48,5.65,5.27,5.3,5078060,27674638.2,1609
2017-04-05,5.3,5.3,6.35,5.28,6.25,22932890,141985159.2,6422
2017-04-06,6.25,6.06,7.47,6.06,6.78,20191270,138525819.15,12370
2017-04-07,6.78,6.8,7.64,6.8,7.02,13858630,100831926.35,10616
2017-04-10,7.02,7.24,8.38,7.1,8.12,23381320,183384699.45,16345
2017-04-11,8.12,8.0,8.33,7.47,7.54,14389740,113811852.55,13431
2017-04-12,7.54,7.6,8.09,7.35,7.57,6697430,51030734.1,7216
2017-05-30,12.71,12.6,12.8,12.39,12.5,1309610,16428984.15,711
2017-05-31,12.5,12.6,12.66,12.17,12.31,1145500,14263116.85,583
2017-06-01,12.31,12.1,12.69,12.06,12.56,1998580,24954463.65,868
2017-06-02,12.56,12.7,12.76,12.52,12.58,1250040,15811421.45,449
2017-06-05,12.58,13.15,13.21,12.7,12.82,5899560,76866232.5,3435
2017-06-06,12.82,12.96,12.96,12.34,12.39,1986170,24904433.75,1783
2017-06-07,12.39,12.57,12.67,12.18,12.22,1631060,20147740.55,1346
2017-06-08,12.22,12.26,12.56,12.0,12.2,4431090,54361031.35,1897
2017-06-09,12.2,12.38,13.0,11.9,12.42,5204290,63336310.8,1759
2017-06-12,12.42,12.6,13.0,12.44,12.77,3407910,43228326.05,1328
2017-06-13,12.77,12.9,13.27,12.45,12.58,3822450,49440843.0,1713
2017-06-14,12.58,12.75,12.78,12.4,12.58,1235470,15532264.8,953
2017-06-15,12.58,12.52,12.56,12.37,12.4,591090,7370965.05,618
