Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,31.3,32.5,32.67,30.23,30.87,7027.5,218324.55,102
2017-01-03,30.87,30.53,31.83,30.33,31.0,5665.5,175578.8,52
2017-01-04,31.0,31.0,31.03,30.47,30.67,12652.5,391308.1,69
2017-01-05,30.67,31.33,31.6,30.83,31.1,7194.0,224492.9,81
2017-01-06,31.1,30.87,31.87,30.67,31.0,7908.0,246576.95,70
2017-01-09,31.0,30.83,31.87,30.5,31.6,9828.0,311089.9,71
2017-01-10,31.6,31.6,33.0,31.1,32.67,18636.0,602259.1,107
2017-01-11,32.67,32.67,33.07,32.2,32.87,9034.5,295356.15,88
2017-01-12,32.87,33.0,33.0,31.83,32.23,3709.5,119296.5,49
2017-01-13,32.23,32.07,32.07,31.0,31.37,31030.5,977122.9,176
2017-01-16,31.37,32.07,32.4,31.2,32.33,8326.5,267095.55,85
2017-01-17,32.33,32.6,32.6,31.67,31.7,3529.5,112389.7,52
2017-01-18,31.7,32.0,32.47,31.73,32.17,3073.5,98187.25,39
2017-01-19,32.17,31.87,33.7,31.5,32.97,72753.0,2392716.45,427
2017-01-20,32.97,32.73,32.73,32.13,32.2,9124.5,295838.0,54
2017-01-23,32.2,32.6,32.6,31.5,32.13,3895.5,124612.7,48
2017-01-24,32.13,32.67,32.67,31.83,31.97,1999.5,64013.8,32
2017-01-25,31.97,31.83,32.3,31.5,32.13,7396.5,236664.75,48
2017-01-27,32.13,31.33,34.0,31.1,32.93,41043.0,1360971.05,272
2017-01-30,32.93,32.73,32.73,32.13,32.47,4737.0,153289.0,41
2017-01-31,32.47,32.03,35.97,31.67,32.7,161062.5,5467144.1,1675
2017-02-01,32.7,33.4,34.0,33.07,33.1,8478.0,285150.75,70
2017-02-02,33.1,34.3,34.6,32.83,33.33,7737.0,260058.65,82
2017-02-03,33.33,33.33,33.33,32.33,33.17,3603.0,118509.45,49
2017-02-06,33.17,33.17,33.4,32.4,32.87,3975.0,131418.4,47
2017-02-07,32.87,33.3,33.3,32.0,32.37,14407.5,464470.15,232
2017-02-08,32.37,33.27,33.27,32.07,32.17,9243.0,299597.35,87
2017-02-09,32.17,31.77,32.53,31.33,31.9,17133.0,549227.15,124
2017-02-10,31.9,31.7,32.37,30.77,31.37,34270.5,1086667.85,120
2017-02-13,31.37,31.33,31.33,30.67,30.87,20968.5,650053.25,110
