Date,Prev Close,Open,High,Low,Close,Volume,Turnover,Trades
2017-01-02,41.35,42.1,42.3,41.15,41.85,127555,5331920.9,954
2017-01-03,41.85,42.25,43.9,42.0,42.75,111518,4791421.8,989
2017-01-04,42.75,43.2,43.5,42.6,42.8,79782,3426601.2,591
2017-01-05,42.8,43.1,45.9,43.0,44.45,483956,21666289.6,2883
2017-01-06,44.45,44.95,46.0,43.6,45.35,219523,9854572.0,1615
2017-01-09,45.35,48.0,49.4,46.75,47.4,1033764,49224460.5,7356
2017-01-10,47.4,47.9,47.95,46.05,46.15,164964,7734525.7,1202
2017-01-11,46.15,46.75,47.2,45.15,45.35,97045,4452743.0,869
2017-01-12,45.35,45.4,45.85,44.1,44.75,77080,3471059.45,742
2017-01-13,44.75,44.75,45.8,43.5,44.8,99988,4430337.3,789
2017-01-16,44.8,45.5,47.2,44.95,46.1,114743,5306452.55,923
2017-01-17,46.1,46.5,46.5,44.95,45.2,47468,2172405.4,548
2017-01-18,45.2,45.45,46.3,44.65,44.85,62050,2810301.25,659
2017-01-19,44.85,44.85,45.5,44.85,45.1,30176,1361817.65,329
2017-01-20,45.1,44.95,45.4,44.05,44.35,43424,1941901.25,289
2017-01-23,44.35,44.35,45.25,43.85,44.3,37018,1645493.9,370
2017-01-24,44.3,44.95,45.25,44.05,44.6,37737,1689898.3,349
2017-01-25,44.6,45.0,45.5,44.0,44.4,74978,3357835.5,530
2017-01-27,44.4,44.2,45.3,44.05,44.65,80542,3610236.15,588
2017-01-30,44.65,44.75,45.0,44.15,44.55,47912,2136669.1,238
2017-01-31,44.55,44.75,45.5,44.05,44.15,79775,3559150.9,657
2017-02-01,44.15,44.4,44.8,44.0,44.1,91373,4048623.9,416
2017-02-02,44.1,45.0,45.15,44.2,44.45,86534,3862900.95,687
2017-02-03,44.45,44.75,44.95,44.2,44.4,95469,4245877.75,622
2017-02-06,44.4,44.9,45.85,44.25,44.8,112474,5057323.0,838
2017-02-07,44.8,45.0,45.15,44.5,44.8,64313,2883226.3,447
2017-02-08,44.8,44.55,45.0,44.55,44.7,30749,1377022.75,206
2017-02-09,44.7,44.95,45.4,44.65,44.75,43177,1940500.35,331
2017-02-10,44.75,45.2,45.4,44.7,45.0,77105,3474951.25,564
2017-02-13,45.0,45.0,49.0,44.95,46.8,431398,20437505.75,2971
2017-02-14,46.8,46.2,47.25,44.55,45.35,88545,4104174.15,844
2017-02-15,45.35,44.1,44.7,39.25,40.65,474098,19546971.7,3340
2017-02-16,40.65,40.0,41.5,39.9,40.05,167979,6769053.7,1254
2017-02-17,40.05,40.45,41.2,40.15,40.4,103799,4199339.4,1040
2017-02-20,40.4,40.25,41.75,40.25,41.2,90288,3713871.55,709
2017-02-21,41.2,41.65,42.4,41.25,41.65,93489,3911220.15,689
2017-02-22,41.65,42.0,42.05,41.0,41.1,37315,1544095.85,442
2017-02-23,41.1,40.8,41.5,40.5,40.75,45820,1869704.35,410
2017-02-27,40.75,41.0,41.25,40.5,40.7,35650,1449905.45,315
2017-02-28,40.7,40.65,41.1,40.45,40.75,27121,1105574.8,316
2017-03-01,40.75,40.85,41.1,40.6,40.8,28206,1153164.2,319
2017-03-02,40.8,41.0,41.05,40.05,40.1,52008,2106925.3,375
2017-03-03,40.1,40.15,40.5,39.85,39.95,32938,1322509.65,300
2017-03-06,39.95,40.15,40.6,39.8,40.0,40037,1605131.3,288
2017-03-07,40.0,40.05,40.5,39.7,39.85,24171,964384.25,213
2017-03-08,39.85,39.75,40.1,39.45,39.6,29534,1172138.4,240
2017-03-09,39.6,40.2,40.2,39.5,39.65,32615,1296668.2,280
2017-03-10,39.65,39.65,39.85,38.75,39.05,45894,1799723.35,394
2017-03-14,39.05,40.0,40.25,38.9,39.05,44020,1729860.1,386
2017-03-15,39.05,39.05,40.1,39.0,39.4,37256,1473317.4,241
2017-03-16,39.4,39.3,40.0,39.0,39.15,86303,3395552.7,464
2017-03-17,39.15,40.05,41.9,40.05,40.9,247448,10148410.95,1699
2017-03-20,40.9,40.9,41.0,40.05,40.2,51791,2090742.3,408
2017-03-21,40.2,40.1,40.5,39.5,39.85,45714,1819856.55,350
2017-03-22,39.85,39.85,39.85,39.1,39.2,34200,1345256.65,354
2017-03-23,39.2,39.2,39.85,39.1,39.2,32471,1280930.45,199
2017-03-24,39.2,39.25,40.95,39.25,39.75,71757,2882590.9,660
2017-03-27,39.75,39.6,40.0,39.25,39.4,45723,1808200.2,202
2017-03-28,39.4,41.2,41.9,40.3,40.7,123616,5071190.5,1052
2017-03-29,40.7,41.2,41.25,39.5,39.65,56840,2293400.0,406
2017-03-30,39.65,40.0,40.4,39.5,39.85,47692,1906734.35,327
2017-03-31,39.85,40.0,40.05,39.3,39.45,57266,2269115.05,274
2017-04-03,39.45,39.4,40.4,39.25,39.95,50197,2003471.55,298
2017-04-05,39.95,40.05,41.0,39.35,39.5,179685,7183930.45,840
2017-04-06,39.5,39.55,39.95,39.2,39.65,83135,3292115.55,443
2017-04-07,39.65,39.45,41.0,39.2,40.05,163092,6599729.8,909
2017-04-10,40.05,40.1,40.55,39.75,39.95,48639,1947507.05,247
2017-04-11,39.95,39.8,40.5,39.8,40.15,47878,1925422.1,383
2017-04-12,40.15,39.6,40.5,39.5,39.7,64753,2584076.2,371
2017-04-13,39.7,39.8,40.05,39.25,39.45,63294,2507478.95,324
2017-04-17,39.45,40.25,40.5,39.35,39.5,82539,3294051.9,496
2017-04-18,39.5,39.95,40.3,39.4,39.5,77586,3092098.25,368
2017-04-19,39.5,39.25,39.75,38.9,39.0,57275,2242530.95,454
2017-04-20,39.0,38.9,39.8,38.9,39.35,63786,2511263.75,291
2017-04-21,39.35,39.55,39.65,39.1,39.2,66235,2607634.3,321
2017-04-24,39.2,39.05,39.7,38.75,38.95,70547,2763072.0,414
2017-04-25,38.95,39.3,39.75,38.75,38.85,95551,3732558.75,492
2017-04-26,38.85,38.95,39.6,38.65,38.75,164839,6433922.35,760
2017-04-27,38.75,38.8,38.9,38.1,38.45,58432,2246468.4,329
2017-04-28,38.45,38.55,38.9,38.15,38.65,32273,1245027.5,288
2017-05-02,38.65,38.85,38.85,38.15,38.3,44361,1701427.75,314
2017-05-03,38.3,38.55,38.85,38.3,38.45,74931,2884928.95,305
